,门店ID,体检分,有效订单数,入店人数,平均商家评分,平均配送评分,平均配送评分
0,9024275,62.0,0,2,0.0,0.0,0.0
1,9024278,84.0,1,18,4.8,4.2,4.2
2,9043306,66.0,0,1,0.0,0.0,0.0
3,9043308,69.0,0,4,0.0,0.0,0.0
4,9043310,69.0,0,3,0.0,0.0,0.0
5,9043313,86.0,2,6,0.0,0.0,0.0
6,9043314,70.0,0,0,0.0,0.0,0.0
7,9043317,85.0,1,12,5.0,5.0,5.0
8,9043320,78.0,1,4,0.0,0.0,0.0
9,9043425,77.0,0,4,0.0,0.0,0.0
10,9043994,82.0,0,24,0.0,0.0,0.0
11,9043995,75.0,1,4,0.0,0.0,0.0
12,9043996,76.0,0,7,0.0,0.0,0.0
13,9127995,77.0,0,1,0.0,0.0,0.0
14,9132125,67.0,0,0,0.0,0.0,0.0
15,9221181,85.0,1,2,0.0,0.0,0.0
16,9221238,66.0,0,0,0.0,0.0,0.0
17,9221239,82.0,0,0,0.0,0.0,0.0
18,9221240,86.0,0,9,5.0,5.0,5.0
19,9223872,88.0,1,18,0.0,0.0,0.0
20,9228865,74.0,0,3,4.3,3.7,3.7
21,9230196,70.0,0,2,0.0,0.0,0.0
22,9257821,81.0,0,9,0.0,0.0,0.0
23,9257829,86.0,0,5,0.0,0.0,0.0
24,9263605,84.0,1,5,0.0,0.0,0.0
25,9263832,73.0,0,1,0.0,0.0,0.0
26,9263833,69.0,0,1,0.0,0.0,0.0
27,9266336,71.0,0,4,0.0,0.0,0.0
28,9266337,92.0,5,18,5.0,5.0,5.0
29,9266338,79.0,0,7,0.0,0.0,0.0
30,9268522,67.0,0,0,0.0,0.0,0.0
31,9277061,79.0,1,6,0.0,0.0,0.0
32,9280257,62.0,0,5,0.0,0.0,0.0
33,9284178,56.0,0,4,0.0,0.0,0.0
34,9288256,74.0,0,0,0.0,0.0,0.0
35,9288258,92.0,4,22,5.0,5.0,5.0
36,9288323,72.0,0,6,0.0,0.0,0.0
37,9288324,79.0,0,9,0.0,0.0,0.0
38,9288325,63.0,0,0,0.0,0.0,0.0
39,9288367,69.0,0,2,0.0,0.0,0.0
40,9291522,71.0,0,1,0.0,0.0,0.0
41,9295284,76.0,0,0,0.0,0.0,0.0
42,9295286,91.0,1,21,5.0,5.0,5.0
43,9295325,85.0,1,9,0.0,0.0,0.0
44,9295388,69.0,0,5,0.0,0.0,0.0
45,9297947,84.0,0,6,0.0,0.0,0.0
46,9314599,75.0,0,1,0.0,0.0,0.0
47,9314603,84.0,0,1,0.0,0.0,0.0
48,9314605,66.0,1,6,0.0,0.0,0.0
49,9314606,76.0,0,5,0.0,0.0,0.0
50,9314607,69.0,0,1,0.0,0.0,0.0
51,9314608,74.0,0,2,0.0,0.0,0.0
52,9319351,88.0,0,3,0.0,0.0,0.0
53,9319651,73.0,0,5,0.0,0.0,0.0
54,9320858,59.0,0,0,0.0,0.0,0.0
55,9322628,58.0,0,1,0.0,0.0,0.0
56,9322697,60.0,0,0,0.0,0.0,0.0
57,9323842,80.0,0,6,0.0,0.0,0.0
58,9338708,71.0,0,2,0.0,0.0,0.0
59,9338709,76.0,0,5,0.0,0.0,0.0
60,9338771,87.0,0,14,5.0,5.0,5.0
61,9338794,65.0,0,2,0.0,0.0,0.0
62,9339174,63.0,0,2,0.0,0.0,0.0
63,9339176,86.0,4,18,0.0,0.0,0.0
64,9339177,50.0,0,0,0.0,0.0,0.0
65,9342535,80.0,0,6,0.0,0.0,0.0
66,9344175,84.0,0,4,0.0,0.0,0.0
67,9345839,69.0,0,3,0.0,0.0,0.0
68,9349868,65.0,0,1,0.0,0.0,0.0
69,9352076,73.0,2,7,0.0,0.0,0.0
70,9352424,62.0,0,1,0.0,0.0,0.0
71,9355273,71.0,0,2,0.0,0.0,0.0
72,9360432,66.0,0,0,0.0,0.0,0.0
73,9364821,76.0,0,3,0.0,0.0,0.0
74,9364823,73.0,1,3,0.0,0.0,0.0
75,9366091,93.0,1,11,4.5,5.0,5.0
76,9366382,56.0,0,2,0.0,0.0,0.0
77,9370710,55.0,0,2,0.0,0.0,0.0
78,9382867,76.0,0,0,4.6,5.0,5.0
79,9385039,66.0,0,1,0.0,0.0,0.0
80,9385040,83.0,2,9,0.0,0.0,0.0
