,门店ID,体检分,有效订单数,入店人数,平均商家评分,平均配送评分,平均配送评分
0,642989,78.0,1,13,3.4,4.5,4.5
1,653643,76.0,0,22,5.0,5.0,5.0
2,714142,83.0,0,5,4.6,4.4,4.4
3,772683,68.0,0,13,0.0,0.0,0.0
4,799254,70.0,0,11,0.0,0.0,0.0
5,833749,74.0,0,7,0.0,0.0,0.0
6,1330090,70.0,0,19,0.0,0.0,0.0
7,1523142,70.0,1,23,5.0,5.0,5.0
8,1696175,79.0,2,17,5.0,5.0,5.0
9,1937925,65.0,0,14,0.0,0.0,0.0
10,1971869,79.0,1,21,5.0,5.0,5.0
11,2006070,70.0,0,9,0.0,0.0,0.0
12,2019807,46.0,0,0,0.0,0.0,0.0
13,2045211,63.0,1,26,3.1,4.6,4.6
14,2068451,51.0,0,6,0.0,0.0,0.0
15,2095123,88.0,6,112,4.6,4.6,4.6
16,2174771,67.0,0,1,0.0,0.0,0.0
17,2220100,61.0,0,8,0.0,0.0,0.0
18,2329256,61.0,0,8,0.0,0.0,0.0
19,2402349,72.0,3,9,4.2,4.2,4.2
20,2482113,60.0,0,4,0.0,0.0,0.0
21,2527715,74.0,0,6,4.4,5.0,5.0
22,2622811,81.0,0,9,4.5,4.4,4.4
23,2666240,63.0,2,9,4.6,4.7,4.7
24,2880558,69.0,0,19,4.6,5.0,5.0
25,2922099,60.0,0,13,0.0,0.0,0.0
26,3018522,77.0,1,16,4.9,5.0,5.0
27,3027069,46.0,0,2,0.0,0.0,0.0
28,3072588,78.0,0,4,0.0,0.0,0.0
29,3095162,58.0,0,12,0.0,0.0,0.0
30,3114926,70.0,0,11,5.0,5.0,5.0
31,3128450,83.0,2,46,4.9,4.8,4.8
32,3165468,63.0,0,7,0.0,0.0,0.0
33,3174325,54.0,0,2,0.0,0.0,0.0
34,3464481,67.0,0,7,0.0,0.0,0.0
35,3468033,83.0,8,111,4.9,4.9,4.9
36,3562612,46.0,0,0,0.0,0.0,0.0
37,3713872,71.0,0,9,5.0,5.0,5.0
38,3985407,79.0,1,22,3.3,4.0,4.0
39,3994932,66.0,0,2,5.0,5.0,5.0
40,4192177,54.0,0,3,0.0,0.0,0.0
41,4304946,75.0,1,12,0.0,0.0,0.0
42,4363389,88.0,8,52,4.4,4.6,4.6
43,4389748,62.0,1,17,0.0,0.0,0.0
44,4434657,58.0,0,7,0.0,0.0,0.0
45,4439411,52.0,0,6,0.0,0.0,0.0
46,4464626,67.0,1,16,5.0,5.0,5.0
47,4473272,67.0,1,18,4.9,5.0,5.0
48,4742557,81.0,0,12,4.7,4.3,4.3
