门店,门店ID,城市(城市负责人),体检分,权益奖励,近7日服务问题导致的营业额损失(元),本周触犯红线,上周触犯红线
"花生活鲜花（春季花艺）	","642989	",合肥,"74.0	",提升月均体检分-生意贷-8月,0,未触犯红线,未触犯红线
"花生活鲜花（雅景花艺）	","653643	",东莞,"73.0	",提升月均体检分-生意贷-8月,0,未触犯红线,未触犯红线
"花生活鲜花（情意浓花店）	","714142	",温州,"75.0	",提升月均体检分-生意贷-8月,0,未触犯红线,未触犯红线
"花生活鲜花（杏福花店）	","772683	",厦门,"80.0	",--,0,未触犯红线,未触犯红线
"花生活鲜花（花好月缘鲜花店）	","799254	",莆田,"67.0	",提升月均体检分-生意贷-8月,0,未触犯红线,未触犯红线
"花生活鲜花（卉轩鲜花礼品店）	","833749	",银川,"61.0	",--,228,未触犯红线,未触犯红线
"花生活鲜花（唯美花艺）	","1330090	",大理白族自治州,"63.0	",提升月均体检分-生意贷-8月,0,未触犯红线,未触犯红线
"花生活鲜花（明珠鲜花坊）	","1523142	",西宁,"76.0	",提升月均体检分-生意贷-8月,0,未触犯红线,未触犯红线
"花生活鲜花（520鲜花园艺）	","1696175	",上海,"83.0	",提升月均体检分-生意贷-8月,0,未触犯红线,未触犯红线
"花生活鲜花（花心苑花店）	","1937925	",荆州,"63.0	",提升月均体检分-生意贷-8月,0,未触犯红线,未触犯红线
"花生活鲜花（嘿花哨花艺）	","1971869	",遵义,"75.0	",提升月均体检分-生意贷-8月,0,未触犯红线,未触犯红线
"花生活鲜花（伊馨花坊）	","2006070	",上海,"77.0	",提升月均体检分-生意贷-8月,0,未触犯红线,未触犯红线
"花生活鲜花（爱荷花坊）	","2019807	",厦门,"59.0	",--,295,未触犯红线,未触犯红线
"花生活鲜花（阳光花坊）	","2045211	",南昌,"63.0	",提升月均体检分-生意贷-8月,264,未触犯红线,未触犯红线
"花生活鲜花（花语人生）	","2068451	",厦门,"50.0	",--,435,未触犯红线,未触犯红线
