门店,门店ID,城市(城市负责人),体检分,权益奖励,近7日服务问题导致的营业额损失(元),本周触犯红线,上周触犯红线
"邂逅花坊鲜花（香梅花坊）	","227035	",无锡,"85.0	",提升月均体检分-生意贷-8月,0,未触犯红线,未触犯红线
"邂逅花坊鲜花（蔷薇花艺）	","255297	",青岛,"75.0	",提升月均体检分-生意贷-8月,0,未触犯红线,未触犯红线
"邂逅花坊鲜花（温馨花坊）	","345331	",徐州,"90.0	",提升月均体检分-生意贷-8月,0,未触犯红线,未触犯红线
"邂逅花坊鲜花（创懿花艺婚庆）	","403721	",杭州,"83.0	",提升月均体检分-生意贷-8月,0,未触犯红线,未触犯红线
"邂逅花坊鲜花（花韵千谷)	","634577	",张家口,"76.0	",提升月均体检分-生意贷-8月,0,未触犯红线,未触犯红线
"邂逅花坊鲜花（美丽花坊）	","652919	",武汉,"54.0	",提升月均体检分-生意贷-8月,0,未触犯红线,未触犯红线
"邂逅花坊鲜花（小仙女花艺）	","666460	",中山,"78.0	",提升月均体检分-生意贷-8月,0,未触犯红线,未触犯红线
"邂逅花坊鲜花（蝶恋花花坊）	","722212	",龙岩,"72.0	",提升月均体检分-生意贷-8月,0,未触犯红线,未触犯红线
"邂逅花坊鲜花（紫罗兰鲜花坊）	","724418	",湖州,"79.0	",提升月均体检分-生意贷-8月,0,未触犯红线,未触犯红线
"邂逅花坊鲜花（花卉轩）	","767243	",厦门,"79.0	",提升月均体检分-生意贷-8月,0,未触犯红线,未触犯红线
"邂逅花坊鲜花（新生命花坊）	","809558	",杭州,"69.0	",提升月均体检分-生意贷-8月,0,未触犯红线,未触犯红线
"婷婷花店	","829130	",深圳,"80.0	",提升月均体检分-生意贷-8月,0,未触犯红线,未触犯红线
"邂逅花坊鲜花（万花丛婚庆鲜花）	","832314	",石家庄,"61.0	",提升月均体检分-生意贷-8月,0,未触犯红线,未触犯红线
"邂逅花坊鲜花（花园花坊）	","911233	",绍兴,"82.0	",提升月均体检分-生意贷-8月,0,未触犯红线,未触犯红线
"邂逅花坊鲜花（花汐小铺）	","914805	",衡阳,"84.0	",提升月均体检分-生意贷-8月,0,未触犯红线,未触犯红线
"邂逅花坊鲜花（铂尔曼花都）	","978388	",桂林,"57.0	",--,0,未触犯红线,未触犯红线
"安宁花海花艺园艺店(邂逅花坊)	","1024781	",昆明,"82.0	",提升月均体检分-生意贷-8月,0,未触犯红线,未触犯红线
"邂逅花坊鲜花（景都鲜花婚庆）	","1025932	",滁州,"69.0	",--,0,未触犯红线,未触犯红线
"邂逅花坊鲜花（花都红谷滩店）	","1056309	",南昌,"68.0	",提升月均体检分-生意贷-8月,0,未触犯红线,未触犯红线
"邂逅花坊鲜花（如意花店）	","1065807	",济南,"76.0	",提升月均体检分-生意贷-8月,0,未触犯红线,未触犯红线
"邂逅花坊鲜花（玫瑰之约）	","1115599	",上海,"89.0	",提升月均体检分-生意贷-8月,0,未触犯红线,未触犯红线
"邂逅花坊鲜花（花暖人间）	","1306021	",湘潭,"65.0	",--,0,未触犯红线,未触犯红线
"花草集鲜花(生日花，表白花，鲜花店)	","1317559	",桂林,"87.0	",提升月均体检分-生意贷-8月,0,未触犯红线,未触犯红线
"邂逅花坊鲜花（莫妮卡花艺）	","1357365	",滁州,"84.0	",提升月均体检分-生意贷-8月,0,未触犯红线,未触犯红线
"邂逅花坊鲜花（四季花屋）	","1410092	",郑州,"69.0	",提升月均体检分-生意贷-8月,349,未触犯红线,未触犯红线
"邂逅花坊鲜花（彩云间花艺）	","1445291	",丹东,"81.0	",提升月均体检分-生意贷-8月,0,未触犯红线,未触犯红线
"邂逅花坊鲜花（依心花艺精品）	","1537303	",崇左,"87.0	",提升月均体检分-生意贷-8月,0,未触犯红线,未触犯红线
"邂逅花坊鲜花（江滨婚庆花店）	","1682006	",东莞,"82.0	",提升月均体检分-生意贷-8月,0,未触犯红线,未触犯红线
"邂逅花坊鲜花（小草鲜花店）	","1786360	",张家口,"56.0	",提升月均体检分-生意贷-8月,0,未触犯红线,未触犯红线
"邂逅花坊鲜花（欢乐颂）	","1806980	",石家庄,"56.0	",提升月均体检分-生意贷-8月,0,未触犯红线,未触犯红线
"邂逅花坊鲜花（喵姐花艺)	","1959140	",秦皇岛,"58.0	",提升月均体检分-生意贷-8月,0,未触犯红线,未触犯红线
"邂逅花坊鲜花（简单爱花艺）	","1993353	",台州,"85.0	",提升月均体检分-生意贷-8月,0,未触犯红线,未触犯红线
"邂逅花坊鲜花（花落谁家）	","1996730	",合肥,"66.0	",提升月均体检分-生意贷-8月,0,未触犯红线,未触犯红线
"邂逅花坊鲜花（鱼花宫鲜花）	","2002283	",莆田,"59.0	",提升月均体检分-生意贷-8月,0,未触犯红线,未触犯红线
"邂逅花坊鲜花（唯尚鲜花）	","2148336	",九江,"74.0	",提升月均体检分-生意贷-8月,0,未触犯红线,未触犯红线
"邂逅花坊鲜花（花样年华河西店）	","2149848	",长沙,"85.0	",提升月均体检分-生意贷-8月,0,未触犯红线,未触犯红线
"邂逅花坊鲜花（仙紫鲜花店）	","2290168	",天津,"66.0	",--,0,未触犯红线,未触犯红线
"邂逅花坊鲜花（红丽花店）	","2372726	",上海,"83.0	",提升月均体检分-生意贷-8月,0,未触犯红线,未触犯红线
"邂逅花坊鲜花（初暖花艺）	","2387910	",日照,"68.0	",--,0,未触犯红线,未触犯红线
"千百渡花艺(生日花，表白花，鲜花)	","2396768	",北京,"88.0	",提升月均体检分-生意贷-8月,0,未触犯红线,未触犯红线
"邂逅花坊鲜花（雯公主花卉）	","2414605	",杭州,"86.0	",提升月均体检分-生意贷-8月,0,未触犯红线,未触犯红线
