,门店ID,体检分,有效订单数,入店人数,平均商家评分,平均配送评分,平均配送评分
0,227035,85.0,0,4,0.0,0.0,0.0
1,255297,74.0,0,1,0.0,0.0,0.0
2,345331,90.0,0,5,5.0,5.0,5.0
3,403721,80.0,0,3,0.0,0.0,0.0
4,634577,70.0,1,4,0.0,0.0,0.0
5,652919,55.0,0,1,0.0,0.0,0.0
6,666460,78.0,0,4,0.0,0.0,0.0
7,722212,62.0,0,0,0.0,0.0,0.0
8,724418,79.0,2,7,0.0,0.0,0.0
9,767243,84.0,0,2,0.0,0.0,0.0
10,809558,61.0,0,0,0.0,0.0,0.0
11,829130,80.0,0,3,0.0,0.0,0.0
12,832314,61.0,0,1,0.0,0.0,0.0
13,911233,82.0,0,5,0.0,0.0,0.0
14,914805,83.0,1,10,0.0,0.0,0.0
15,978388,58.0,0,1,0.0,0.0,0.0
16,1024781,86.0,1,18,5.0,0.0,0.0
17,1025932,69.0,0,1,0.0,0.0,0.0
18,1056309,68.0,0,1,0.0,0.0,0.0
19,1065807,73.0,0,1,4.2,5.0,5.0
20,1115599,87.0,2,10,0.0,0.0,0.0
21,1306021,65.0,0,0,0.0,0.0,0.0
22,1317559,89.0,0,16,5.0,5.0,5.0
23,1357365,77.0,0,0,0.0,0.0,0.0
24,1410092,70.0,0,1,0.0,0.0,0.0
25,1445291,81.0,1,7,0.0,0.0,0.0
26,1537303,86.0,1,21,0.0,0.0,0.0
27,1682006,81.0,1,4,0.0,0.0,0.0
28,1786360,55.0,0,2,0.0,0.0,0.0
29,1806980,56.0,0,0,0.0,0.0,0.0
30,1959140,67.0,0,1,0.0,0.0,0.0
31,1993353,83.0,0,5,0.0,0.0,0.0
32,1996730,64.0,0,0,0.0,0.0,0.0
33,2002283,59.0,0,2,0.0,0.0,0.0
34,2148336,83.0,0,3,0.0,0.0,0.0
35,2149848,88.0,2,9,4.8,5.0,5.0
36,2290168,66.0,0,0,0.0,0.0,0.0
37,2372726,80.0,0,0,0.0,0.0,0.0
38,2387910,67.0,0,0,0.0,0.0,0.0
39,2396768,87.0,4,16,4.7,4.6,4.6
40,2414605,85.0,0,7,0.0,0.0,0.0
41,2499036,84.0,0,5,5.0,5.0,5.0
42,2526841,59.0,0,2,0.0,0.0,0.0
43,2531868,82.0,0,7,0.0,0.0,0.0
44,2568882,80.0,0,4,0.0,0.0,0.0
45,2613397,80.0,0,5,0.0,0.0,0.0
46,2633533,80.0,0,0,0.0,0.0,0.0
47,2681117,75.0,0,1,0.0,0.0,0.0
48,2692280,86.0,3,12,4.9,0.0,0.0
49,2721901,73.0,0,1,0.0,0.0,0.0
50,2758504,87.0,1,11,0.0,0.0,0.0
51,2758931,83.0,0,6,0.0,0.0,0.0
52,2782682,86.0,1,3,0.0,0.0,0.0
53,2903944,91.0,0,12,5.0,0.0,0.0
54,2951300,69.0,0,1,0.0,0.0,0.0
55,2954975,53.0,0,0,0.0,0.0,0.0
56,2992347,56.0,0,0,0.0,0.0,0.0
57,3032292,93.0,2,36,4.7,4.8,4.8
58,3069058,62.0,0,0,0.0,0.0,0.0
59,3074868,55.0,0,2,0.0,0.0,0.0
60,3100497,72.0,0,3,0.0,0.0,0.0
61,3114586,80.0,0,7,0.0,0.0,0.0
62,3115396,78.0,0,4,0.0,0.0,0.0
63,3134500,87.0,0,2,4.0,5.0,5.0
64,3140988,86.0,3,27,4.9,5.0,5.0
65,3153483,81.0,0,2,0.0,0.0,0.0
66,3174819,82.0,0,2,0.0,0.0,0.0
67,3230734,76.0,0,11,0.0,0.0,0.0
68,3251274,72.0,0,3,0.0,0.0,0.0
69,3372458,77.0,0,4,0.0,0.0,0.0
70,3420406,64.0,0,1,0.0,0.0,0.0
71,3423829,81.0,0,6,0.0,0.0,0.0
72,3453699,77.0,0,3,0.0,0.0,0.0
73,3522148,72.0,0,0,0.0,0.0,0.0
74,3534673,57.0,0,1,0.0,0.0,0.0
75,3566834,87.0,0,24,0.0,0.0,0.0
76,3590298,56.0,0,0,0.0,0.0,0.0
77,3593644,62.0,0,2,0.0,0.0,0.0
78,3695585,88.0,0,13,0.0,0.0,0.0
79,3738967,65.0,0,0,0.0,0.0,0.0
80,3782706,61.0,0,1,0.0,0.0,0.0
81,3825934,74.0,0,3,0.0,0.0,0.0
82,3859980,75.0,0,3,0.0,0.0,0.0
83,3878986,76.0,0,7,0.0,0.0,0.0
84,3899843,66.0,0,0,0.0,0.0,0.0
85,3915289,68.0,0,0,0.0,0.0,0.0
86,4108818,85.0,0,2,0.0,0.0,0.0
87,4129848,67.0,0,2,0.0,0.0,0.0
88,4133335,69.0,0,2,0.0,0.0,0.0
89,4182702,66.0,0,1,0.0,0.0,0.0
90,4184985,70.0,0,1,0.0,0.0,0.0
91,4249322,62.0,0,0,0.0,0.0,0.0
92,4277847,82.0,0,3,0.0,0.0,0.0
93,4278885,95.0,11,42,4.8,5.0,5.0
