,日期,店铺所在城市,下单时间,接单时长,是否预订单,商品分类,商品名称,商品原价销售额,商品实付销售额,百分比
12,1,温州	,2020-01-25 10:07:50	,1秒,否,折扣专区	,『巧夺天工』33枝红玫瑰花搭配桂冠韩式花束送女友鼠年生日礼物,595.0,225.0,0.37815126050420167
15,1,温州	,2020-01-30 13:48:45	,1秒,否,折扣专区	,『彩虹之恋』满天星鲜花 花束 送女友送闺蜜生日礼物推荐鲜花店,470.0,175.0,0.3723404255319149
18,1,厦门	,2020-01-26 21:24:56	,0秒,否,折扣专区	,『彩虹之恋』满天星鲜花 花束 送女友送闺蜜生日礼物推荐鲜花店,470.0,175.0,0.3723404255319149
20,1,大理白族自治州	,2020-01-04 22:15:39	,0秒,否,折扣专区	,『眉目传情』33枝红玫瑰鲜花花束 生日礼物送女友送男友鲜花店,358.0,245.0,0.6843575418994413
30,1,上海	,2020-01-18 20:31:54	,0秒,否,折扣专区	,『彩虹之恋』满天星鲜花 花束 送女友送闺蜜生日礼物推荐鲜花店,470.0,175.0,0.3723404255319149
31,1,上海	,2020-01-18 20:37:55	,471秒,否,折扣专区	,『彩虹之恋』满天星鲜花 花束 送女友送闺蜜生日礼物推荐鲜花店,470.0,175.0,0.3723404255319149
38,1,郴州	,2020-01-01 10:41:46	,5秒,否,折扣专区	,『彩虹之恋』满天星鲜花 花束 送女友送闺蜜生日礼物推荐鲜花店,470.0,185.0,0.39361702127659576
40,1,郴州	,2020-01-01 16:31:12	,5秒,否,折扣专区	,『彩虹之恋』满天星鲜花 花束 送女友送闺蜜生日礼物推荐鲜花店,470.0,180.0,0.3829787234042553
52,1,郴州	,2020-01-04 17:23:12	,7秒,否,折扣专区	,『卡拉曼达』19枝香槟玫瑰花礼盒送女友生日礼物鲜花店推荐闺蜜,298.0,159.0,0.5335570469798657
54,1,郴州	,2020-01-05 15:41:40	,6秒,否,折扣专区	,『邂逅之缘』33枝玫瑰黑纱包装表白花束生日礼物情人节鲜花店,358.0,245.0,0.6843575418994413
59,1,郴州	,2020-01-07 17:09:41	,7秒,否,折扣专区	,『邂逅之缘』33枝玫瑰黑纱包装表白花束生日礼物情人节鲜花店,358.0,245.0,0.6843575418994413
70,1,郴州	,2020-01-09 13:02:26	,6秒,否,折扣专区	,『彩虹之恋』满天星鲜花 花束 送女友送闺蜜生日礼物推荐鲜花店,470.0,172.0,0.3659574468085106
76,1,郴州	,2020-01-10 15:13:46	,7秒,否,折扣专区	,『彩虹之恋』满天星鲜花 花束 送女友送闺蜜生日礼物推荐鲜花店,470.0,172.0,0.3659574468085106
88,1,郴州	,2020-01-14 13:35:13	,8秒,否,折扣专区	,『彩虹之恋』满天星鲜花 花束 送女友送闺蜜生日礼物推荐鲜花店,470.0,172.0,0.3659574468085106
100,1,郴州	,2020-01-18 10:00:12	,6秒,否,折扣专区	,『情比金坚』33枝香槟玫瑰花鲜花束 送女友送闺蜜送情人鲜花店,358.0,224.0,0.6256983240223464
105,1,郴州	,2020-01-19 16:10:33	,5秒,否,折扣专区	,『邂逅之缘』33枝玫瑰黑纱包装表白花束生日礼物情人节鲜花店,358.0,225.0,0.6284916201117319
