,日期,店铺所在城市,下单时间,接单时长,是否预订单,商品分类,商品名称,商品原价销售额,商品实付销售额,百分比
37,1,郴州	,2020-01-01 07:18:36	,7秒,否,折扣专区	,『爱就一个字』19枝红玫瑰花束 送亲人送闺蜜送情人推荐鲜花店,298.0,151.0,0.5067114093959731
45,1,郴州	,2020-01-02 14:30:43	,5秒,否,折扣专区	,『挚爱』11枝红玫瑰花+2只小熊圣诞礼盒送女友闺蜜生日鲜花店,275.0,145.0,0.5272727272727272
47,1,郴州	,2020-01-03 18:54:18	,6秒,否,折扣专区	,『目不转睛』9枝粉玫瑰花束送女友生日礼物鲜花店推荐送闺蜜,245.0,128.0,0.5224489795918368
71,1,郴州	,2020-01-10 04:18:08	,12秒,否,折扣专区	,『暮翠朝红』19枝红玫瑰花礼盒鲜花搭配洋桔梗送女友生日鲜花店,298.0,142.0,0.47651006711409394
80,1,郴州	,2020-01-12 09:16:52	,5秒,否,折扣专区	,『香橙』19枝香槟玫瑰礼盒鲜花送女友朋友生日礼物送闺蜜送亲人,298.0,135.0,0.45302013422818793
85,1,郴州	,2020-01-13 18:06:15	,6秒,否,折扣专区	,『魔鬼中的天使』20朵白玫瑰花红玫瑰花混搭礼盒鲜花店爱人推荐,308.0,138.0,0.44805194805194803
171,1,绍兴	,2020-01-01 16:00:08	,1秒,否,折扣专区	,『挚爱』11枝红玫瑰花+2只小熊圣诞礼盒送女友闺蜜生日鲜花店,275.0,145.0,0.5272727272727272
225,1,上海	,2020-01-01 10:49:49	,91秒,否,折扣专区	,『挚爱』11枝红玫瑰花+2只小熊圣诞礼盒送女友闺蜜生日鲜花店,275.0,145.0,0.5272727272727272
295,1,长沙	,2020-01-01 09:07:49	,256秒,否,折扣专区	,『挚爱』11枝红玫瑰花+2只小熊圣诞礼盒送女友闺蜜生日鲜花店,275.0,136.9,0.4978181818181818
436,1,北京	,2020-01-01 19:35:39	,46秒,否,折扣专区	,『织女款』11枝粉玫瑰圣诞礼盒鲜花送女友闺蜜生日情人鲜花店,245.0,145.0,0.5918367346938775
455,1,杭州	,2020-01-01 12:36:21	,1秒,否,折扣专区	,『Niu郎款』11枝红玫瑰鲜花花束送女友闺蜜圣诞爆款鲜花店,395.0,145.0,0.3670886075949367
