开始日期,结束日期,商家ID,商家名称,运营组,省份,城市,是否新增商家,首次上线日期,门店在线状态,（日均）预设营业时长（h）,（日均）在线营业时长（h）,曝光人数,入店人数,下单人数,下单新客人数,入店转化率,下单转化率,推单数,有效订单数,原价交易额,实付交易额,商家补贴金额,商家原因取消订单数,商家拒单数,商家超时未接单数,商家取消不告知用户订单数,缺货导致退款订单数,商家少送错送导致用户退款订单数,商家质量问题导致用户退款订单数,配送原因取消订单数,拣货超时订单数,使用间或完成按钮订单数,平均骑手到店等待时间（min）,平均骑手送货时长（min）,IM会话数,IM回复数,IM回复率,IM1分钟回复数,差评订单数,投诉订单数,平均商家评分,平均商品评分,平均配送评分,平均配送时长（min）,资质类型（仅药品）,资质有效期（仅药品）
20200601,20200601,9024275,花韵花艺馆,鲜花组,河南省,郑州,否,20200508,在线,18,18,82,2,0,0,2.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
20200602,20200602,9024275,花韵花艺馆,鲜花组,河南省,郑州,否,20200508,在线,18,18,51,2,0,0,3.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
20200603,20200603,9024275,花韵花艺馆,鲜花组,河南省,郑州,否,20200508,在线,18,18,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
20200604,20200604,9024275,花韵花艺馆,鲜花组,河南省,郑州,否,20200508,在线,18,18,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
20200605,20200605,9024275,花韵花艺馆,鲜花组,河南省,郑州,否,20200508,在线,18,18,44,1,0,0,2.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
20200606,20200606,9024275,花韵花艺馆,鲜花组,河南省,郑州,否,20200508,在线,18,18,65,1,0,0,1.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
20200607,20200607,9024275,花韵花艺馆,鲜花组,河南省,郑州,否,20200508,在线,18,18,51,1,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
20200608,20200608,9024275,花韵花艺馆,鲜花组,河南省,郑州,否,20200508,在线,18,18,52,1,0,0,1.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
20200609,20200609,9024275,花韵花艺馆,鲜花组,河南省,郑州,否,20200508,在线,18,18,51,4,0,0,7.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
20200610,20200610,9024275,花韵花艺馆,鲜花组,河南省,郑州,否,20200508,在线,18,18,61,1,0,0,1.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
