开始日期,结束日期,商家ID,商家名称,运营组,省份,城市,是否新增商家,首次上线日期,门店在线状态,（日均）预设营业时长（h）,（日均）在线营业时长（h）,曝光人数,入店人数,下单人数,下单新客人数,入店转化率,下单转化率,推单数,有效订单数,原价交易额,实付交易额,商家补贴金额,商家原因取消订单数,商家拒单数,商家超时未接单数,商家取消不告知用户订单数,缺货导致退款订单数,商家少送错送导致用户退款订单数,商家质量问题导致用户退款订单数,配送原因取消订单数,拣货超时订单数,使用间或完成按钮订单数,平均骑手到店等待时间（min）,平均骑手送货时长（min）,IM会话数,IM回复数,IM回复率,IM1分钟回复数,差评订单数,投诉订单数,平均商家评分,平均商品评分,平均配送评分,平均配送时长（min）,资质类型（仅药品）,资质有效期（仅药品）
20200601,20200630,9024275,花韵花艺馆,鲜花组,河南省,郑州,否,20200508,在线,18.0,18.0,1451,42,0,0,2.89,0%,0,0,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,,
20200601,20200630,9024278,友新意鲜花坊,鲜花组,陕西省,西安,否,20200508,在线,18.0,18.0,18362,314,23,21,1.71,7.32%,23,22,4962.00,2596.00,2431.00,0,0,0,0,0,0,0,0,0,22,0,0,14,14,100,8,0,0,3.5,3.5,3.2,0.0,,
20200601,20200630,9043306,花之都创意鲜花馆,鲜花组,山东省,潍坊,否,20200508,在线,18.0,18.0,1183,17,0,0,1.44,0%,0,0,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,,
20200601,20200630,9043308,时初花艺,鲜花组,陕西省,咸阳,否,20200508,在线,18.0,18.0,4894,66,1,0,1.35,1.52%,1,0,0.00,0.00,0.00,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,,
20200601,20200630,9043310,元寳花店,鲜花组,吉林省,长春,否,20200508,在线,10.0,10.3,3215,44,0,0,1.37,0%,0,0,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3,1.3,1.3,0.0,,
20200601,20200630,9043313,浪漫主题花艺,鲜花组,黑龙江省,佳木斯,否,20200508,在线,24.0,24.0,3292,57,2,1,1.73,3.51%,2,1,229.00,86.00,143.00,0,0,0,0,0,0,0,0,0,2,0,0,1,1,100,0,0,0,1.2,1.2,1.2,0.0,,
20200601,20200630,9043314,茗蔓花艺,鲜花组,河北省,石家庄,否,20200508,在线,18.0,18.0,911,16,0,0,1.76,0%,0,0,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2,1.2,1.2,0.0,,
20200601,20200630,9043317,花坞,鲜花组,福建省,福州,否,20200508,在线,18.0,18.0,11259,435,8,7,3.86,1.84%,7,7,2702.00,1443.00,1279.00,0,0,0,0,0,0,0,0,0,7,0,0,8,6,75,4,0,0,0.0,0.0,0.0,0.0,,
20200601,20200630,9043320,花企网婚庆,鲜花组,福建省,泉州,否,20200508,在线,18.0,18.7,3803,86,2,2,2.26,2.33%,2,2,518.00,299.00,224.00,0,0,0,0,0,0,0,0,0,2,0,0,2,2,100,1,0,0,0.0,0.0,0.0,0.0,,
20200601,20200630,9043425,永恒鲜花,鲜花组,贵州省,六盘水,否,20200508,在线,18.0,18.0,2333,31,6,6,1.33,19.35%,6,6,1454.00,595.00,889.00,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,,
