,0,结束日期,商家ID,商家名称,运营组,省份,城市,是否新增商家,首次上线日期,门店在线状态,（日均）预设营业时长（h）,（日均）在线营业时长（h）,曝光人数,入店人数,下单人数,有效订单数,下单新客人数,复购人数,入店转化率,下单转化率,新客转化率,有效率,复购率,原价交易额,实付交易额,商家补贴金额,原价客单价,实付客单价,cluster
1,20200601,20200630,9024278,友新意鲜花坊,鲜花组,陕西省,西安,否,20200508,在线,18,18,18362,314,23,22,21,2,1.71,0.07,0.913043478,0.956521739,0.086956522,4962,2596,2431,215.7391304,112.8695652,1
7,20200601,20200630,9043317,花坞,鲜花组,福建省,福州,否,20200508,在线,18,18,11259,435,8,7,7,1,3.86,0.02,0.875,0.875,0.125,2702,1443,1279,337.75,180.375,1
3,20200601,20200630,9043308,时初花艺,鲜花组,陕西省,咸阳,否,20200508,在线,18,18,4894,66,1,0,0,1,1.35,0.02,0,0,1,0,0,0,0,0,3
60,20200601,20200630,9323842,花无缺鲜花店,鲜花组,内蒙古自治区,锡林郭勒盟,否,20200617,在线,12,11.6,4806,129,10,7,7,3,2.68,0.08,0.7,0.7,0.3,1553,671,902,155.3,67.1,3
62,20200601,20200630,9338708,恒海鲜花,鲜花组,山东省,滨州,否,20200617,在线,12,12.8,4146,83,2,1,1,1,2,0.02,0.5,0.5,0.5,129,66,68,64.5,33,3
10,20200601,20200630,9043994,八度花艺,鲜花组,河南省,许昌,否,20200508,在线,15,15.5,4116,193,12,7,7,5,4.69,0.06,0.583333333,0.583333333,0.416666667,1763,986,777,146.9166667,82.16666667,3
45,20200601,20200630,9295286,婉苑鲜花婚庆,鲜花组,黑龙江省,齐齐哈尔,否,20200611,在线,17,17.1,3895,130,16,17,16,0,3.34,0.12,1,1.0625,0,3993,1602,3554,249.5625,100.125,3
8,20200601,20200630,9043320,花企网婚庆,鲜花组,福建省,泉州,否,20200508,在线,18,18.7,3803,86,2,2,2,0,2.26,0.02,1,1,0,518,299,224,259,149.5,3
12,20200601,20200630,9043996,花间时光,鲜花组,河南省,许昌,否,20200508,在线,18,18,3712,95,2,3,1,1,2.56,0.02,0.5,1.5,0.5,687,239,448,343.5,119.5,3
76,20200601,20200630,9355273,花香时刻鲜花店,鲜花组,陕西省,西安,否,20200618,在线,18,18.7,3698,95,1,1,1,0,2.57,0.01,1,1,0,239,93,151,239,93,3
