日期,订单编号,下单时间,接单时长,店铺名称,店铺ID,店铺所在城市,订单支付类型,订单状态,订单配送状态,是否预订单,订单总金额,订单折扣后金额,平台承担活动金额,商家承担活动金额,商品分类,商品名称,UPC码,商品SKU码,商品销售数量,商品原价销售额,商品实付销售额,商品总补贴金额,商品商家补贴金额,商品平台补贴金额,是否部分退款商品,部分退款商品数量,部分退款商品金额,订单小额付款,配送费,是否活动订单,优惠活动,是否催单,回复状态,商家回复内容,配送时长,打包袋费,订单完成时间,订单取消原因（仅取消订单）
"	20200601-20200630","90242783124659518	","2020-06-04 19:01:36	",27秒,"友新意鲜花坊	","9024278	","西安	",在线支付,订单完成,用户提交订单,否,299.00,166.00,0.00,133.00,"爱情告白	",【爱情鲜花】33枝红玫瑰鲜花礼盒,,,1,299.00,166.00,133.00,133.00,0.00,否,0,0.00,0.00,0.00,是,"购买【爱情鲜花】33枝红玫瑰鲜花礼盒原价299.0元现价169.0元/门店新客立减3.0元	",否,未回复,,0.00分,0.00,"2020-06-05 00:40:44	",
"	20200601-20200630","90242782184843072	","2020-06-05 09:12:07	",17秒,"友新意鲜花坊	","9024278	","西安	",在线支付,订单完成,配送中,否,259.00,126.00,0.00,133.00,"19枝玫瑰专区	",【甜蜜记事】19枝红玫瑰鲜花礼盒,,"101	",1,259.00,126.00,133.00,133.00,0.00,否,0,0.00,0.00,0.00,是,"购买【甜蜜记事】19枝红玫瑰鲜花礼盒原价259.0元现价129.0元/门店新客立减3.0元	",否,未回复,,0.00分,0.00,"2020-06-05 16:18:09	",
"	20200601-20200630","90242782524855431	","2020-06-09 10:19:03	",288秒,"友新意鲜花坊	","9024278	","西安	",在线支付,订单完成,配送中,否,129.00,86.00,0.00,48.00,"毕业季	",【流年】3枝向日葵鲜花花束毕业季花礼,,,1,129.00,86.00,43.00,43.00,0.00,否,0,0.00,0.00,0.00,是,"满59.0元赠精美贺卡下单备注好内容*1/购买【流年】3枝向日葵鲜花花束毕业季花礼原价129.0元现价89.0元/门店新客立减3.0元	",否,已回复,,0.00分,0.00,"2020-06-09 15:10:19	",
"	20200601-20200630","90242781555614726	","2020-06-10 09:44:19	",65秒,"友新意鲜花坊	","9024278	","西安	",在线支付,订单完成,配送中,否,179.00,86.00,0.00,98.00,"毕业季	",【永恒】粉色满天星花束毕业季花礼,,,1,179.00,86.00,93.00,93.00,0.00,否,0,0.00,0.00,0.00,是,"满59.0元赠精美贺卡下单备注好内容*1/购买【永恒】粉色满天星花束毕业季花礼原价179.0元现价89.0元/门店新客立减3.0元	",否,未回复,,0.00分,0.00,"2020-06-10 14:57:19	",
"	20200601-20200630","90242783242264538	","2020-06-10 17:49:55	",210秒,"友新意鲜花坊	","9024278	","西安	",在线支付,订单完成,配送中,否,299.00,216.00,0.00,88.00,"向日葵花语	",【阳光温暖】3枝向日葵+21枝粉玫瑰鲜花花束,,"53	",1,299.00,216.00,83.00,83.00,0.00,否,0,0.00,0.00,0.00,是,"满200.0元减80.0元/满59.0元赠精美贺卡下单备注好内容*1/门店新客立减3.0元	",否,未回复,,0.00分,0.00,"2020-06-10 23:55:31	",
"	20200601-20200630","90242784219315926	","2020-06-12 17:11:42	",215秒,"友新意鲜花坊	","9024278	","西安	",在线支付,订单完成,用户提交订单,否,239.00,86.00,10.00,148.00,"爱情告白	",【一吻之间】11枝红玫瑰鲜花花束,,,1,239.00,86.00,153.00,143.00,10.00,否,0,0.00,0.00,0.00,是,"满59.0元赠精美贺卡下单备注好内容*1/用户使用了首单支付红包减10元/购买【一吻之间】11枝红玫瑰鲜花花束原价239.0元现价99.0元/门店新客立减3.0元	",否,未回复,,0.00分,0.00,"2020-06-12 23:32:46	",
"	20200601-20200630","90242784203491019	","2020-06-14 19:34:18	",135秒,"友新意鲜花坊	","9024278	","西安	",在线支付,订单完成,用户提交订单,否,247.00,104.00,0.00,148.00,"爱情告白	",【爱一世】9枝粉玫瑰搭配满天星简约花束,,,1,229.00,86.00,143.00,143.00,0.00,否,0,0.00,0.00,18.00,是,"满59.0元赠精美贺卡下单备注好内容*1/购买【爱一世】9枝粉玫瑰搭配满天星简约花束原价229.0元现价89.0元/门店新客立减3.0元/送3元商家代金券	",否,未回复,,0.00分,0.00,"2020-06-15 01:12:13	",
"	20200601-20200630","90242782387217215	","2020-06-16 18:02:24	",29秒,"友新意鲜花坊	","9024278	","西安	",在线支付,订单完成,配送中,否,169.00,166.00,0.00,8.00,"向日葵花语	",【动人心弦】3枝向日葵韩式混搭鲜花花束,,"50	",1,169.00,166.00,3.00,3.00,0.00,否,0,0.00,0.00,0.00,是,"满59.0元赠精美贺卡下单备注好内容*1/门店新客立减3.0元/送3元商家代金券	",否,已回复,,0.00分,0.00,"2020-06-17 00:03:35	",
"	20200601-20200630","90242782858795970	","2020-06-18 19:38:02	",23秒,"友新意鲜花坊	","9024278	","西安	",在线支付,订单完成,配送中,否,197.00,122.00,0.00,80.00,"毕业季	",【果敢】3枝向日葵+6枝香槟玫瑰鲜花花束毕业季花礼,,,1,179.00,106.00,73.00,73.00,0.00,否,0,0.00,0.00,18.00,是,"满59.0元赠精美贺卡下单备注好内容*1/购买【果敢】3枝向日葵+6枝香槟玫瑰鲜花花束毕业季花礼原价179.0元现价109.0元/门店新客立减3.0元/满减配送费满100.0元减2.0元/送3元商家代金券	",否,未回复,,0.00分,0.00,"2020-06-19 01:10:46	",
"	20200601-20200630","90242783754946970	","2020-06-18 14:00:32	",6秒,"友新意鲜花坊	","9024278	","西安	",在线支付,订单完成,用户提交订单,否,239.00,76.00,10.00,158.00,"爱的惊喜	",【心向暖阳】11枝红玫瑰鲜花花束,,"115	",1,229.00,66.00,163.00,153.00,10.00,否,0,0.00,0.00,10.00,是,"满59.0元赠精美贺卡下单备注好内容*1/用户使用了首单支付红包减10元/购买【心向暖阳】11枝红玫瑰鲜花花束原价229.0元现价79.0元/门店新客立减3.0元	",否,已回复,,0.00分,0.00,"2020-06-19 00:09:18	",
