开始日期,结束日期,商家ID,商家名称,运营组,省份,城市,是否新增商家,首次上线日期,门店在线状态,（日均）预设营业时长（h）,（日均）在线营业时长（h）,曝光人数,入店人数,下单人数,下单新客人数,入店转化率,下单转化率,推单数,有效订单数,原价交易额,实付交易额,商家补贴金额,商家原因取消订单数,商家拒单数,商家超时未接单数,商家取消不告知用户订单数,缺货导致退款订单数,商家少送错送导致用户退款订单数,商家质量问题导致用户退款订单数,配送原因取消订单数,拣货超时订单数,使用间或完成按钮订单数,平均骑手到店等待时间（min）,平均骑手送货时长（min）,IM会话数,IM回复数,IM回复率,IM1分钟回复数,差评订单数,投诉订单数,平均商家评分,平均商品评分,平均配送评分,平均配送时长（min）,资质类型（仅药品）,资质有效期（仅药品）
20200101,20200131,1696175,花生活鲜花（520鲜花园艺）,鲜花组,上海市,上海,否,20161103,在线,16.0,16.4,13635,144,1,1,1.06,0.69,2,1,470.0,175.0,334.0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0.0,0,0,0,0.0,0.0,0.0,0.0,,
20200101,20200131,2006070,花生活鲜花（伊馨花坊）,鲜花组,上海市,上海,否,20170213,在线,13.0,13.1,4206,53,0,0,1.26,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,,
20200101,20200131,2174771,花生活鲜花（九零花坊）,鲜花组,上海市,上海,否,20170324,在线,18.0,18.1,2408,59,4,2,2.45,6.78,5,3,1060.0,536.0,641.0,0,0,0,0,0,0,0,0,0,4,0,0,1,1,100.0,1,0,0,0.0,0.0,0.0,0.0,,
20200101,20200131,3468033,花生活鲜花（家美园艺）,鲜花组,上海市,上海,否,20171016,在线,11.0,11.1,6376,296,39,35,4.64,13.18,44,41,11394.0,5872.03,6873.97,0,0,0,0,0,0,0,0,0,43,0,1,12,9,75.0,1,0,0,5.0,5.0,5.0,1.0,,
20200101,20200131,5379291,花生活鲜花（心怡花店）,鲜花组,上海市,上海,否,20180705,在线,24.0,24.0,28805,272,3,2,0.94,1.1,3,3,660.0,345.0,432.0,0,0,0,0,0,0,0,0,0,4,0,0,2,2,100.0,2,0,0,2.9,2.9,3.1,0.0,,
20200101,20200131,6543684,花生活鲜花（椰林花店）,鲜花组,上海市,上海,否,20190130,在线,24.0,24.0,26755,547,35,31,2.04,6.4,35,33,12043.0,7328.0,5916.0,0,0,0,0,0,0,0,0,2,36,0,5,20,18,90.0,8,0,0,0.0,0.0,0.0,7.0,,
20200101,20200131,6968121,花生活鲜花（忆花谷）,鲜花组,上海市,上海,否,20190530,在线,0.0,0.0,724,11,0,0,1.52,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,,
20200101,20200131,7022374,花生活鲜花（萍萍花店）,鲜花组,上海市,上海,否,20190510,在线,23.0,23.8,8873,216,18,9,2.43,8.33,24,21,1421.2,958.2,658.0,2,1,1,0,0,0,0,0,2,22,0,1,1,1,100.0,0,0,1,5.0,5.0,5.0,2.0,,
20200101,20200131,7094045,花生活鲜花（铭相花缘）,鲜花组,上海市,上海,否,20190521,在线,16.0,15.8,7946,216,13,10,2.72,6.02,13,11,2909.0,1932.0,1367.0,1,0,1,0,0,0,0,0,5,14,1,2,3,3,100.0,0,0,1,3.3,3.3,0.0,5.0,,
20200101,20200131,7264474,花生活鲜花（密语花坊）,鲜花组,上海市,上海,否,20190613,在线,24.0,24.0,7167,95,1,1,1.33,1.05,1,1,627.0,118.01,547.99,0,0,0,0,0,0,0,0,0,1,0,0,1,1,100.0,0,0,0,0.0,0.0,0.0,0.0,,
20200101,20200131,7349052,花生活鲜花（赢聚花行）,鲜花组,上海市,上海,否,20190627,在线,16.0,16.6,2803,36,1,0,1.28,2.78,1,0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,,
20200101,20200131,7398752,花生活鲜花（花间鲜花）,鲜花组,上海市,上海,否,20190723,在线,8.0,8.0,6127,168,13,6,2.74,7.74,13,11,2574.0,1554.0,1371.0,0,0,0,0,0,0,0,0,0,12,0,3,2,1,50.0,0,0,0,0.0,0.0,0.0,2.0,,
20200101,20200131,7427905,花生活鲜花（KaMan）,鲜花组,上海市,上海,否,20190713,下线,0.0,0.0,3,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,,
20200101,20200131,7427906,阳光花艺,鲜花组,上海市,上海,否,20190723,下线,0.0,0.0,11,1,0,0,9.09,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,,
20200101,20200131,7475297,花生活鲜花（锦卉花艺）,鲜花组,上海市,上海,否,20190719,在线,24.0,24.0,7823,44,1,0,0.56,2.27,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,100.0,1,0,0,0.0,0.0,0.0,0.0,,
20200101,20200131,7622475,花生活鲜花（爱花人）,鲜花组,上海市,上海,否,20190814,在线,17.0,17.5,2791,48,3,3,1.72,6.25,3,3,1183.0,397.0,898.0,0,0,0,0,0,0,0,0,2,3,0,0,2,2,100.0,0,0,0,0.0,0.0,0.0,0.0,,
20200101,20200131,7907142,花生活鲜花（馨悦花店）,鲜花组,上海市,上海,否,20191205,在线,24.0,24.0,4554,39,3,2,0.86,7.69,3,2,661.0,255.0,479.0,0,0,0,0,0,0,0,0,0,2,0,0,3,3,100.0,2,0,0,0.0,0.0,0.0,0.0,,
20200101,20200131,7994666,花生活鲜花（遇见花艺鲜花店）,鲜花组,上海市,上海,否,20191206,在线,18.0,18.1,3017,51,3,0,1.69,5.88,4,0,0.0,0.0,0.0,3,2,1,0,0,0,0,0,0,1,0,0,1,1,100.0,0,0,0,0.0,0.0,0.0,0.0,,
20200101,20200131,7994670,花生活鲜花（机缘花艺）,鲜花组,上海市,上海,否,20191209,在线,0.0,0.0,1623,17,0,0,1.05,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,,
20200101,20200131,8071980,花生活鲜花（云熙花卉鲜花店）,鲜花组,上海市,上海,否,20191208,下线,0.0,0.0,133,3,0,0,2.26,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,,
