开始日期,结束日期,商家ID,商家名称,运营组,省份,城市,是否新增商家,首次上线日期,门店在线状态,（日均）预设营业时长（h）,（日均）在线营业时长（h）,曝光人数,入店人数,下单人数,下单新客人数,入店转化率,下单转化率,推单数,有效订单数,原价交易额,实付交易额,商家补贴金额,商家原因取消订单数,商家拒单数,商家超时未接单数,商家取消不告知用户订单数,缺货导致退款订单数,商家少送错送导致用户退款订单数,商家质量问题导致用户退款订单数,配送原因取消订单数,拣货超时订单数,使用间或完成按钮订单数,平均骑手到店等待时间（min）,平均骑手送货时长（min）,IM会话数,IM回复数,IM回复率,IM1分钟回复数,差评订单数,投诉订单数,平均商家评分,平均商品评分,平均配送评分,平均配送时长（min）,资质类型（仅药品）,资质有效期（仅药品）
20200101,20200131,1330090,花生活鲜花（唯美花艺）,鲜花组,云南省,大理白族自治州,否,20160816,在线,13.0,13.4,9679,312,5,4,3.22,1.6,6,4,976.0,547.0,585.0,0,0,0,0,0,0,0,0,0,4,0,0,4,4,100.0,0,0,0,0.0,0.0,0.0,0.0,,
20200101,20200131,4873097,花生活鲜花（艳丽花卉）,鲜花组,云南省,曲靖,否,20180502,下线,0.0,0.0,53,3,0,0,5.66,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,,
20200101,20200131,5844824,花生活鲜花（有爱花坊）,鲜花组,云南省,丽江,否,20180928,在线,0.0,0.5,3298,44,1,0,1.33,2.27,1,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,,
20200101,20200131,7194721,花生活鲜花（四季春花艺美学馆）,鲜花组,云南省,丽江,否,20190614,在线,24.0,24.0,15354,460,23,11,3.0,5.0,24,11,3543.0,2141.0,1826.0,0,0,0,0,0,0,0,0,0,12,0,0,4,3,75.0,1,0,0,0.0,0.0,0.0,0.0,,
20200101,20200131,7196730,友缘鲜花,鲜花组,云南省,曲靖,否,20190614,在线,13.0,12.5,2562,15,0,0,0.59,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,,
20200101,20200131,8207120,花生活鲜花（馨之园鲜花店）,鲜花组,云南省,昆明,否,20191126,在线,13.0,13.8,8809,124,6,4,1.41,4.84,6,5,868.0,703.0,204.0,0,0,0,0,0,0,0,0,0,6,0,0,1,1,100.0,0,0,0,3.3,3.3,3.4,0.0,,
20200101,20200131,8258610,花生活鲜花（尚艺空间花艺）,鲜花组,云南省,昆明,否,20191205,在线,19.0,19.2,4502,55,1,0,1.22,1.82,1,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,66.67,0,0,0,0.0,0.0,0.0,0.0,,
20200101,20200131,8278455,花生活鲜花（启美花卉）,鲜花组,云南省,昆明,否,20191220,在线,9.0,9.4,1946,26,0,0,1.34,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,100.0,0,0,0,0.0,0.0,0.0,0.0,,
20200101,20200131,8280460,花生活鲜花（遇见花坊）,鲜花组,云南省,昆明,否,20191206,在线,6.0,6.1,3092,39,0,0,1.26,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,,
20200101,20200131,8284382,花生活鲜花（胡子花艺）,鲜花组,云南省,昆明,否,20191209,在线,9.0,9.9,20209,667,16,10,3.3,2.4,22,20,2410.0,1133.0,1589.0,1,0,1,0,0,0,0,0,0,21,0,0,7,6,85.71,0,0,0,0.3,0.3,0.3,0.0,,
