开始日期,结束日期,商家ID,商家名称,运营组,省份,城市,是否新增商家,首次上线日期,门店在线状态,（日均）预设营业时长（h）,（日均）在线营业时长（h）,曝光人数,入店人数,下单人数,下单新客人数,入店转化率,下单转化率,推单数,有效订单数,原价交易额,实付交易额,商家补贴金额,商家原因取消订单数,商家拒单数,商家超时未接单数,商家取消不告知用户订单数,缺货导致退款订单数,商家少送错送导致用户退款订单数,商家质量问题导致用户退款订单数,配送原因取消订单数,拣货超时订单数,使用间或完成按钮订单数,平均骑手到店等待时间（min）,平均骑手送货时长（min）,IM会话数,IM回复数,IM回复率,IM1分钟回复数,差评订单数,投诉订单数,平均商家评分,平均商品评分,平均配送评分,平均配送时长（min）,资质类型（仅药品）,资质有效期（仅药品）
20200101,20200131,5196478,郁涧鲜花坊,鲜花组,内蒙古自治区,赤峰,否,20180612,在线,19.0,19.8,18302,311,10,6,1.7,3.22,12,11,2178.0,729.0,1449.0,0,0,0,0,0,0,0,0,0,11,0,0,3,2,66.67,2,0,0,3.1,3.1,1.6,0.0,,
20200101,20200131,7166115,花生活鲜花（彩阳花艺）,鲜花组,内蒙古自治区,巴彦淖尔,否,20190611,在线,0.0,0.0,3901,30,0,0,0.77,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,,
20200101,20200131,7207843,花生活鲜花（花殿鲜花店）,鲜花组,内蒙古自治区,呼伦贝尔,否,20190603,在线,21.0,21.4,16485,300,6,2,1.82,2.0,4,2,483.0,305.0,251.0,2,2,0,0,0,0,0,0,0,2,0,0,3,3,100.0,1,0,0,0.0,0.0,0.0,0.0,,
20200101,20200131,8089012,花生活鲜花（三爷花店）,鲜花组,内蒙古自治区,乌海,否,20191126,在线,14.0,14.5,5666,215,6,0,3.79,2.79,6,1,58.0,19.0,39.0,5,2,3,0,0,0,0,0,0,1,0,0,6,5,83.33,0,0,0,0.0,0.0,0.0,0.0,,
20200201,20200229,5196478,郁涧鲜花坊,鲜花组,内蒙古自治区,赤峰,否,20180612,在线,16.0,16.6,54485,1404,35,27,2.58,2.49,33,27,9617.0,4162.0,5450.0,0,0,0,0,0,0,0,0,0,34,0,0,29,26,89.66,17,1,0,1.6,1.6,0.0,0.0,,
20200201,20200229,7166115,花生活鲜花（彩阳花艺）,鲜花组,内蒙古自治区,巴彦淖尔,否,20190611,在线,0.0,0.0,5068,23,0,0,0.45,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,,
20200201,20200229,7207843,花生活鲜花（花殿鲜花店）,鲜花组,内蒙古自治区,呼伦贝尔,否,20190603,在线,3.0,3.1,8923,85,1,0,0.95,1.18,1,0,0.0,0.0,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,,
20200201,20200229,8089012,花生活鲜花（三爷花店）,鲜花组,内蒙古自治区,乌海,否,20191126,在线,13.0,13.4,17895,590,25,18,3.3,4.24,25,19,3945.02,1656.02,2796.0,3,3,0,0,0,0,0,0,0,22,0,0,12,8,66.67,1,0,0,1.6,1.6,1.6,0.0,,
20200201,20200229,8471427,心爱之语鲜花,鲜花组,内蒙古自治区,通辽,否,20200225,在线,20.0,20.3,8504,82,0,0,0.96,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,,
20200301,20200331,5196478,郁涧鲜花坊,鲜花组,内蒙古自治区,赤峰,否,20180612,在线,22.0,22.5,25990,788,41,34,3.03,5.2,42,39,11142.0,4508.0,6675.0,0,0,0,0,0,0,0,0,0,42,0,0,24,23,95.83,9,0,0,3.9,3.9,4.0,3.0,,
20200301,20200331,7166115,花生活鲜花（彩阳花艺）,鲜花组,内蒙古自治区,巴彦淖尔,否,20190611,在线,0.0,0.0,5100,43,0,0,0.84,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,,
20200301,20200331,7207843,花生活鲜花（花殿鲜花店）,鲜花组,内蒙古自治区,呼伦贝尔,否,20190603,在线,12.0,11.5,18325,313,12,9,1.71,3.83,11,9,2084.0,1103.0,1327.0,1,1,0,0,0,0,0,0,0,11,0,0,3,1,33.33,0,0,0,0.0,0.0,0.0,0.0,,
20200301,20200331,8089012,花生活鲜花（三爷花店）,鲜花组,内蒙古自治区,乌海,否,20191126,在线,22.0,22.0,21118,1103,49,46,5.22,4.44,50,47,14053.0,11412.0,8283.0,0,0,0,0,0,0,0,0,0,49,0,0,24,20,83.33,5,1,0,5.0,5.0,5.0,0.0,,
20200301,20200331,8471427,心爱之语鲜花,鲜花组,内蒙古自治区,通辽,否,20200225,在线,14.0,13.8,11714,301,12,8,2.57,3.99,12,8,2055.0,1192.0,1175.0,1,1,0,0,0,0,0,0,0,9,0,0,7,6,85.71,2,0,0,0.0,0.0,0.0,0.0,,
20200301,20200331,8595633,小玲盆栽鲜花店,鲜花组,内蒙古自治区,呼和浩特,否,20200306,在线,17.0,17.2,280,19,0,0,6.79,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,,
