开始日期,结束日期,商家ID,商家名称,运营组,省份,城市,是否新增商家,首次上线日期,门店在线状态,（日均）预设营业时长（h）,（日均）在线营业时长（h）,曝光人数,入店人数,下单人数,下单新客人数,入店转化率,下单转化率,推单数,有效订单数,原价交易额,实付交易额,商家补贴金额,商家原因取消订单数,商家拒单数,商家超时未接单数,商家取消不告知用户订单数,缺货导致退款订单数,商家少送错送导致用户退款订单数,商家质量问题导致用户退款订单数,配送原因取消订单数,拣货超时订单数,使用间或完成按钮订单数,平均骑手到店等待时间（min）,平均骑手送货时长（min）,IM会话数,IM回复数,IM回复率,IM1分钟回复数,差评订单数,投诉订单数,平均商家评分,平均商品评分,平均配送评分,平均配送时长（min）,资质类型（仅药品）,资质有效期（仅药品）
20200101,20200131,4139743,花日国际,鲜花组,北京市,北京,否,20171222,下线,0.0,0.0,3,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,,
20200101,20200131,4464626,花生活鲜花（雪莲花艺）,鲜花组,北京市,北京,否,20180422,在线,15.0,15.1,2683,65,4,1,2.42,6.15,4,2,381.0,173.0,286.0,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,,
20200101,20200131,5332337,花生活鲜花（四季花屋）,鲜花组,北京市,北京,否,20180628,在线,24.0,24.0,7956,120,2,2,1.51,1.67,2,2,456.0,380.0,154.0,0,0,0,0,0,0,0,0,0,2,0,0,2,1,50.0,1,0,0,0.0,0.0,0.0,0.0,,
20200101,20200131,6305029,花生活鲜花（庆祝花卉）,鲜花组,北京市,北京,否,20181210,在线,18.0,18.6,6922,214,13,9,3.09,6.07,14,11,2653.0,1799.9,853.09,2,0,1,0,1,0,0,0,0,13,0,3,4,4,100.0,3,0,0,3.5,3.5,3.9,3.0,,
20200101,20200131,7022273,花生活鲜花（花漾flower鲜花店）,鲜花组,北京市,北京,否,20190508,在线,18.0,18.3,5153,120,10,9,2.33,8.33,11,8,1794.0,1470.0,756.0,2,1,1,0,0,0,0,0,0,10,0,0,2,0,0.0,0,0,0,0.0,0.0,0.0,0.0,,
20200101,20200131,7634499,花生活鲜花（鲜花绿植）,鲜花组,北京市,北京,否,20190903,在线,18.0,18.2,3929,84,3,0,2.14,3.57,3,0,0.0,0.0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,,
20200101,20200131,7785891,花生活鲜花（宋庄花店）,鲜花组,北京市,北京,否,20190918,在线,17.0,17.8,10439,192,3,1,1.84,1.56,2,1,298.0,165.0,172.0,1,0,1,0,0,0,0,0,0,1,0,0,3,2,66.67,1,0,0,0.0,0.0,0.0,0.0,,
20200101,20200131,7934077,花生活鲜花（夜来香鲜花）,鲜花组,北京市,北京,否,20191123,在线,24.0,24.0,40353,521,0,0,1.29,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,33.33,0,0,0,0.5,0.5,0.5,0.0,,
20200101,20200131,8071981,花生活鲜花（红豆情鲜花）,鲜花组,北京市,北京,否,20191224,在线,15.0,15.5,9499,178,7,3,1.87,3.93,6,3,1064.0,835.0,346.0,2,2,0,0,0,0,0,0,0,3,0,0,5,4,80.0,1,0,0,0.0,0.0,0.0,0.0,,
20200201,20200229,4464626,花生活鲜花（雪莲花艺）,鲜花组,北京市,北京,否,20180422,在线,0.0,0.0,1006,5,0,0,0.5,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,,
