开始日期,结束日期,商家ID,商家名称,运营组,省份,城市,是否新增商家,首次上线日期,门店在线状态,（日均）预设营业时长（h）,（日均）在线营业时长（h）,曝光人数,入店人数,下单人数,下单新客人数,入店转化率,下单转化率,推单数,有效订单数,原价交易额,实付交易额,商家补贴金额,商家原因取消订单数,商家拒单数,商家超时未接单数,商家取消不告知用户订单数,缺货导致退款订单数,商家少送错送导致用户退款订单数,商家质量问题导致用户退款订单数,配送原因取消订单数,拣货超时订单数,使用间或完成按钮订单数,平均骑手到店等待时间（min）,平均骑手送货时长（min）,IM会话数,IM回复数,IM回复率,IM1分钟回复数,差评订单数,投诉订单数,平均商家评分,平均商品评分,平均配送评分,平均配送时长（min）,资质类型（仅药品）,资质有效期（仅药品）
20200101,20200131,6579105,花生活鲜花（经典鲜花蛋糕）,鲜花组,吉林省,长春,否,20190403,在线,24.0,24.0,9308,103,0,0,1.11,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,100.0,1,0,0,0.0,0.0,0.0,0.0,,
20200101,20200131,6968235,花生活鲜花（奢漫花艺）,鲜花组,吉林省,长春,否,20190428,在线,16.0,16.7,7097,147,4,1,2.07,2.72,4,4,905.0,375.0,686.0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,,
20200101,20200131,8278322,花生活鲜花（岭铖花坊）,鲜花组,吉林省,四平,否,20191206,在线,17.0,17.4,8057,244,8,0,3.03,3.28,6,0,0.0,0.0,0.0,6,3,3,0,0,0,0,0,0,0,0,0,1,0,0.0,0,0,0,0.0,0.0,0.0,0.0,,
20200201,20200229,6579105,花生活鲜花（经典鲜花蛋糕）,鲜花组,吉林省,长春,否,20190403,在线,21.0,21.7,8426,67,0,0,0.8,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,,
20200201,20200229,6968235,花生活鲜花（奢漫花艺）,鲜花组,吉林省,长春,否,20190428,在线,22.0,22.4,13283,280,6,3,2.11,2.14,5,5,1250.0,546.0,821.0,0,0,0,0,0,0,0,0,0,5,0,0,2,2,100.0,2,0,0,4.5,4.5,4.5,0.0,,
20200201,20200229,8278322,花生活鲜花（岭铖花坊）,鲜花组,吉林省,四平,否,20191206,在线,7.0,7.2,7897,287,8,3,3.63,2.79,10,3,1310.0,578.0,849.0,7,7,0,0,0,0,0,0,0,4,0,0,6,6,100.0,6,0,0,0.0,0.0,0.0,0.0,,
20200201,20200229,8492060,绿洲花店,鲜花组,吉林省,延边朝鲜族自治州,否,20200211,在线,0.0,0.6,4530,85,0,0,1.88,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,,
20200301,20200331,6579105,花生活鲜花（经典鲜花蛋糕）,鲜花组,吉林省,长春,否,20190403,在线,24.0,24.0,4646,71,0,0,1.53,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,33.33,0,0,0,0.0,0.0,0.0,0.0,,
20200301,20200331,6968235,花生活鲜花（奢漫花艺）,鲜花组,吉林省,长春,否,20190428,在线,24.0,24.0,6605,204,12,11,3.09,5.88,14,13,2767.0,1192.0,2082.0,0,0,0,0,0,0,0,0,0,13,0,0,9,8,88.89,6,0,0,3.5,3.5,2.5,0.0,,
20200301,20200331,8278322,花生活鲜花（岭铖花坊）,鲜花组,吉林省,四平,否,20191206,在线,13.0,13.5,8215,297,13,7,3.62,4.38,13,7,1996.0,1004.0,1265.0,6,6,0,0,0,0,0,0,0,7,0,0,5,5,100.0,2,0,0,0.0,0.0,0.0,0.0,,
20200301,20200331,8492060,绿洲花店,鲜花组,吉林省,延边朝鲜族自治州,否,20200211,在线,0.0,0.0,1644,26,0,0,1.58,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,,
20200401,20200430,6579105,花生活鲜花（经典鲜花蛋糕）,鲜花组,吉林省,长春,否,20190403,在线,24.0,24.0,3576,67,0,0,1.87,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,,
