开始日期,结束日期,商家ID,商家名称,运营组,省份,城市,是否新增商家,首次上线日期,门店在线状态,（日均）预设营业时长（h）,（日均）在线营业时长（h）,曝光人数,入店人数,下单人数,下单新客人数,入店转化率,下单转化率,推单数,有效订单数,原价交易额,实付交易额,商家补贴金额,商家原因取消订单数,商家拒单数,商家超时未接单数,商家取消不告知用户订单数,缺货导致退款订单数,商家少送错送导致用户退款订单数,商家质量问题导致用户退款订单数,配送原因取消订单数,拣货超时订单数,使用间或完成按钮订单数,平均骑手到店等待时间（min）,平均骑手送货时长（min）,IM会话数,IM回复数,IM回复率,IM1分钟回复数,差评订单数,投诉订单数,平均商家评分,平均商品评分,平均配送评分,平均配送时长（min）,资质类型（仅药品）,资质有效期（仅药品）
20200101,20200131,3095162,花生活鲜花（花瓣雨花坊）,鲜花组,天津市,天津,否,20170812,在线,22.0,22.7,9291,114,0,0,1.23,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,50.0,1,0,0,0.0,0.0,0.0,0.0,,
20200101,20200131,4473272,花生活鲜花（祥瑞花艺坊）,鲜花组,天津市,天津,否,20180321,在线,17.0,17.5,4144,78,1,1,1.88,1.28,1,1,680.0,269.0,450.0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0.0,0,0,0,0.0,0.0,0.0,0.0,,
20200101,20200131,7349060,花生活鲜花（饰美鲜花）,鲜花组,天津市,天津,否,20190724,在线,17.0,17.5,2582,32,0,0,1.24,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,,
20200101,20200131,7392897,花生活鲜花（阿紫鲜花店）,鲜花组,天津市,天津,否,20190708,在线,24.0,24.0,9521,93,0,0,0.98,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,50.0,0,0,0,0.0,0.0,0.0,0.0,,
20200101,20200131,7994673,花生活鲜花（禾木鲜花店）,鲜花组,天津市,天津,否,20191205,在线,24.0,24.0,15243,220,4,3,1.44,1.82,5,4,221.0,121.0,139.0,1,0,0,0,1,0,0,0,0,5,0,0,3,3,100.0,1,0,0,2.3,2.3,2.3,0.0,,
20200101,20200131,8250906,花生活鲜花（薇花坊鲜花店）,鲜花组,天津市,天津,否,20191205,在线,24.0,24.0,6276,41,0,0,0.65,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,,
20200101,20200131,8250907,花生活鲜花（恋恋繁花鲜花店）,鲜花组,天津市,天津,否,20191205,在线,24.0,24.0,7359,41,0,0,0.56,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,,
20200101,20200131,8253593,花生活鲜花（花语鲜花坊花店）,鲜花组,天津市,天津,否,20191205,在线,24.0,24.0,10553,185,2,1,1.75,1.08,1,1,245.0,125.0,159.0,0,0,0,0,0,0,0,0,0,1,0,0,4,3,75.0,1,0,0,0.0,0.0,0.0,0.0,,
20200101,20200131,8278268,花生活鲜花（慧宇花屋）,鲜花组,天津市,天津,否,20200120,在线,8.0,8.4,813,15,0,0,1.85,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,,
20200101,20200131,8471409,花生活鲜花（香谷鲜花）,鲜花组,天津市,天津,否,20200121,在线,4.0,4.0,3542,35,0,0,0.99,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,,
20200201,20200229,3095162,花生活鲜花（花瓣雨花坊）,鲜花组,天津市,天津,否,20170812,在线,0.0,0.5,1272,4,1,0,0.31,25.0,1,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,100.0,0,0,0,0.0,0.0,0.0,0.0,,
20200201,20200229,4473272,花生活鲜花（祥瑞花艺坊）,鲜花组,天津市,天津,否,20180321,在线,22.0,22.0,8780,104,3,2,1.18,2.88,3,2,853.0,590.0,341.0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,,
20200201,20200229,7349060,花生活鲜花（饰美鲜花）,鲜花组,天津市,天津,否,20190724,在线,17.0,17.5,4782,46,0,0,0.96,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,100.0,0,0,0,0.0,0.0,0.0,0.0,,
