开始日期,结束日期,商家ID,商家名称,运营组,省份,城市,是否新增商家,首次上线日期,门店在线状态,（日均）预设营业时长（h）,（日均）在线营业时长（h）,曝光人数,入店人数,下单人数,下单新客人数,入店转化率,下单转化率,推单数,有效订单数,原价交易额,实付交易额,商家补贴金额,商家原因取消订单数,商家拒单数,商家超时未接单数,商家取消不告知用户订单数,缺货导致退款订单数,商家少送错送导致用户退款订单数,商家质量问题导致用户退款订单数,配送原因取消订单数,拣货超时订单数,使用间或完成按钮订单数,平均骑手到店等待时间（min）,平均骑手送货时长（min）,IM会话数,IM回复数,IM回复率,IM1分钟回复数,差评订单数,投诉订单数,平均商家评分,平均商品评分,平均配送评分,平均配送时长（min）,资质类型（仅药品）,资质有效期（仅药品）
20200101,20200131,833749,花生活鲜花（卉轩鲜花礼品店）,鲜花组,宁夏回族自治区,银川,否,20190801,在线,24.0,24.0,8104,53,0,0,0.65,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,,
20200101,20200131,2402349,花生活鲜花（静静花艺银盛路店）,鲜花组,宁夏回族自治区,银川,否,20170430,在线,24.0,24.0,5447,59,0,0,1.08,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,50.0,0,0,0,0.0,0.0,0.0,0.0,,
20200101,20200131,5740741,花生活鲜花（唯爱花艺）,鲜花组,宁夏回族自治区,银川,否,20180905,在线,22.0,22.0,7466,147,12,9,1.97,8.16,15,11,2360.0,1622.0,1161.0,3,0,3,0,0,0,0,0,0,13,0,0,6,5,83.33,3,0,0,0.0,0.0,0.0,0.0,,
20200101,20200131,6503029,花生活鲜花（漫漫鲜花坊）,鲜花组,宁夏回族自治区,银川,否,20190210,在线,24.0,24.0,7799,95,1,0,1.22,1.05,4,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,,
20200101,20200131,6533841,花生活鲜花（花花世界兴庆区店）,鲜花组,宁夏回族自治区,银川,否,20190130,在线,17.0,17.8,2918,36,1,0,1.23,2.78,1,0,0.0,0.0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,,
20200101,20200131,6928399,花生活鲜花（有间鲜花店）,鲜花组,宁夏回族自治区,银川,否,20190718,在线,24.0,24.0,12152,302,8,7,2.49,2.65,7,7,2132.0,1000.01,1404.99,0,0,0,0,0,0,0,0,0,7,0,0,6,4,66.67,1,0,0,0.0,0.0,0.0,0.0,,
20200101,20200131,7317971,花生活鲜花（如意花坊银川店店）,鲜花组,宁夏回族自治区,银川,否,20190708,在线,24.0,24.0,7557,80,2,1,1.06,2.5,2,1,168.0,145.0,62.0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0.0,0,0,0,0.0,0.0,0.0,0.0,,
20200101,20200131,7428704,花生活鲜花（水晶之恋花坊）,鲜花组,宁夏回族自治区,中卫,否,20190723,在线,13.0,13.0,6933,149,2,1,2.15,1.34,2,1,489.0,152.0,376.0,1,0,1,0,0,0,0,0,0,1,0,0,5,4,80.0,0,0,0,0.0,0.0,0.0,0.0,,
20200101,20200131,7475402,花生活鲜花（百合花坊）,鲜花组,宁夏回族自治区,中卫,否,20190730,在线,22.0,22.8,17802,725,5,3,4.07,0.69,5,3,840.0,355.0,602.0,0,0,0,0,0,0,0,0,0,4,0,0,3,3,100.0,2,0,0,0.0,0.0,0.0,0.0,,
20200101,20200131,7545489,花生活鲜花（花草堂鲜花店）,鲜花组,宁夏回族自治区,银川,否,20190731,在线,21.0,20.9,7072,142,4,2,2.01,2.82,4,3,818.0,454.0,481.0,1,1,0,0,0,0,0,0,0,3,0,0,1,1,100.0,0,0,0,0.0,0.0,0.0,0.0,,
20200101,20200131,7743130,花生活鲜花（静静花艺凤凰北街店）,鲜花组,宁夏回族自治区,银川,否,20190905,在线,22.0,22.0,5425,80,2,1,1.47,2.5,2,1,370.0,142.0,267.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,,
20200101,20200131,8278261,花生活鲜花（一品花艺）,鲜花组,宁夏回族自治区,银川,否,20191205,在线,18.0,18.3,9971,228,18,13,2.29,7.89,17,14,5823.0,1644.1,4761.9,1,0,0,0,1,0,0,0,0,19,0,0,7,3,42.86,0,0,0,5.0,5.0,5.0,0.0,,
20200201,20200229,833749,花生活鲜花（卉轩鲜花礼品店）,鲜花组,宁夏回族自治区,银川,否,20190801,在线,4.0,4.7,6196,32,0,0,0.52,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,100.0,0,0,0,0.0,0.0,0.0,0.0,,
20200201,20200229,2402349,花生活鲜花（静静花艺银盛路店）,鲜花组,宁夏回族自治区,银川,否,20170430,在线,15.0,15.1,11486,140,5,1,1.22,3.57,5,1,370.0,175.0,234.0,1,1,0,0,0,0,0,0,0,1,0,0,7,3,42.86,1,0,0,0.0,0.0,0.0,0.0,,
20200201,20200229,5740741,花生活鲜花（唯爱花艺）,鲜花组,宁夏回族自治区,银川,否,20180905,在线,19.0,19.4,20560,490,33,29,2.38,6.73,33,28,9396.0,5590.0,5066.0,0,0,0,0,0,0,0,0,0,34,0,0,27,25,92.59,11,0,0,0.0,0.0,0.0,0.0,,
20200201,20200229,6503029,花生活鲜花（漫漫鲜花坊）,鲜花组,宁夏回族自治区,银川,否,20190210,在线,24.0,24.0,23636,342,12,8,1.45,3.51,15,8,3435.0,1544.0,2203.0,0,0,0,0,0,0,0,0,3,10,0,0,7,7,100.0,6,0,0,0.0,0.0,0.0,0.0,,
20200201,20200229,6533841,花生活鲜花（花花世界兴庆区店）,鲜花组,宁夏回族自治区,银川,否,20190130,在线,0.0,0.0,497,2,0,0,0.4,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,,
20200201,20200229,6928399,花生活鲜花（有间鲜花店）,鲜花组,宁夏回族自治区,银川,否,20190718,在线,17.0,17.5,12109,334,7,4,2.76,2.1,6,4,1298.0,658.0,796.0,1,1,0,0,0,0,0,0,0,5,0,0,3,2,66.67,0,0,0,0.0,0.0,0.0,0.0,,
20200201,20200229,7317971,花生活鲜花（如意花坊银川店店）,鲜花组,宁夏回族自治区,银川,否,20190708,在线,6.0,6.0,6519,56,3,3,0.86,5.36,4,3,935.0,447.0,605.0,0,0,0,0,0,0,0,0,0,3,0,0,1,1,100.0,0,0,0,0.0,0.0,0.0,0.0,,
20200201,20200229,7428704,花生活鲜花（水晶之恋花坊）,鲜花组,宁夏回族自治区,中卫,否,20190723,在线,0.0,0.0,4650,36,0,0,0.77,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,,
20200201,20200229,7475402,花生活鲜花（百合花坊）,鲜花组,宁夏回族自治区,中卫,否,20190730,在线,9.0,9.9,24426,1532,25,13,6.27,1.63,25,13,4351.0,2490.0,2321.0,7,7,0,0,0,0,0,0,0,19,0,0,31,28,90.32,13,1,0,0.0,0.0,0.0,0.0,,
20200201,20200229,7545489,花生活鲜花（花草堂鲜花店）,鲜花组,宁夏回族自治区,银川,否,20190731,在线,24.0,23.9,19671,371,15,14,1.89,4.04,16,14,4712.0,2569.0,2689.0,2,2,0,0,0,0,0,0,0,16,0,0,11,9,81.82,3,0,0,0.0,0.0,0.0,0.0,,
20200201,20200229,7743130,花生活鲜花（静静花艺凤凰北街店）,鲜花组,宁夏回族自治区,银川,否,20190905,在线,10.0,10.4,8769,70,1,0,0.8,1.43,1,0,0.0,0.0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,,
