开始日期,结束日期,商家ID,商家名称,运营组,省份,城市,是否新增商家,首次上线日期,门店在线状态,（日均）预设营业时长（h）,（日均）在线营业时长（h）,曝光人数,入店人数,下单人数,下单新客人数,入店转化率,下单转化率,推单数,有效订单数,原价交易额,实付交易额,商家补贴金额,商家原因取消订单数,商家拒单数,商家超时未接单数,商家取消不告知用户订单数,缺货导致退款订单数,商家少送错送导致用户退款订单数,商家质量问题导致用户退款订单数,配送原因取消订单数,拣货超时订单数,使用间或完成按钮订单数,平均骑手到店等待时间（min）,平均骑手送货时长（min）,IM会话数,IM回复数,IM回复率,IM1分钟回复数,差评订单数,投诉订单数,平均商家评分,平均商品评分,平均配送评分,平均配送时长（min）,资质类型（仅药品）,资质有效期（仅药品）
20200101,20200131,642989,花生活鲜花（春季花艺）,鲜花组,安徽省,合肥,否,20151223,在线,24.0,24.0,5822,49,0,0,0.84,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,,
20200101,20200131,2880558,花生活鲜花（创意花坊）,鲜花组,安徽省,合肥,否,20170712,在线,24.0,24.0,4314,52,1,1,1.21,1.92,1,1,198.0,145.0,92.0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,100.0,0,0,0,0.0,0.0,0.0,0.0,,
20200101,20200131,3464481,花生活鲜花（香侬鲜花水果）,鲜花组,安徽省,合肥,否,20171013,在线,24.0,24.0,3705,45,1,1,1.21,2.22,1,1,395.0,125.0,309.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,,
20200101,20200131,3713872,花生活鲜花（泽凤花店）,鲜花组,安徽省,合肥,否,20171115,在线,19.0,19.4,6645,66,5,4,0.99,7.58,5,5,1607.0,630.0,1164.0,0,0,0,0,0,0,0,0,0,5,0,0,1,1,100.0,0,0,0,0.0,0.0,0.0,0.0,,
20200101,20200131,6074581,有间花店,鲜花组,安徽省,黄山,否,20181031,在线,19.0,19.0,6619,144,0,0,2.18,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,100.0,1,0,0,0.0,0.0,0.0,0.0,,
20200101,20200131,6104153,花生活鲜花（花伴鲜花）,鲜花组,安徽省,滁州,否,20181125,在线,21.0,21.6,17997,176,2,0,0.98,1.14,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,,
20200101,20200131,6132769,花生活鲜花（艾洛芙花坊）,鲜花组,安徽省,合肥,否,20190702,在线,22.0,22.2,13152,272,10,7,2.07,3.68,10,10,1895.0,1258.0,910.0,0,0,0,0,0,0,0,0,0,10,0,0,5,5,100.0,2,0,0,2.4,2.4,2.4,0.0,,
20200101,20200131,6197578,花生活鲜花（翔远花艺）,鲜花组,安徽省,合肥,否,20181203,在线,19.0,19.8,4355,37,1,0,0.85,2.7,2,0,0.0,0.0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,,
20200101,20200131,6609908,花生活鲜花（唯爱花店）,鲜花组,安徽省,合肥,否,20190405,在线,18.0,18.5,2267,38,0,0,1.68,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,1.5,1.5,1.5,0.0,,
20200101,20200131,6704550,花生活鲜花（萌宠一花语）,鲜花组,安徽省,安庆,否,20190315,在线,24.0,24.0,15926,156,0,0,0.98,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,66.67,0,0,0,0.0,0.0,0.0,0.0,,
