开始日期,结束日期,商家ID,商家名称,运营组,省份,城市,是否新增商家,首次上线日期,门店在线状态,（日均）预设营业时长（h）,（日均）在线营业时长（h）,曝光人数,入店人数,下单人数,下单新客人数,入店转化率,下单转化率,推单数,有效订单数,原价交易额,实付交易额,商家补贴金额,商家原因取消订单数,商家拒单数,商家超时未接单数,商家取消不告知用户订单数,缺货导致退款订单数,商家少送错送导致用户退款订单数,商家质量问题导致用户退款订单数,配送原因取消订单数,拣货超时订单数,使用间或完成按钮订单数,平均骑手到店等待时间（min）,平均骑手送货时长（min）,IM会话数,IM回复数,IM回复率,IM1分钟回复数,差评订单数,投诉订单数,平均商家评分,平均商品评分,平均配送评分,平均配送时长（min）,资质类型（仅药品）,资质有效期（仅药品）
20200101,20200131,2666240,花生活鲜花（祥和鲜花）,鲜花组,山东省,青岛,否,20170612,在线,24.0,24.0,15275,192,3,2,1.26,1.56,3,3,2940.0,243.09,2774.91,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,,
20200101,20200131,5845622,花生活鲜花（达奇花艺）,鲜花组,山东省,济南,否,20181107,在线,24.0,24.0,6916,91,0,0,1.32,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,100.0,0,0,0,0.0,0.0,0.0,0.0,,
20200101,20200131,5866954,花生活鲜花（俪缘花店）,鲜花组,山东省,青岛,否,20181008,在线,22.0,22.7,8951,99,2,0,1.11,2.02,1,0,0.0,0.0,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,,
20200101,20200131,6773940,花生活鲜花（鲜花婚庆）,鲜花组,山东省,德州,否,20190422,在线,22.0,22.3,33636,570,11,8,1.69,1.93,12,11,5808.0,1717.09,4480.91,0,0,0,0,0,0,0,0,0,12,0,0,3,3,100.0,3,0,0,5.0,5.0,5.0,0.0,,
20200101,20200131,6881023,花生活鲜花（爱花行）,鲜花组,山东省,枣庄,否,20190415,在线,16.0,16.2,12235,217,4,0,1.77,1.84,4,4,1238.0,329.01,1025.99,0,0,0,0,0,0,0,0,0,5,0,0,2,2,100.0,1,0,0,2.6,2.6,2.4,0.0,,
20200101,20200131,6944778,花生活鲜花（伟爵爷仪嘉花艺馆）,鲜花组,山东省,烟台,否,20190919,在线,24.0,24.0,10544,124,2,0,1.18,1.61,1,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,,
20200101,20200131,7008016,花生活鲜花（千花坊鲜花店）,鲜花组,山东省,枣庄,否,20190609,在线,0.0,0.0,4549,48,0,0,1.06,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,,
20200101,20200131,7166113,花生活鲜花（浪漫鲜花坊）,鲜花组,山东省,德州,否,20190611,在线,24.0,24.0,14556,117,1,0,0.8,0.85,2,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0,0,0,0.0,0.0,0.0,0.0,,
20200101,20200131,7392900,花生活鲜花（如意花坊济南店）,鲜花组,山东省,莱芜,否,20190718,在线,20.0,20.4,22017,272,1,0,1.24,0.37,2,0,0.0,0.0,0.0,2,2,0,0,0,0,0,0,0,0,0,0,1,1,100.0,1,0,0,0.0,0.0,0.0,0.0,,
20200101,20200131,7475294,花生活鲜花（苔米花艺）,鲜花组,山东省,烟台,否,20190723,在线,24.0,24.0,13465,189,0,0,1.4,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0,0,0,0.0,0.0,0.0,0.0,,
