开始日期,结束日期,商家ID,商家名称,运营组,省份,城市,是否新增商家,首次上线日期,门店在线状态,（日均）预设营业时长（h）,（日均）在线营业时长（h）,曝光人数,入店人数,下单人数,下单新客人数,入店转化率,下单转化率,推单数,有效订单数,原价交易额,实付交易额,商家补贴金额,商家原因取消订单数,商家拒单数,商家超时未接单数,商家取消不告知用户订单数,缺货导致退款订单数,商家少送错送导致用户退款订单数,商家质量问题导致用户退款订单数,配送原因取消订单数,拣货超时订单数,使用间或完成按钮订单数,平均骑手到店等待时间（min）,平均骑手送货时长（min）,IM会话数,IM回复数,IM回复率,IM1分钟回复数,差评订单数,投诉订单数,平均商家评分,平均商品评分,平均配送评分,平均配送时长（min）,资质类型（仅药品）,资质有效期（仅药品）
20200101,20200131,2922099,花生活鲜花（小草堂花艺生活馆）,鲜花组,山西省,太原,否,20170721,在线,24.0,24.0,10440,141,6,4,1.35,4.26,6,4,813.02,397.02,572.0,0,0,0,0,0,0,0,0,0,4,0,0,6,6,100.0,2,0,0,0.0,0.0,0.0,0.0,,
20200101,20200131,6773727,花生活鲜花（水滴鲜花花艺）,鲜花组,山西省,太原,否,20190510,在线,18.0,18.1,11520,268,10,7,2.33,3.73,12,8,9488.0,1171.27,8506.73,0,0,0,0,0,0,0,0,0,10,0,0,4,1,25.0,0,0,0,0.7,0.7,0.7,0.0,,
20200101,20200131,7022375,花生活鲜花（冉绘鲜花）,鲜花组,山西省,吕梁,否,20190514,在线,24.0,24.0,16788,334,5,4,1.99,1.5,4,4,1757.0,735.0,1178.0,0,0,0,0,0,0,0,0,0,4,0,0,4,2,50.0,0,0,0,0.0,0.0,0.0,0.0,,
20200101,20200131,7934067,花生活鲜花（浪漫花都）,鲜花组,山西省,运城,否,20191123,在线,21.0,21.2,3818,115,1,0,3.01,0.87,1,0,0.0,0.0,0.0,1,1,0,0,0,0,0,0,0,0,0,0,3,1,33.33,0,0,0,0.0,0.0,0.0,0.0,,
20200101,20200131,8094434,花生活鲜花（浩美鲜花礼品）,鲜花组,山西省,吕梁,否,20191123,在线,24.0,24.0,4533,61,0,0,1.35,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,,
20200201,20200229,2922099,花生活鲜花（小草堂花艺生活馆）,鲜花组,山西省,太原,否,20170721,在线,24.0,24.0,15105,190,5,2,1.26,2.63,5,5,800.0,303.0,692.0,0,0,0,0,0,0,0,0,0,5,0,0,3,3,100.0,0,0,0,0.0,0.0,0.0,0.0,,
20200201,20200229,6773727,花生活鲜花（水滴鲜花花艺）,鲜花组,山西省,太原,否,20190510,在线,0.0,0.4,2007,14,0,0,0.7,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,,
20200201,20200229,7022375,花生活鲜花（冉绘鲜花）,鲜花组,山西省,吕梁,否,20190514,在线,11.0,11.5,14744,298,7,3,2.02,2.35,7,3,961.0,579.0,460.0,4,3,1,0,0,0,0,0,0,3,0,0,6,6,100.0,2,0,0,0.0,0.0,0.0,0.0,,
20200201,20200229,7934067,花生活鲜花（浪漫花都）,鲜花组,山西省,运城,否,20191123,在线,0.0,0.0,589,5,0,0,0.85,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,,
20200201,20200229,8094434,花生活鲜花（浩美鲜花礼品）,鲜花组,山西省,吕梁,否,20191123,在线,4.0,4.7,2416,16,0,0,0.66,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,,
