开始日期,结束日期,商家ID,商家名称,运营组,省份,城市,是否新增商家,首次上线日期,门店在线状态,（日均）预设营业时长（h）,（日均）在线营业时长（h）,曝光人数,入店人数,下单人数,下单新客人数,入店转化率,下单转化率,推单数,有效订单数,原价交易额,实付交易额,商家补贴金额,商家原因取消订单数,商家拒单数,商家超时未接单数,商家取消不告知用户订单数,缺货导致退款订单数,商家少送错送导致用户退款订单数,商家质量问题导致用户退款订单数,配送原因取消订单数,拣货超时订单数,使用间或完成按钮订单数,平均骑手到店等待时间（min）,平均骑手送货时长（min）,IM会话数,IM回复数,IM回复率,IM1分钟回复数,差评订单数,投诉订单数,平均商家评分,平均商品评分,平均配送评分,平均配送时长（min）,资质类型（仅药品）,资质有效期（仅药品）
20200101,20200131,653643,花生活鲜花（雅景花艺）,鲜花组,广东省,东莞,否,20190422,在线,10.0,10.4,3053,36,2,2,1.18,5.56,2,2,553.0,347.0,284.0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,,
20200101,20200131,3882102,如意花艺（乐从店）,鲜花组,广东省,佛山,否,20180601,在线,14.0,13.0,2588,15,0,0,0.58,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,,
20200101,20200131,4389748,花生活鲜花（玫瑰花店2店）,鲜花组,广东省,东莞,否,20180211,在线,18.0,18.4,7278,104,5,3,1.43,4.81,5,3,841.0,392.0,566.0,0,0,0,0,0,0,0,0,2,4,0,0,2,0,0.0,0,0,0,0.0,0.0,0.0,0.0,,
20200101,20200131,5788642,花生活鲜花（花家花艺鲜花店）,鲜花组,广东省,深圳,否,20180907,在线,24.0,24.0,9498,110,1,1,1.16,0.91,1,1,298.0,155.0,143.0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0.0,0,0,0,0.0,0.0,0.0,0.0,,
20200101,20200131,7264476,花生活鲜花（花芝鲜花馆）,鲜花组,广东省,湛江,否,20190612,在线,9.0,9.7,7587,286,14,11,3.77,4.9,14,12,3063.0,1446.0,2046.0,0,0,0,0,0,0,0,0,0,15,0,0,6,6,100.0,3,0,0,5.0,5.0,5.0,0.0,,
20200101,20200131,7475300,花生活鲜花（花缘花店）,鲜花组,广东省,东莞,否,20190726,在线,11.0,11.4,4934,111,10,8,2.25,9.01,10,10,7105.0,1232.18,6223.82,0,0,0,0,0,0,0,0,0,11,0,1,1,1,100.0,0,0,0,2.6,2.6,2.6,1.0,,
20200101,20200131,7514891,花生活鲜花（花之恋花卉）,鲜花组,广东省,珠海,否,20190805,在线,13.0,13.4,10483,130,2,0,1.24,1.54,3,0,0.0,0.0,0.0,2,1,1,0,0,0,0,0,0,0,0,0,3,3,100.0,0,0,0,0.0,0.0,0.0,0.0,,
20200101,20200131,7545492,花生活鲜花（湛江畅通鲜花）,鲜花组,广东省,湛江,否,20190805,在线,16.0,16.9,12062,242,5,2,2.01,2.07,5,2,768.0,307.0,539.0,0,0,0,0,0,0,0,0,0,5,0,0,11,10,90.91,4,0,0,2.7,2.7,2.7,0.0,,
20200101,20200131,7546953,花生活鲜花（爱琴海鲜花店）,鲜花组,广东省,湛江,否,20191009,在线,17.0,17.7,8328,163,4,3,1.96,2.45,4,2,572.0,379.0,406.0,0,0,0,0,0,0,0,0,0,4,0,0,3,1,33.33,0,1,0,0.9,0.9,1.0,0.0,,
20200101,20200131,7672416,花生活鲜花（花样年华）,鲜花组,广东省,中山,否,20190828,在线,8.0,8.5,3371,59,1,1,1.75,1.69,1,1,295.0,115.0,219.0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0.0,0,0,0,0.0,0.0,0.0,0.0,,
