开始日期,结束日期,商家ID,商家名称,运营组,省份,城市,是否新增商家,首次上线日期,门店在线状态,（日均）预设营业时长（h）,（日均）在线营业时长（h）,曝光人数,入店人数,下单人数,下单新客人数,入店转化率,下单转化率,推单数,有效订单数,原价交易额,实付交易额,商家补贴金额,商家原因取消订单数,商家拒单数,商家超时未接单数,商家取消不告知用户订单数,缺货导致退款订单数,商家少送错送导致用户退款订单数,商家质量问题导致用户退款订单数,配送原因取消订单数,拣货超时订单数,使用间或完成按钮订单数,平均骑手到店等待时间（min）,平均骑手送货时长（min）,IM会话数,IM回复数,IM回复率,IM1分钟回复数,差评订单数,投诉订单数,平均商家评分,平均商品评分,平均配送评分,平均配送时长（min）,资质类型（仅药品）,资质有效期（仅药品）
20200101,20200131,6532043,花生活鲜花（东方花艺）,鲜花组,广西壮族自治区,柳州,否,20190125,在线,12.0,12.8,5447,98,2,0,1.8,2.04,2,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0.0,0,0,0,0.0,0.0,0.0,0.0,,
20200101,20200131,7545494,花生活鲜花（柒色花艺馆）,鲜花组,广西壮族自治区,柳州,否,20190730,在线,17.0,17.0,6247,76,1,1,1.22,1.32,1,1,168.0,145.0,62.0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,100.0,1,0,0,0.0,0.0,0.0,0.0,,
20200101,20200131,7682068,花生活鲜花（唯爱花店南宁店）,鲜花组,广西壮族自治区,南宁,否,20190827,在线,20.0,20.7,9707,143,2,2,1.47,1.4,2,2,490.0,250.0,318.0,0,0,0,0,0,0,0,0,1,2,0,0,3,3,100.0,2,0,0,0.0,0.0,0.0,0.0,,
20200101,20200131,8284386,花生活鲜花（花界花店）,鲜花组,广西壮族自治区,贺州,否,20191219,在线,9.0,9.4,9324,185,17,14,1.98,9.19,16,14,2484.0,1821.0,960.0,0,0,0,0,0,0,0,0,0,16,0,0,3,3,100.0,2,0,0,3.9,3.9,4.0,0.0,,
20200101,20200131,8357579,花生活鲜花（花心思鲜花店北海店）,鲜花组,广西壮族自治区,北海,否,20191220,在线,15.0,15.4,2061,57,9,7,2.77,15.79,10,8,10461.0,944.28,9703.72,1,0,0,0,0,0,1,0,0,10,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,,
20200101,20200131,8364413,花生活鲜花（水仙百合居）,鲜花组,广西壮族自治区,柳州,否,20191227,在线,11.0,11.9,6103,95,3,2,1.56,3.16,3,2,867.0,161.01,744.99,1,0,1,0,0,0,0,0,0,2,0,0,1,1,100.0,0,0,0,0.0,0.0,0.0,0.0,,
20200101,20200131,8471193,花生活鲜花（玫瑰小镇）,鲜花组,广西壮族自治区,桂林,否,20200120,在线,6.0,6.8,1885,13,0,0,0.69,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,,
20200101,20200131,8471425,花生活鲜花（浓淋香花艺）,鲜花组,广西壮族自治区,南宁,否,20200120,在线,14.0,14.8,2701,10,0,0,0.37,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,,
20200201,20200229,6532043,花生活鲜花（东方花艺）,鲜花组,广西壮族自治区,柳州,否,20190125,在线,0.0,0.0,1327,5,0,0,0.38,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,,
20200201,20200229,7545494,花生活鲜花（柒色花艺馆）,鲜花组,广西壮族自治区,柳州,否,20190730,在线,0.0,0.9,2676,55,4,4,2.06,7.27,5,5,2118.0,1012.0,1301.0,0,0,0,0,0,0,0,0,0,5,0,0,1,1,100.0,0,0,0,0.0,0.0,0.0,0.0,,
