开始日期,结束日期,商家ID,商家名称,运营组,省份,城市,是否新增商家,首次上线日期,门店在线状态,（日均）预设营业时长（h）,（日均）在线营业时长（h）,曝光人数,入店人数,下单人数,下单新客人数,入店转化率,下单转化率,推单数,有效订单数,原价交易额,实付交易额,商家补贴金额,商家原因取消订单数,商家拒单数,商家超时未接单数,商家取消不告知用户订单数,缺货导致退款订单数,商家少送错送导致用户退款订单数,商家质量问题导致用户退款订单数,配送原因取消订单数,拣货超时订单数,使用间或完成按钮订单数,平均骑手到店等待时间（min）,平均骑手送货时长（min）,IM会话数,IM回复数,IM回复率,IM1分钟回复数,差评订单数,投诉订单数,平均商家评分,平均商品评分,平均配送评分,平均配送时长（min）,资质类型（仅药品）,资质有效期（仅药品）
20200101,20200131,6061744,花生活鲜花（花艺空间）,鲜花组,新疆维吾尔自治区,乌鲁木齐,否,20181114,在线,24.0,24.0,10154,88,0,0,0.87,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,,
20200101,20200131,6774085,花开有时,鲜花组,新疆维吾尔自治区,乌鲁木齐,否,20190329,在线,8.0,8.5,3475,83,2,1,2.39,2.41,2,1,469.0,155.0,353.0,1,0,1,0,0,0,0,0,0,1,0,0,2,1,50.0,0,0,0,0.0,0.0,0.0,0.0,,
20200101,20200131,8094433,花生活鲜花（清湘花坊）,鲜花组,新疆维吾尔自治区,乌鲁木齐,否,20191204,在线,23.0,23.0,23357,591,23,14,2.53,3.89,22,15,3676.0,2218.0,2038.0,6,6,0,0,0,0,0,0,0,18,0,0,20,16,80.0,4,0,0,0.0,0.0,0.0,0.0,,
20200101,20200131,8278323,花生活鲜花（莉莉鲜花店）,鲜花组,新疆维吾尔自治区,克孜勒苏柯尔克孜自治州,否,20191220,在线,17.0,17.1,9276,949,25,16,10.23,2.63,23,16,9273.0,2053.01,7804.99,6,2,1,1,2,0,0,0,0,21,0,0,18,13,72.22,2,0,1,0.0,0.0,0.0,0.0,,
20200201,20200229,6061744,花生活鲜花（花艺空间）,鲜花组,新疆维吾尔自治区,乌鲁木齐,否,20181114,在线,4.0,4.0,6803,80,3,1,1.18,3.75,3,1,318.0,265.0,92.0,1,1,0,0,0,0,0,0,0,3,0,0,9,8,88.89,6,0,0,0.0,0.0,0.0,0.0,,
20200201,20200229,6774085,花开有时,鲜花组,新疆维吾尔自治区,乌鲁木齐,否,20190329,在线,0.0,0.0,2166,17,0,0,0.78,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,,
20200201,20200229,8094433,花生活鲜花（清湘花坊）,鲜花组,新疆维吾尔自治区,乌鲁木齐,否,20191204,在线,21.0,21.6,57146,3810,110,62,6.67,2.89,110,62,23947.0,17754.0,8562.0,33,25,6,0,2,0,0,0,0,76,0,0,128,114,89.06,28,0,0,0.0,0.0,0.0,0.0,,
20200201,20200229,8278323,花生活鲜花（莉莉鲜花店）,鲜花组,新疆维吾尔自治区,克孜勒苏柯尔克孜自治州,否,20191220,在线,6.0,6.1,5438,524,9,6,9.64,1.72,7,6,2033.0,1011.0,1212.0,1,1,0,0,0,0,0,0,0,6,0,0,11,10,90.91,1,1,0,0.0,0.0,0.0,0.0,,
20200301,20200331,6061744,花生活鲜花（花艺空间）,鲜花组,新疆维吾尔自治区,乌鲁木齐,否,20181114,在线,18.0,18.9,11208,238,14,10,2.12,5.88,12,10,2887.0,1899.7,1377.0,2,1,1,0,0,0,0,0,0,10,0,0,12,12,100.0,1,0,0,0.0,0.0,0.0,0.0,,
20200301,20200331,6774085,花开有时,鲜花组,新疆维吾尔自治区,乌鲁木齐,否,20190329,在线,0.0,0.0,1345,21,0,0,1.56,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,,
20200301,20200331,8094433,花生活鲜花（清湘花坊）,鲜花组,新疆维吾尔自治区,乌鲁木齐,否,20191204,在线,24.0,24.0,43444,1641,79,64,3.78,4.81,76,71,21748.0,13294.0,11198.0,1,0,0,0,1,0,0,0,0,73,0,0,81,73,90.12,25,0,0,1.0,1.0,1.1,0.0,,
20200301,20200331,8278323,花生活鲜花（莉莉鲜花店）,鲜花组,新疆维吾尔自治区,克孜勒苏柯尔克孜自治州,否,20191220,在线,17.0,17.4,8818,693,19,14,7.86,2.74,23,14,3689.0,2669.0,1566.0,8,8,0,0,0,0,0,0,0,21,0,0,19,14,73.68,2,1,0,0.0,0.0,0.0,0.0,,
20200401,20200430,6061744,花生活鲜花（花艺空间）,鲜花组,新疆维吾尔自治区,乌鲁木齐,否,20181114,在线,24.0,24.0,11264,189,3,1,1.68,1.59,3,2,407.0,254.0,231.0,0,0,0,0,0,0,0,0,0,3,0,0,4,4,100.0,2,0,0,0.0,0.0,0.0,0.0,,
20200401,20200430,6774085,花开有时,鲜花组,新疆维吾尔自治区,乌鲁木齐,否,20190329,在线,0.0,0.0,3379,29,0,0,0.86,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,,
20200401,20200430,8094433,花生活鲜花（清湘花坊）,鲜花组,新疆维吾尔自治区,乌鲁木齐,否,20191204,在线,24.0,24.0,11493,604,60,51,5.26,9.93,58,55,17026.0,9528.0,9451.0,0,0,0,0,0,0,0,0,0,56,0,0,39,37,94.87,14,0,0,0.0,0.0,0.0,0.0,,
20200401,20200430,8278323,花生活鲜花（莉莉鲜花店）,鲜花组,新疆维吾尔自治区,克孜勒苏柯尔克孜自治州,否,20191220,在线,24.0,24.0,7531,446,14,11,5.92,3.14,17,11,2796.0,1409.0,1769.0,2,2,0,0,0,0,0,0,0,14,0,0,7,4,57.14,1,1,0,0.0,0.0,0.0,0.0,,
20200401,20200430,8801126,左花生活馆,鲜花组,新疆维吾尔自治区,哈密地区,否,20200402,在线,13.0,13.0,14870,1187,45,40,7.98,3.79,46,41,9926.0,4664.0,6822.0,1,0,1,0,0,0,0,0,0,41,0,0,25,20,80.0,8,0,0,0.9,0.9,0.9,0.0,,
20200401,20200430,8983873,花度鲜花,鲜花组,新疆维吾尔自治区,乌鲁木齐,否,20200427,在线,13.0,13.2,972,38,3,3,3.91,7.89,3,3,711.0,376.0,452.0,0,0,0,0,0,0,0,0,0,3,0,0,3,3,100.0,2,0,0,0.0,0.0,0.0,0.0,,
20200401,20200430,8983877,花管家鲜花批发,鲜花组,新疆维吾尔自治区,伊犁哈萨克自治州,否,20200428,在线,15.0,14.9,1799,64,2,2,3.56,3.13,2,2,1106.0,710.0,474.0,0,0,0,0,0,0,0,0,0,2,0,0,3,3,100.0,2,0,0,0.0,0.0,0.0,0.0,,
20200501,20200531,6061744,花生活鲜花（花艺空间）,鲜花组,新疆维吾尔自治区,乌鲁木齐,否,20181114,在线,17.0,17.2,17490,701,61,45,4.01,8.7,57,45,14352.0,7870.6,8236.0,2,2,0,0,0,0,0,0,0,53,0,0,45,20,44.44,9,2,0,1.1,1.1,1.3,0.0,,
20200501,20200531,6774085,花开有时,鲜花组,新疆维吾尔自治区,乌鲁木齐,否,20190329,在线,0.0,0.0,5723,77,1,1,1.35,1.3,1,1,216.0,105.0,150.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,,
20200501,20200531,8094433,花生活鲜花（清湘花坊）,鲜花组,新疆维吾尔自治区,乌鲁木齐,否,20191204,在线,18.0,18.4,16083,2658,295,239,16.53,11.1,304,253,75022.0,42792.0,41953.0,8,7,0,0,0,1,0,0,0,286,0,0,238,121,50.84,65,3,0,4.6,4.6,4.6,0.0,,
20200501,20200531,8278323,花生活鲜花（莉莉鲜花店）,鲜花组,新疆维吾尔自治区,克孜勒苏柯尔克孜自治州,否,20191220,在线,17.0,17.8,8174,733,99,79,8.97,13.51,118,88,24598.0,13445.0,14486.0,21,20,0,0,0,1,0,0,0,98,0,0,57,15,26.32,5,5,0,2.7,2.7,3.2,0.0,,
20200501,20200531,8801126,左花生活馆,鲜花组,新疆维吾尔自治区,哈密地区,否,20200402,在线,15.0,15.2,18443,2553,294,253,13.84,11.52,301,266,82273.0,43258.0,48756.0,15,12,0,0,3,0,0,0,0,284,0,0,190,134,70.53,48,6,1,4.6,4.6,4.5,0.0,,
20200501,20200531,8983873,花度鲜花,鲜花组,新疆维吾尔自治区,乌鲁木齐,否,20200427,在线,12.0,12.5,15161,1734,172,148,11.44,9.92,163,149,44821.0,24880.0,25687.0,4,0,0,0,3,1,0,0,0,163,0,0,110,64,58.18,28,6,1,4.3,4.3,4.2,0.0,,
20200501,20200531,8983877,花管家鲜花批发,鲜花组,新疆维吾尔自治区,伊犁哈萨克自治州,否,20200428,在线,12.0,12.4,14419,723,32,22,5.01,4.43,32,22,7226.0,4306.0,3773.0,6,6,0,0,0,0,0,0,0,31,0,0,24,9,37.5,4,0,0,0.0,0.0,0.0,0.0,,
20200501,20200531,9075147,向阳花卉,鲜花组,新疆维吾尔自治区,昌吉回族自治州,否,20200513,在线,15.0,15.3,11433,861,49,34,7.53,5.69,43,34,11137.0,5502.0,6946.0,3,3,0,0,0,0,0,0,0,46,0,0,37,31,83.78,10,2,0,0.0,0.0,0.0,0.0,,
