开始日期,结束日期,商家ID,商家名称,运营组,省份,城市,是否新增商家,首次上线日期,门店在线状态,（日均）预设营业时长（h）,（日均）在线营业时长（h）,曝光人数,入店人数,下单人数,下单新客人数,入店转化率,下单转化率,推单数,有效订单数,原价交易额,实付交易额,商家补贴金额,商家原因取消订单数,商家拒单数,商家超时未接单数,商家取消不告知用户订单数,缺货导致退款订单数,商家少送错送导致用户退款订单数,商家质量问题导致用户退款订单数,配送原因取消订单数,拣货超时订单数,使用间或完成按钮订单数,平均骑手到店等待时间（min）,平均骑手送货时长（min）,IM会话数,IM回复数,IM回复率,IM1分钟回复数,差评订单数,投诉订单数,平均商家评分,平均商品评分,平均配送评分,平均配送时长（min）,资质类型（仅药品）,资质有效期（仅药品）
20200101,20200131,2045211,花生活鲜花（阳光花坊）,鲜花组,江西省,南昌,否,20170222,在线,24.0,24.0,5755,55,0,0,0.96,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,,
20200101,20200131,6826772,花生活鲜花（倾城时光鲜花）,鲜花组,江西省,吉安,否,20190422,在线,22.0,22.4,17904,666,40,32,3.72,6.01,40,38,9323.0,4776.0,5910.0,1,0,0,0,1,0,0,0,0,42,0,0,22,21,95.45,9,0,0,5.0,5.0,5.0,0.0,,
20200101,20200131,7392896,花生活鲜花（花之物语花店）,鲜花组,江西省,南昌,否,20190705,在线,24.0,24.0,6155,49,0,0,0.8,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0,0,0,0.0,0.0,0.0,0.0,,
20200101,20200131,7392899,花生活鲜花（花房姑娘鲜花店）,鲜花组,江西省,九江,否,20190723,在线,24.0,24.0,5272,44,0,0,0.83,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,,
20200101,20200131,7427904,花生活鲜花（我在等你）,鲜花组,江西省,鹰潭,否,20190723,在线,18.0,18.9,11663,249,3,0,2.13,1.2,3,2,408.0,144.0,342.0,0,0,0,0,0,0,0,0,0,2,0,0,2,2,100.0,0,0,0,0.0,0.0,0.0,0.0,,
20200101,20200131,7743133,花生活鲜花（浪漫花语）,鲜花组,江西省,赣州,否,20190904,在线,19.0,19.3,7863,218,22,18,2.77,10.09,22,22,17292.0,2608.43,15346.57,0,0,0,0,0,0,0,0,0,22,0,0,6,6,100.0,5,0,0,4.2,4.2,4.2,0.0,,
20200101,20200131,8207107,花生活鲜花（花叙鲜花店）,鲜花组,江西省,宜春,否,20191219,在线,13.0,13.3,6102,123,8,4,2.02,6.5,8,4,1254.0,850.0,560.0,1,1,0,0,0,0,0,0,0,5,0,0,3,3,100.0,3,0,0,0.0,0.0,0.0,0.0,,
20200101,20200131,8207119,花生活鲜花（温馨花屋鲜花店）,鲜花组,江西省,新余,否,20191220,在线,24.0,24.0,7181,88,2,1,1.23,2.27,2,1,171.0,48.0,154.0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,,
20200201,20200229,2045211,花生活鲜花（阳光花坊）,鲜花组,江西省,南昌,否,20170222,在线,13.0,13.4,7207,58,1,0,0.8,1.72,1,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0.0,0,0,0,0.0,0.0,0.0,0.0,,
20200201,20200229,6826772,花生活鲜花（倾城时光鲜花）,鲜花组,江西省,吉安,否,20190422,在线,22.0,22.2,23428,789,29,27,3.37,3.68,30,29,9104.0,5113.0,5083.0,0,0,0,0,0,0,0,0,0,32,0,0,25,24,96.0,11,0,0,5.0,5.0,5.0,0.0,,
20200201,20200229,7392896,花生活鲜花（花之物语花店）,鲜花组,江西省,南昌,否,20190705,在线,4.0,4.7,3291,9,0,0,0.27,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,,
20200201,20200229,7392899,花生活鲜花（花房姑娘鲜花店）,鲜花组,江西省,九江,否,20190723,在线,16.0,16.5,4815,53,0,0,1.1,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0,0,0,0.0,0.0,0.0,0.0,,
