开始日期,结束日期,商家ID,商家名称,运营组,省份,城市,是否新增商家,首次上线日期,门店在线状态,（日均）预设营业时长（h）,（日均）在线营业时长（h）,曝光人数,入店人数,下单人数,下单新客人数,入店转化率,下单转化率,推单数,有效订单数,原价交易额,实付交易额,商家补贴金额,商家原因取消订单数,商家拒单数,商家超时未接单数,商家取消不告知用户订单数,缺货导致退款订单数,商家少送错送导致用户退款订单数,商家质量问题导致用户退款订单数,配送原因取消订单数,拣货超时订单数,使用间或完成按钮订单数,平均骑手到店等待时间（min）,平均骑手送货时长（min）,IM会话数,IM回复数,IM回复率,IM1分钟回复数,差评订单数,投诉订单数,平均商家评分,平均商品评分,平均配送评分,平均配送时长（min）,资质类型（仅药品）,资质有效期（仅药品）
20200101,20200131,4363389,花生活鲜花（意达鲜花店）,鲜花组,河北省,唐山,否,20180201,在线,24.0,23.0,12297,320,8,5,2.6,2.5,6,5,1047.0,785.0,457.0,0,0,0,0,0,0,0,0,0,5,0,0,4,4,100.0,4,0,0,0.0,0.0,0.0,0.0,,
20200101,20200131,5550366,花生活鲜花（爱尚鲜花鲜花）,鲜花组,河北省,邢台,否,20180808,在线,24.0,24.0,14732,127,0,0,0.86,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,,
20200101,20200131,6012181,花生活鲜花（韦爵爷鲜花）,鲜花组,河北省,保定,否,20181025,在线,24.0,24.0,9816,90,0,0,0.92,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,,
20200101,20200131,6773715,花生活鲜花（花城花艺）,鲜花组,河北省,廊坊,否,20190330,在线,17.0,17.7,5310,71,0,0,1.34,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,,
20200101,20200131,6826710,花生活鲜花（LOVE鲜花店）,鲜花组,河北省,廊坊,否,20190417,在线,16.0,16.9,4776,55,1,1,1.15,1.82,1,1,308.0,205.0,142.0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,100.0,1,0,0,0.0,0.0,0.0,0.0,,
20200101,20200131,6826712,花生活鲜花（流星花园鲜花）,鲜花组,河北省,廊坊,否,20190423,在线,24.0,24.0,13818,534,14,5,3.86,2.62,12,8,4378.0,982.09,3590.91,0,0,0,0,0,0,0,0,0,10,0,0,5,4,80.0,0,0,0,4.6,4.6,3.7,0.0,,
20200101,20200131,6882163,花生活鲜花（可可家鲜花）,鲜花组,河北省,石家庄,否,20190426,在线,12.0,12.1,3790,50,3,1,1.32,6.0,3,1,275.0,145.0,169.0,2,0,2,0,0,0,0,0,0,1,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,,
20200101,20200131,7063793,花生活鲜花（俪缘鲜花）,鲜花组,河北省,唐山,否,20190528,在线,17.0,17.9,6814,142,3,0,2.08,2.11,3,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,100.0,1,0,0,0.0,0.0,0.0,0.0,,
20200101,20200131,8280405,花生活鲜花（臻挚花艺馆）,鲜花组,河北省,廊坊,否,20191213,在线,20.0,20.7,6309,61,1,0,0.97,1.64,1,0,0.0,0.0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0.0,0,0,0,0.0,0.0,0.0,0.0,,
20200101,20200131,8435957,花生活鲜花（花之恋鲜花店）,鲜花组,河北省,唐山,否,20200108,在线,13.0,13.8,15670,523,18,16,3.34,3.44,27,25,43668.0,2275.43,42094.57,1,1,0,0,0,0,0,0,0,28,0,0,5,5,100.0,2,0,0,4.4,4.4,4.4,0.0,,
20200201,20200229,4363389,花生活鲜花（意达鲜花店）,鲜花组,河北省,唐山,否,20180201,在线,23.0,23.1,37649,1313,22,14,3.49,1.68,29,22,6676.0,3472.99,4056.01,4,4,0,0,0,0,0,0,0,27,0,0,20,20,100.0,17,0,0,1.9,1.9,1.9,0.0,,
20200201,20200229,5550366,花生活鲜花（爱尚鲜花鲜花）,鲜花组,河北省,邢台,否,20180808,在线,24.0,24.0,34943,357,2,1,1.02,0.56,1,1,620.0,305.0,354.0,0,0,0,0,0,0,0,0,0,1,0,0,3,2,66.67,0,0,0,0.0,0.0,0.0,0.0,,
20200201,20200229,6012181,花生活鲜花（韦爵爷鲜花）,鲜花组,河北省,保定,否,20181025,在线,4.0,4.7,4449,20,0,0,0.45,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,,
20200201,20200229,6773715,花生活鲜花（花城花艺）,鲜花组,河北省,廊坊,否,20190330,在线,1.0,1.0,2211,50,0,0,2.26,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,,
20200201,20200229,6826710,花生活鲜花（LOVE鲜花店）,鲜花组,河北省,廊坊,否,20190417,在线,7.0,7.3,6310,64,1,0,1.01,1.56,1,0,0.0,0.0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,,
20200201,20200229,6826712,花生活鲜花（流星花园鲜花）,鲜花组,河北省,廊坊,否,20190423,在线,22.0,22.8,14019,497,8,7,3.55,1.61,9,9,1539.0,1049.0,685.0,0,0,0,0,0,0,0,0,0,9,0,0,6,5,83.33,3,0,0,0.3,0.3,0.0,0.0,,
