开始日期,结束日期,商家ID,商家名称,运营组,省份,城市,是否新增商家,首次上线日期,门店在线状态,（日均）预设营业时长（h）,（日均）在线营业时长（h）,曝光人数,入店人数,下单人数,下单新客人数,入店转化率,下单转化率,推单数,有效订单数,原价交易额,实付交易额,商家补贴金额,商家原因取消订单数,商家拒单数,商家超时未接单数,商家取消不告知用户订单数,缺货导致退款订单数,商家少送错送导致用户退款订单数,商家质量问题导致用户退款订单数,配送原因取消订单数,拣货超时订单数,使用间或完成按钮订单数,平均骑手到店等待时间（min）,平均骑手送货时长（min）,IM会话数,IM回复数,IM回复率,IM1分钟回复数,差评订单数,投诉订单数,平均商家评分,平均商品评分,平均配送评分,平均配送时长（min）,资质类型（仅药品）,资质有效期（仅药品）
20200101,20200131,3114926,花生活鲜花（艺博花艺）,鲜花组,河南省,安阳,否,20170818,在线,14.0,14.9,8440,135,2,1,1.6,1.48,2,1,458.0,352.0,145.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0,0,0,1.0,1.0,1.0,0.0,,
20200101,20200131,6882165,花生活鲜花（栋梁花卉）,鲜花组,河南省,开封,否,20190423,在线,24.0,24.0,11582,194,3,2,1.68,1.55,2,2,576.0,270.0,384.0,0,0,0,0,0,0,0,0,0,2,0,0,2,2,100.0,1,0,0,0.0,0.0,0.0,0.0,,
20200101,20200131,8250903,花生活鲜花（花之韵鲜花店）,鲜花组,河南省,新乡,否,20191205,在线,18.0,18.4,23253,891,17,14,3.83,1.91,16,14,3751.0,2062.0,2196.0,1,0,1,0,0,0,0,0,0,14,0,0,11,6,54.55,2,0,0,2.3,2.3,2.3,0.0,,
20200101,20200131,8278267,花生活鲜花（时光对白花店）,鲜花组,河南省,周口,否,20191207,在线,21.0,21.5,16743,585,11,6,3.49,1.88,11,6,1747.0,934.0,1047.0,1,0,1,0,0,0,0,0,0,6,0,0,5,1,20.0,1,0,0,0.0,0.0,0.0,0.0,,
20200201,20200229,3114926,花生活鲜花（艺博花艺）,鲜花组,河南省,安阳,否,20170818,在线,3.0,3.6,11607,133,2,2,1.15,1.5,2,2,548.0,341.0,285.0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,,
20200201,20200229,6882165,花生活鲜花（栋梁花卉）,鲜花组,河南省,开封,否,20190423,在线,20.0,20.5,13161,534,17,9,4.06,3.18,16,8,2870.0,2091.0,1250.0,2,1,0,0,1,0,0,0,0,13,0,0,13,12,92.31,8,0,0,0.0,0.0,0.0,0.0,,
20200201,20200229,8250903,花生活鲜花（花之韵鲜花店）,鲜花组,河南省,新乡,否,20191205,在线,0.0,0.0,7738,104,0,0,1.34,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,,
20200201,20200229,8278267,花生活鲜花（时光对白花店）,鲜花组,河南省,周口,否,20191207,在线,9.0,9.0,19374,648,7,4,3.34,1.08,5,4,1418.0,570.0,1004.0,0,0,0,0,0,0,0,0,0,4,0,0,6,5,83.33,3,0,0,0.0,0.0,0.0,0.0,,
20200301,20200331,3114926,花生活鲜花（艺博花艺）,鲜花组,河南省,安阳,否,20170818,在线,12.0,12.1,7112,60,1,1,0.84,1.67,1,1,188.0,165.0,62.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,,
20200301,20200331,6882165,花生活鲜花（栋梁花卉）,鲜花组,河南省,开封,否,20190423,在线,24.0,24.0,8151,239,10,8,2.93,4.18,8,8,2229.0,1052.0,1489.0,0,0,0,0,0,0,0,0,0,8,0,0,5,4,80.0,1,0,0,0.0,0.0,0.0,0.0,,
