开始日期,结束日期,商家ID,商家名称,运营组,省份,城市,是否新增商家,首次上线日期,门店在线状态,（日均）预设营业时长（h）,（日均）在线营业时长（h）,曝光人数,入店人数,下单人数,下单新客人数,入店转化率,下单转化率,推单数,有效订单数,原价交易额,实付交易额,商家补贴金额,商家原因取消订单数,商家拒单数,商家超时未接单数,商家取消不告知用户订单数,缺货导致退款订单数,商家少送错送导致用户退款订单数,商家质量问题导致用户退款订单数,配送原因取消订单数,拣货超时订单数,使用间或完成按钮订单数,平均骑手到店等待时间（min）,平均骑手送货时长（min）,IM会话数,IM回复数,IM回复率,IM1分钟回复数,差评订单数,投诉订单数,平均商家评分,平均商品评分,平均配送评分,平均配送时长（min）,资质类型（仅药品）,资质有效期（仅药品）
20200101,20200131,714142,花生活鲜花（情意浓花店）,鲜花组,浙江省,温州,否,20160129,在线,11.0,11.6,5653,134,10,9,2.37,7.46,10,9,5441.0,1373.09,4371.91,0,0,0,0,0,0,0,0,0,10,0,0,6,6,100.0,2,0,0,2.4,2.4,1.9,0.0,,
20200101,20200131,3027069,花生活鲜花（艺都鲜花）,鲜花组,浙江省,宁波,否,20170801,在线,17.0,17.8,7315,90,2,2,1.23,2.22,2,2,593.0,281.0,390.0,0,0,0,0,0,0,0,0,1,2,0,0,2,2,100.0,2,0,1,0.0,0.0,0.0,0.0,,
20200101,20200131,3128450,花生活鲜花（花之恋鲜花店）,鲜花组,浙江省,绍兴,否,20170821,在线,9.0,9.8,6693,276,35,28,4.12,12.68,38,34,21276.0,4563.36,17838.54,0,0,0,0,0,0,0,1,1,41,0,1,11,9,81.82,5,0,0,4.8,4.8,5.0,1.0,,
20200101,20200131,5056286,花生活鲜花（撒罗米园艺）,鲜花组,浙江省,杭州,否,20180530,在线,24.0,24.0,4839,64,0,0,1.32,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0,0,0,0.0,0.0,0.0,0.0,,
20200101,20200131,5860472,花生活鲜花（六月花坊）,鲜花组,浙江省,金华,否,20180921,在线,10.0,10.8,6206,81,0,0,1.31,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,50.0,0,0,0,0.0,0.0,0.0,0.0,,
20200101,20200131,6395163,花生活鲜花（花海）,鲜花组,浙江省,杭州,否,20181225,在线,13.0,12.9,16097,610,49,45,3.79,8.03,54,49,17594.0,9787.01,9705.99,1,0,0,0,1,0,0,0,0,55,0,4,25,25,100.0,18,0,0,4.7,4.7,4.7,6.0,,
20200101,20200131,6773939,花生活鲜花（四季花苑）,鲜花组,浙江省,宁波,否,20190422,在线,18.0,18.5,8980,431,38,31,4.8,8.82,43,37,15880.0,6456.98,10709.82,1,0,1,0,0,0,0,0,0,38,0,0,17,11,64.71,3,2,1,4.2,4.2,4.2,0.0,,
20200101,20200131,6882164,花生活鲜花（天蓉鲜花店）,鲜花组,浙江省,嘉兴,否,20190703,在线,24.0,24.0,13535,218,3,3,1.61,1.38,3,3,889.0,348.0,650.0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0.0,0,0,0,0.0,0.0,0.0,0.0,,
20200101,20200131,7207846,花生活鲜花（极乐莲华鲜花）,鲜花组,浙江省,杭州,否,20190604,在线,6.0,6.3,6720,238,16,15,3.54,6.72,16,16,4384.0,2990.0,1979.0,0,0,0,0,0,0,0,0,0,18,0,0,10,10,100.0,0,0,0,3.1,3.1,0.0,0.0,,
20200101,20200131,7310188,花生活鲜花（伊佰莲鲜花婚庆）,鲜花组,浙江省,绍兴,否,20190620,在线,19.0,19.3,40087,340,9,6,0.85,2.65,10,9,9050.0,1046.17,8270.73,0,0,0,0,0,0,0,0,0,11,0,0,3,3,100.0,0,0,0,0.0,0.0,0.0,0.0,,
20200101,20200131,7317972,花生活鲜花（知音花艺）,鲜花组,浙江省,金华,否,20190628,在线,11.0,11.2,4609,152,28,22,3.3,18.42,28,28,31545.0,3257.82,28989.08,0,0,0,0,0,0,0,0,0,29,0,0,5,5,100.0,3,0,0,4.5,4.5,4.1,0.0,,
20200101,20200131,7392902,花生活鲜花（花先生鲜花店）,鲜花组,浙江省,绍兴,否,20190719,在线,19.0,19.7,10770,126,1,0,1.17,0.79,1,0,0.0,0.0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,3,1,33.33,1,0,0,0.0,0.0,0.0,0.0,,
20200101,20200131,7514881,花生活鲜花（小简花艺工作室）,鲜花组,浙江省,绍兴,否,20190726,在线,18.0,18.0,19720,169,2,1,0.86,1.18,2,1,318.0,152.0,205.0,1,0,0,0,1,0,0,0,0,3,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,,
