开始日期,结束日期,商家ID,商家名称,运营组,省份,城市,是否新增商家,首次上线日期,门店在线状态,（日均）预设营业时长（h）,（日均）在线营业时长（h）,曝光人数,入店人数,下单人数,下单新客人数,入店转化率,下单转化率,推单数,有效订单数,原价交易额,实付交易额,商家补贴金额,商家原因取消订单数,商家拒单数,商家超时未接单数,商家取消不告知用户订单数,缺货导致退款订单数,商家少送错送导致用户退款订单数,商家质量问题导致用户退款订单数,配送原因取消订单数,拣货超时订单数,使用间或完成按钮订单数,平均骑手到店等待时间（min）,平均骑手送货时长（min）,IM会话数,IM回复数,IM回复率,IM1分钟回复数,差评订单数,投诉订单数,平均商家评分,平均商品评分,平均配送评分,平均配送时长（min）,资质类型（仅药品）,资质有效期（仅药品）
20200101,20200131,720330,浪漫花屋,鲜花组,湖北省,荆州,否,20160130,下线,0.0,0.0,1,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,,
20200101,20200131,1937925,花生活鲜花（花心苑花店）,鲜花组,湖北省,荆州,否,20170103,在线,22.0,22.2,19427,164,1,1,0.84,0.61,1,1,128.0,105.0,62.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,,
20200101,20200131,2220100,花生活鲜花（花花世界鲜花）,鲜花组,湖北省,十堰,否,20170327,在线,24.0,24.0,19872,177,1,0,0.89,0.56,1,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,100.0,1,0,0,0.0,0.0,0.0,0.0,,
20200101,20200131,5346237,花生活鲜花（有钱花）,鲜花组,湖北省,十堰,否,20180630,在线,18.0,18.4,8974,130,1,0,1.45,0.77,1,0,0.0,0.0,0.0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,100.0,0,0,0,0.0,0.0,0.0,0.0,,
20200101,20200131,6390095,花生活鲜花（倾城鲜花）,鲜花组,湖北省,襄阳,否,20181227,在线,24.0,24.0,13735,94,0,0,0.68,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,100.0,1,0,0,0.0,0.0,0.0,0.0,,
20200101,20200131,6952198,花生活鲜花（韦爵爷花店）,鲜花组,湖北省,武汉,否,20190701,在线,18.0,18.3,4197,41,0,0,0.98,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,,
20200101,20200131,7475289,花生活鲜花（花艺人）,鲜花组,湖北省,十堰,否,20190803,下线,0.0,0.0,14,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,,
20200101,20200131,7514886,花生活鲜花（七彩花卉）,鲜花组,湖北省,黄冈,否,20190725,在线,9.0,9.5,4648,134,3,2,2.88,2.24,3,3,483.0,247.0,314.0,0,0,0,0,0,0,0,0,0,3,0,0,2,2,100.0,0,0,0,0.0,0.0,0.0,0.0,,
20200101,20200131,7514890,花生活鲜花（金蔷薇时尚花艺）,鲜花组,湖北省,襄阳,否,20190724,在线,24.0,24.0,13815,287,5,2,2.08,1.74,5,2,536.0,227.0,387.0,0,0,0,0,0,0,0,0,0,4,0,0,4,2,50.0,1,0,0,0.0,0.0,0.0,0.0,,
20200101,20200131,7641996,花生活鲜花（花幸福花店襄阳店）,鲜花组,湖北省,襄阳,否,20190830,在线,23.0,23.1,13641,334,4,0,2.45,1.2,3,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,100.0,0,0,0,0.0,0.0,0.0,0.0,,
20200101,20200131,7642073,花生活鲜花（花花小娴）,鲜花组,湖北省,黄冈,否,20190918,在线,24.0,24.0,13059,228,1,0,1.75,0.44,1,0,0.0,0.0,0.0,1,1,0,0,0,0,0,0,0,0,0,0,2,2,100.0,1,0,0,0.0,0.0,0.0,0.0,,
20200101,20200131,7642074,花生活鲜花（云艳花坊）,鲜花组,湖北省,黄冈,否,20190830,在线,24.0,24.0,17857,2053,22,14,11.5,1.07,25,16,3095.0,1582.0,1895.0,5,5,0,0,0,0,0,0,0,17,0,0,16,13,81.25,4,0,0,3.3,3.3,3.4,0.0,,
20200101,20200131,7672499,花生活鲜花（绿之源花卉园艺）,鲜花组,湖北省,黄冈,否,20190902,在线,18.0,18.4,10886,111,1,0,1.02,0.9,1,0,0.0,0.0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,2,0,0.0,0,0,0,0.0,0.0,0.0,0.0,,
20200101,20200131,7907143,花生活鲜花（花仙子鲜花店）,鲜花组,湖北省,鄂州,否,20191107,在线,24.0,24.0,26677,339,0,0,1.27,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,,
20200101,20200131,8070349,花生活鲜花（花瓣雨鲜花总汇）,鲜花组,湖北省,仙桃,否,20191126,在线,24.0,24.0,14595,117,0,0,0.8,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,,
20200101,20200131,8278324,花生活鲜花（翊渡花舍鲜花店）,鲜花组,湖北省,武汉,否,20191206,在线,24.0,24.0,11315,61,0,0,0.54,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,,
20200101,20200131,8437927,花生活鲜花（倾城花坊）,鲜花组,湖北省,仙桃,否,20200109,在线,15.0,15.0,4684,33,0,0,0.7,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,,
20200201,20200229,1937925,花生活鲜花（花心苑花店）,鲜花组,湖北省,荆州,否,20170103,在线,0.0,0.0,9807,38,0,0,0.39,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,,
20200201,20200229,2220100,花生活鲜花（花花世界鲜花）,鲜花组,湖北省,十堰,否,20170327,在线,2.0,2.2,11328,72,0,0,0.64,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0,0,0,0.0,0.0,0.0,0.0,,
20200201,20200229,5346237,花生活鲜花（有钱花）,鲜花组,湖北省,十堰,否,20180630,在线,0.0,0.0,3404,16,0,0,0.47,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,,
20200201,20200229,6390095,花生活鲜花（倾城鲜花）,鲜花组,湖北省,襄阳,否,20181227,在线,2.0,2.3,11530,52,0,0,0.45,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,,
