开始日期,结束日期,商家ID,商家名称,运营组,省份,城市,是否新增商家,首次上线日期,门店在线状态,（日均）预设营业时长（h）,（日均）在线营业时长（h）,曝光人数,入店人数,下单人数,下单新客人数,入店转化率,下单转化率,推单数,有效订单数,原价交易额,实付交易额,商家补贴金额,商家原因取消订单数,商家拒单数,商家超时未接单数,商家取消不告知用户订单数,缺货导致退款订单数,商家少送错送导致用户退款订单数,商家质量问题导致用户退款订单数,配送原因取消订单数,拣货超时订单数,使用间或完成按钮订单数,平均骑手到店等待时间（min）,平均骑手送货时长（min）,IM会话数,IM回复数,IM回复率,IM1分钟回复数,差评订单数,投诉订单数,平均商家评分,平均商品评分,平均配送评分,平均配送时长（min）,资质类型（仅药品）,资质有效期（仅药品）
20200101,20200131,2095123,花生活鲜花（遇见花艺馆）,鲜花组,湖南省,郴州,否,20170303,在线,24.0,24.0,32183,1557,93,67,4.84,5.97,87,79,25957.0,11778.1,17053.9,1,0,0,0,1,0,0,1,0,90,0,0,32,24,75.0,9,0,0,5.0,5.0,5.0,0.0,,
20200101,20200131,2731908,花缘花艺,鲜花组,湖南省,长沙,否,20170621,下线,0.0,0.0,4,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,,
20200101,20200131,3018522,花生活鲜花（源达花艺）,鲜花组,湖南省,常德,否,20170814,在线,22.0,22.8,21034,209,3,2,0.99,1.44,3,2,449.0,194.0,333.0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,100.0,0,0,0,0.0,0.0,0.0,0.0,,
20200101,20200131,3994932,花生活鲜花（雅心花艺）,鲜花组,湖南省,长沙,否,20171206,在线,16.0,16.1,13840,157,8,7,1.13,5.1,9,9,4873.02,1099.01,4124.91,0,0,0,0,0,0,0,0,0,9,0,0,2,2,100.0,0,0,0,1.6,1.6,1.6,0.0,,
20200101,20200131,4742557,花生活鲜花（陌上花开株洲店）,鲜花组,湖南省,株洲,否,20180413,在线,24.0,24.0,17470,167,1,1,0.96,0.6,1,1,258.0,205.0,92.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,,
20200101,20200131,5138638,遇见花开,鲜花组,湖南省,长沙,否,20180605,下线,0.0,0.0,3,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,,
20200101,20200131,6355077,花生活鲜花（花述鲜花生活馆）,鲜花组,湖南省,株洲,否,20190827,在线,15.0,15.5,6607,93,2,1,1.41,2.15,2,1,369.0,122.0,286.0,1,0,1,0,0,0,0,0,0,1,0,0,2,0,0.0,0,0,0,0.0,0.0,0.0,0.0,,
20200101,20200131,6773719,花生活鲜花（好百年婚庆）,鲜花组,湖南省,岳阳,否,20190424,在线,14.0,14.3,10041,191,3,2,1.9,1.57,4,3,484.0,418.0,183.0,0,0,0,0,0,0,0,0,0,6,0,0,2,2,100.0,0,0,0,0.0,0.0,0.0,0.0,,
20200101,20200131,6773784,花生活鲜花（缤纷花屋）,鲜花组,湖南省,株洲,否,20190423,在线,14.0,14.1,6366,211,7,5,3.31,3.32,6,6,1830.0,842.0,1215.0,0,0,0,0,0,0,0,0,0,6,0,0,2,1,50.0,0,0,0,0.0,0.0,0.0,0.0,,
20200101,20200131,7022271,花生活鲜花（心艺花店）,鲜花组,湖南省,长沙,否,20190514,在线,14.0,14.0,17747,481,13,9,2.71,2.7,13,10,3773.0,1284.02,2761.98,1,0,1,0,0,0,0,0,0,11,0,0,6,6,100.0,1,1,0,2.9,2.9,2.9,0.0,,
