开始日期,结束日期,商家ID,商家名称,运营组,省份,城市,是否新增商家,首次上线日期,门店在线状态,（日均）预设营业时长（h）,（日均）在线营业时长（h）,曝光人数,入店人数,下单人数,下单新客人数,入店转化率,下单转化率,推单数,有效订单数,原价交易额,实付交易额,商家补贴金额,商家原因取消订单数,商家拒单数,商家超时未接单数,商家取消不告知用户订单数,缺货导致退款订单数,商家少送错送导致用户退款订单数,商家质量问题导致用户退款订单数,配送原因取消订单数,拣货超时订单数,使用间或完成按钮订单数,平均骑手到店等待时间（min）,平均骑手送货时长（min）,IM会话数,IM回复数,IM回复率,IM1分钟回复数,差评订单数,投诉订单数,平均商家评分,平均商品评分,平均配送评分,平均配送时长（min）,资质类型（仅药品）,资质有效期（仅药品）
20200101,20200131,5962302,花生活鲜花（众里寻Ta花舍）,鲜花组,甘肃省,兰州,否,20181024,在线,18.0,18.1,18877,334,10,7,1.77,2.99,9,9,4343.0,1161.09,3337.91,0,0,0,0,0,0,0,0,1,9,0,0,7,5,71.43,0,0,0,4.3,4.3,0.6,0.0,,
20200101,20200131,6626527,花生活鲜花（博雅鲜花店）,鲜花组,甘肃省,兰州,否,20190310,在线,23.0,23.7,12797,87,1,0,0.68,1.15,1,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,100.0,0,0,0,0.0,0.0,0.0,0.0,,
20200101,20200131,7392893,花生活鲜花（百花轩）,鲜花组,甘肃省,兰州,否,20190725,在线,20.0,20.5,7405,389,3,1,5.25,0.77,2,1,138.0,115.0,62.0,1,1,0,0,0,0,0,0,0,2,0,0,4,1,25.0,0,1,0,0.0,0.0,0.0,0.0,,
20200201,20200229,5962302,花生活鲜花（众里寻Ta花舍）,鲜花组,甘肃省,兰州,否,20181024,在线,13.0,13.1,56926,1029,38,16,1.81,3.69,38,17,7025.0,4011.0,3677.0,12,2,9,1,0,0,0,0,6,26,0,2,36,29,80.56,6,1,1,0.5,0.5,0.0,1.0,,
20200201,20200229,6626527,花生活鲜花（博雅鲜花店）,鲜花组,甘肃省,兰州,否,20190310,在线,0.0,0.1,2275,7,0,0,0.31,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,,
20200201,20200229,7392893,花生活鲜花（百花轩）,鲜花组,甘肃省,兰州,否,20190725,在线,10.0,10.3,5336,319,5,4,5.98,1.57,5,4,929.0,513.0,533.0,1,1,0,0,0,0,0,0,0,4,0,0,3,3,100.0,1,0,0,0.0,0.0,0.0,0.0,,
20200301,20200331,5962302,花生活鲜花（众里寻Ta花舍）,鲜花组,甘肃省,兰州,否,20181024,在线,24.0,24.0,22067,356,13,6,1.61,3.65,12,9,1671.0,820.0,1085.0,2,0,2,0,0,0,0,0,4,9,0,0,3,3,100.0,0,0,0,2.3,2.3,1.9,0.0,,
20200301,20200331,6626527,花生活鲜花（博雅鲜花店）,鲜花组,甘肃省,兰州,否,20190310,在线,24.0,24.0,8743,81,2,2,0.93,2.47,3,3,652.0,310.0,459.0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0.0,0,0,0,0.0,0.0,0.0,0.0,,
20200301,20200331,7392893,花生活鲜花（百花轩）,鲜花组,甘肃省,兰州,否,20190725,在线,22.0,22.9,9927,431,25,20,4.34,5.8,23,20,5643.0,2698.0,3725.0,0,0,0,0,0,0,0,0,0,21,0,0,7,6,85.71,0,0,0,0.0,0.0,0.0,0.0,,
20200301,20200331,8709967,紫香苑鲜花礼品坊,鲜花组,甘肃省,武威,否,20200318,在线,8.0,7.6,3692,121,1,1,3.28,0.83,1,1,96.0,29.0,67.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,,
