开始日期,结束日期,商家ID,商家名称,运营组,省份,城市,是否新增商家,首次上线日期,门店在线状态,（日均）预设营业时长（h）,（日均）在线营业时长（h）,曝光人数,入店人数,下单人数,下单新客人数,入店转化率,下单转化率,推单数,有效订单数,原价交易额,实付交易额,商家补贴金额,商家原因取消订单数,商家拒单数,商家超时未接单数,商家取消不告知用户订单数,缺货导致退款订单数,商家少送错送导致用户退款订单数,商家质量问题导致用户退款订单数,配送原因取消订单数,拣货超时订单数,使用间或完成按钮订单数,平均骑手到店等待时间（min）,平均骑手送货时长（min）,IM会话数,IM回复数,IM回复率,IM1分钟回复数,差评订单数,投诉订单数,平均商家评分,平均商品评分,平均配送评分,平均配送时长（min）,资质类型（仅药品）,资质有效期（仅药品）
20200101,20200131,772683,花生活鲜花（杏福花店）,鲜花组,福建省,厦门,否,20160329,下线,0.0,0.0,256,14,0,0,5.47,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,,
20200101,20200131,783170,花生活鲜花（香香花店）,鲜花组,福建省,厦门,否,20160328,在线,20.0,20.9,4021,64,3,2,1.59,4.69,3,2,513.0,337.0,254.0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,,
20200101,20200131,799254,花生活鲜花（花好月缘鲜花店）,鲜花组,福建省,莆田,否,20160322,在线,24.0,24.0,12397,126,0,0,1.02,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,50.0,1,0,0,0.0,0.0,0.0,0.0,,
20200101,20200131,2019807,花生活鲜花（爱荷花坊）,鲜花组,福建省,厦门,否,20170214,在线,24.0,24.0,3624,26,0,0,0.72,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0,0,0,0.0,0.0,0.0,0.0,,
20200101,20200131,2068451,花生活鲜花（花语人生）,鲜花组,福建省,厦门,否,20170224,在线,8.0,8.3,2560,28,0,0,1.09,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,100.0,0,0,0,0.0,0.0,0.0,0.0,,
20200101,20200131,2329256,花生活鲜花（七彩坊鲜花店）,鲜花组,福建省,泉州,否,20170526,在线,22.0,22.7,6381,73,0,0,1.14,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,,
20200101,20200131,3985407,花生活鲜花（柔兰花艺）,鲜花组,福建省,莆田,否,20171207,在线,21.0,20.8,19671,586,18,17,2.98,3.07,18,18,5016.0,2365.0,3250.0,0,0,0,0,0,0,0,0,0,19,0,0,13,10,76.92,2,0,0,3.5,3.5,3.5,0.0,,
20200101,20200131,4434657,花生活鲜花（晴曦花艺）,鲜花组,福建省,福州,否,20180304,在线,18.0,18.3,7821,163,4,0,2.08,2.45,2,0,0.0,0.0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,2,0,0.0,0,0,0,0.0,0.0,0.0,0.0,,
20200101,20200131,4439411,花生活鲜花（花田故事）,鲜花组,福建省,福州,否,20180308,在线,19.0,19.1,3495,57,1,0,1.63,1.75,3,0,0.0,0.0,0.0,3,1,2,0,0,0,0,0,0,0,0,0,1,1,100.0,1,0,0,0.0,0.0,0.0,0.0,,
20200101,20200131,4885878,花生活鲜花（阿西木花艺工作室）,鲜花组,福建省,厦门,否,20180503,在线,12.0,12.0,16320,157,4,1,0.96,2.55,3,1,395.0,182.0,252.0,1,0,0,0,1,0,0,0,0,3,0,0,3,3,100.0,2,0,0,0.0,0.0,0.0,0.0,,
