开始日期,结束日期,商家ID,商家名称,运营组,省份,城市,是否新增商家,首次上线日期,门店在线状态,（日均）预设营业时长（h）,（日均）在线营业时长（h）,曝光人数,入店人数,下单人数,下单新客人数,入店转化率,下单转化率,推单数,有效订单数,原价交易额,实付交易额,商家补贴金额,商家原因取消订单数,商家拒单数,商家超时未接单数,商家取消不告知用户订单数,缺货导致退款订单数,商家少送错送导致用户退款订单数,商家质量问题导致用户退款订单数,配送原因取消订单数,拣货超时订单数,使用间或完成按钮订单数,平均骑手到店等待时间（min）,平均骑手送货时长（min）,IM会话数,IM回复数,IM回复率,IM1分钟回复数,差评订单数,投诉订单数,平均商家评分,平均商品评分,平均配送评分,平均配送时长（min）,资质类型（仅药品）,资质有效期（仅药品）
20200101,20200131,3165468,花生活鲜花（甄阿奇花艺）,鲜花组,辽宁省,营口,否,20170916,在线,18.0,18.2,7933,136,3,2,1.71,2.21,3,2,586.0,170.0,494.0,0,0,0,0,0,0,0,0,0,2,0,0,2,2,100.0,1,0,0,0.0,0.0,0.0,0.0,,
20200101,20200131,5345425,花生活鲜花（花稼之约鲜花）,鲜花组,辽宁省,沈阳,否,20180709,在线,24.0,24.0,20483,246,5,5,1.2,2.03,5,5,961.0,656.0,500.0,0,0,0,0,0,0,0,0,0,5,0,1,4,4,100.0,2,0,0,1.1,1.1,1.1,1.0,,
20200101,20200131,6582771,花生活鲜花（七彩花艺坊）,鲜花组,辽宁省,营口,否,20190223,在线,24.0,24.0,22035,451,26,21,2.05,5.76,26,26,22742.02,2633.65,20771.37,0,0,0,0,0,0,0,0,0,26,0,0,6,6,100.0,5,0,0,4.2,4.2,4.2,0.0,,
20200101,20200131,6967767,花生活鲜花（花掌门）,鲜花组,辽宁省,抚顺,否,20190509,在线,24.0,24.0,33208,392,20,9,1.18,5.1,22,21,4836.0,1905.5,3702.0,1,0,0,0,1,0,0,0,0,22,0,0,2,2,100.0,2,0,0,2.9,2.9,2.9,0.0,,
20200101,20200131,7318032,花生活鲜花（朵美鲜花）,鲜花组,辽宁省,辽阳,否,20190704,在线,22.0,22.0,11971,179,3,2,1.5,1.68,3,3,2439.0,289.08,2188.92,0,0,0,0,0,0,0,0,0,3,0,0,4,4,100.0,0,0,0,0.0,0.0,0.0,0.0,,
20200101,20200131,7642006,花生活鲜花（爱人鲜花）,鲜花组,辽宁省,营口,否,20191126,在线,18.0,18.6,12768,356,4,1,2.79,1.12,2,1,245.0,122.0,162.0,1,0,1,0,0,0,0,0,0,1,0,0,4,2,50.0,0,0,0,0.0,0.0,0.0,0.0,,
20200101,20200131,7785967,花生活鲜花（芸花坊）,鲜花组,辽宁省,抚顺,否,20190912,在线,24.0,24.0,37363,447,21,12,1.2,4.7,24,19,3563.0,1370.0,2734.0,2,1,0,0,1,0,0,1,0,20,0,0,7,6,85.71,2,0,0,4.0,4.0,4.0,0.0,,
20200101,20200131,8358888,花生活鲜花（圣格花艺）,鲜花组,辽宁省,沈阳,否,20191220,在线,24.0,24.0,902,14,0,0,1.55,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,,
20200201,20200229,3165468,花生活鲜花（甄阿奇花艺）,鲜花组,辽宁省,营口,否,20170916,在线,14.0,14.3,10344,168,2,0,1.62,1.19,1,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,100.0,1,0,0,0.0,0.0,0.0,0.0,,
20200201,20200229,5345425,花生活鲜花（花稼之约鲜花）,鲜花组,辽宁省,沈阳,否,20180709,在线,24.0,24.0,17779,170,9,6,0.96,5.29,10,10,3224.0,1620.0,1994.0,0,0,0,0,0,0,0,0,1,10,0,2,3,3,100.0,2,1,0,2.2,2.2,2.2,2.0,,
