开始日期,结束日期,商家ID,商家名称,运营组,省份,城市,是否新增商家,首次上线日期,门店在线状态,（日均）预设营业时长（h）,（日均）在线营业时长（h）,曝光人数,入店人数,下单人数,下单新客人数,入店转化率,下单转化率,推单数,有效订单数,原价交易额,实付交易额,商家补贴金额,商家原因取消订单数,商家拒单数,商家超时未接单数,商家取消不告知用户订单数,缺货导致退款订单数,商家少送错送导致用户退款订单数,商家质量问题导致用户退款订单数,配送原因取消订单数,拣货超时订单数,使用间或完成按钮订单数,平均骑手到店等待时间（min）,平均骑手送货时长（min）,IM会话数,IM回复数,IM回复率,IM1分钟回复数,差评订单数,投诉订单数,平均商家评分,平均商品评分,平均配送评分,平均配送时长（min）,资质类型（仅药品）,资质有效期（仅药品）
20200101,20200131,6236483,花生活鲜花（慰馨花艺馆）,鲜花组,重庆市,重庆,否,20190214,在线,17.0,17.6,4867,71,1,0,1.46,1.41,1,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,50.0,0,0,0,0.0,0.0,0.0,0.0,,
20200101,20200131,6773714,花生活鲜花（诚信花卉）,鲜花组,重庆市,重庆,否,20190422,在线,10.0,10.0,3742,107,4,3,2.86,3.74,4,3,1290.0,495.0,912.0,0,0,0,0,0,0,0,0,0,3,0,0,1,1,100.0,1,0,0,0.0,0.0,0.0,0.0,,
20200101,20200131,6773938,花生活鲜花（玫瑰花坊）,鲜花组,重庆市,重庆,否,20190404,在线,18.0,18.3,11489,183,7,6,1.59,3.83,7,6,1553.0,1066.0,719.0,0,0,0,0,0,0,0,0,0,6,0,0,5,2,40.0,1,0,0,3.4,3.4,3.4,0.0,,
20200101,20200131,7514888,花生活鲜花（名媛花兿）,鲜花组,重庆市,重庆,否,20190725,在线,0.0,0.0,260,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,,
20200101,20200131,7690567,花生活鲜花（温馨花店）,鲜花组,重庆市,重庆,否,20190916,在线,23.0,23.8,17275,176,1,1,1.02,0.57,1,1,288.0,185.0,142.0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,50.0,0,0,0,0.0,0.0,0.0,0.0,,
20200101,20200131,8278384,花生活鲜花（美俪汇花艺）,鲜花组,重庆市,重庆,否,20191220,在线,24.0,24.0,490,61,1,0,12.45,1.64,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,,
20200101,20200131,8435952,花生活鲜花（重庆四季花坊）,鲜花组,重庆市,重庆,否,20200110,在线,8.0,8.1,2213,50,11,10,2.26,22.0,14,13,15790.0,1090.46,14972.54,0,0,0,0,0,0,0,0,0,14,0,0,2,1,50.0,0,0,0,2.6,2.6,2.7,0.0,,
20200201,20200229,6236483,花生活鲜花（慰馨花艺馆）,鲜花组,重庆市,重庆,否,20190214,在线,5.0,5.8,4660,31,1,0,0.67,3.23,1,0,0.0,0.0,0.0,1,1,0,0,0,0,0,0,0,1,0,0,1,1,100.0,0,0,0,0.0,0.0,0.0,0.0,,
20200201,20200229,6773714,花生活鲜花（诚信花卉）,鲜花组,重庆市,重庆,否,20190422,在线,2.0,2.0,6565,158,7,4,2.41,4.43,7,5,1800.0,817.5,1177.5,1,1,0,0,0,0,0,0,0,6,0,0,6,5,83.33,3,0,0,0.0,0.0,0.0,0.0,,
20200201,20200229,6773938,花生活鲜花（玫瑰花坊）,鲜花组,重庆市,重庆,否,20190404,在线,8.0,8.5,8028,136,14,1,1.69,10.29,14,1,320.0,146.0,213.0,5,3,2,0,0,0,0,0,0,1,0,0,3,3,100.0,1,0,0,0.0,0.0,0.0,0.0,,
