开始日期,结束日期,商家ID,商家名称,运营组,省份,城市,是否新增商家,首次上线日期,门店在线状态,（日均）预设营业时长（h）,（日均）在线营业时长（h）,曝光人数,入店人数,下单人数,下单新客人数,入店转化率,下单转化率,推单数,有效订单数,原价交易额,实付交易额,商家补贴金额,商家原因取消订单数,商家拒单数,商家超时未接单数,商家取消不告知用户订单数,缺货导致退款订单数,商家少送错送导致用户退款订单数,商家质量问题导致用户退款订单数,配送原因取消订单数,拣货超时订单数,使用间或完成按钮订单数,平均骑手到店等待时间（min）,平均骑手送货时长（min）,IM会话数,IM回复数,IM回复率,IM1分钟回复数,差评订单数,投诉订单数,平均商家评分,平均商品评分,平均配送评分,平均配送时长（min）,资质类型（仅药品）,资质有效期（仅药品）
20200101,20200131,6773725,花生活鲜花（荣浩千寻花艺）,鲜花组,陕西省,西安,否,20190426,在线,23.0,23.4,20038,154,1,0,0.77,0.65,1,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,50.0,0,0,0,2.7,2.7,2.7,0.0,,
20200101,20200131,7004308,花生活鲜花（曼陀罗花开）,鲜花组,陕西省,宝鸡,否,20190514,在线,24.0,24.0,11813,89,1,0,0.75,1.12,1,0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0.0,0,0,0,0.0,0.0,0.0,0.0,,
20200101,20200131,7392907,花生活鲜花（玫瑰园鲜花）,鲜花组,陕西省,渭南,否,20190719,在线,17.0,17.5,11873,172,3,1,1.45,1.74,3,1,245.0,112.0,172.0,0,0,0,0,0,0,0,0,0,1,0,0,3,1,33.33,0,0,0,0.0,0.0,0.0,0.0,,
20200101,20200131,7475288,花生活鲜花（幸福之花）,鲜花组,陕西省,西安,否,20190718,在线,18.0,18.2,3939,53,1,0,1.35,1.89,1,0,0.0,0.0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,,
20200101,20200131,7545488,花生活鲜花（海天花艺）,鲜花组,陕西省,咸阳,否,20190801,在线,5.0,5.0,4204,123,0,0,2.93,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,100.0,0,0,0,0.0,0.0,0.0,0.0,,
20200101,20200131,7672419,花生活鲜花（幸福の花）,鲜花组,陕西省,西安,否,20190903,在线,18.0,18.9,3282,59,2,1,1.8,3.39,2,1,298.0,165.0,172.0,1,0,1,0,0,0,0,0,0,1,0,0,3,2,66.67,1,0,0,0.0,0.0,0.0,0.0,,
20200101,20200131,7934075,花生活鲜花（红玫瑰鲜花婚庆）,鲜花组,陕西省,榆林,否,20191210,在线,24.0,24.0,24951,244,8,3,0.98,3.28,8,3,713.0,446.0,384.0,3,3,0,0,0,0,0,0,0,6,0,0,4,2,50.0,0,0,0,0.0,0.0,0.0,0.0,,
20200101,20200131,7934078,花生活鲜花（情缘鲜花店榆林店）,鲜花组,陕西省,榆林,否,20191209,在线,24.0,24.0,26973,303,4,3,1.12,1.32,4,3,935.0,445.0,607.0,1,0,0,0,1,0,0,0,0,4,0,0,3,3,100.0,1,1,0,0.0,0.0,0.0,0.0,,
20200101,20200131,8207118,花生活鲜花（花开半夏鲜花店）,鲜花组,陕西省,宝鸡,否,20191220,在线,24.0,24.0,6267,104,3,2,1.66,2.88,4,2,545.0,358.0,251.0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,,
20200201,20200229,6773725,花生活鲜花（荣浩千寻花艺）,鲜花组,陕西省,西安,否,20190426,在线,7.0,7.9,14671,50,1,0,0.34,2.0,1,0,0.0,0.0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,,
20200201,20200229,7004308,花生活鲜花（曼陀罗花开）,鲜花组,陕西省,宝鸡,否,20190514,在线,24.0,24.0,16290,111,1,1,0.68,0.9,1,1,370.0,176.0,233.0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,100.0,0,0,0,0.0,0.0,0.0,0.0,,
20200201,20200229,7392907,花生活鲜花（玫瑰园鲜花）,鲜花组,陕西省,渭南,否,20190719,在线,3.0,3.0,15754,118,0,0,0.75,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,100.0,1,0,0,0.0,0.0,0.0,0.0,,
20200201,20200229,7475288,花生活鲜花（幸福之花）,鲜花组,陕西省,西安,否,20190718,在线,0.0,0.0,2592,3,0,0,0.12,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,,
20200201,20200229,7545488,花生活鲜花（海天花艺）,鲜花组,陕西省,咸阳,否,20190801,在线,0.0,0.0,3489,54,0,0,1.55,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,,
20200201,20200229,7672419,花生活鲜花（幸福の花）,鲜花组,陕西省,西安,否,20190903,在线,3.0,3.4,2731,30,1,1,1.1,3.33,1,1,258.0,105.0,192.0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,100.0,0,0,0,0.0,0.0,0.0,0.0,,
20200201,20200229,7934075,花生活鲜花（红玫瑰鲜花婚庆）,鲜花组,陕西省,榆林,否,20191210,在线,19.0,19.2,26024,490,19,11,1.88,3.88,19,13,5044.0,2920.0,2631.0,3,0,3,0,0,0,0,0,0,15,0,0,15,9,60.0,1,0,0,0.0,0.0,0.0,0.0,,
20200201,20200229,7934078,花生活鲜花（情缘鲜花店榆林店）,鲜花组,陕西省,榆林,否,20191209,在线,18.0,18.5,24813,544,18,8,2.19,3.31,15,8,3385.0,1476.0,2221.0,4,4,0,0,0,0,0,0,0,14,0,0,15,12,80.0,4,0,0,0.0,0.0,0.0,0.0,,
20200201,20200229,8207118,花生活鲜花（花开半夏鲜花店）,鲜花组,陕西省,宝鸡,否,20191220,在线,6.0,6.0,4345,48,0,0,1.1,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,,
20200201,20200229,8488487,红珊瑚鲜花婚庆,鲜花组,陕西省,渭南,否,20200211,在线,15.0,15.4,39349,1002,39,20,2.55,3.89,43,20,6006.0,3224.0,3557.0,15,8,7,0,0,0,0,0,0,27,0,0,33,29,87.88,4,0,1,2.4,2.4,2.4,0.0,,
