开始日期,结束日期,商家ID,商家名称,运营组,省份,城市,是否新增商家,首次上线日期,门店在线状态,（日均）预设营业时长（h）,（日均）在线营业时长（h）,曝光人数,入店人数,下单人数,下单新客人数,入店转化率,下单转化率,推单数,有效订单数,原价交易额,实付交易额,商家补贴金额,商家原因取消订单数,商家拒单数,商家超时未接单数,商家取消不告知用户订单数,缺货导致退款订单数,商家少送错送导致用户退款订单数,商家质量问题导致用户退款订单数,配送原因取消订单数,拣货超时订单数,使用间或完成按钮订单数,平均骑手到店等待时间（min）,平均骑手送货时长（min）,IM会话数,IM回复数,IM回复率,IM1分钟回复数,差评订单数,投诉订单数,平均商家评分,平均商品评分,平均配送评分,平均配送时长（min）,资质类型（仅药品）,资质有效期（仅药品）
20200101,20200131,6773713,花生活鲜花（哈尔滨鲜花批发）,鲜花组,黑龙江省,哈尔滨,否,20190409,在线,10.0,10.8,3251,127,2,1,3.91,1.57,2,1,258.0,205.0,92.0,1,0,0,0,1,0,0,0,0,2,0,0,4,4,100.0,3,0,0,0.0,0.0,0.0,0.0,,
20200101,20200131,7028637,花生活鲜花（鲜花批发）,鲜花组,黑龙江省,双鸭山,否,20190514,在线,24.0,24.0,18774,202,1,0,1.08,0.5,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,,
20200101,20200131,7264477,花生活鲜花（佳仪鲜花婚庆）,鲜花组,黑龙江省,哈尔滨,否,20190702,在线,18.0,18.9,6579,134,3,3,2.04,2.24,3,3,652.0,366.0,364.0,0,0,0,0,0,0,0,0,0,3,0,0,5,4,80.0,0,0,0,1.3,1.3,1.3,0.0,,
20200201,20200229,6773713,花生活鲜花（哈尔滨鲜花批发）,鲜花组,黑龙江省,哈尔滨,否,20190409,在线,2.0,2.0,2605,31,1,0,1.19,3.23,1,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,,
20200201,20200229,7028637,花生活鲜花（鲜花批发）,鲜花组,黑龙江省,双鸭山,否,20190514,在线,13.0,13.6,21184,337,0,0,1.59,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,100.0,2,0,0,0.0,0.0,0.0,0.0,,
20200201,20200229,7264477,花生活鲜花（佳仪鲜花婚庆）,鲜花组,黑龙江省,哈尔滨,否,20190702,在线,0.0,0.0,1143,5,0,0,0.44,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,,
20200301,20200331,6773713,花生活鲜花（哈尔滨鲜花批发）,鲜花组,黑龙江省,哈尔滨,否,20190409,在线,21.0,21.7,6744,189,1,1,2.8,0.53,1,1,158.0,135.0,62.0,0,0,0,0,0,0,0,0,0,1,0,0,4,4,100.0,3,0,0,0.0,0.0,0.0,0.0,,
20200301,20200331,7028637,花生活鲜花（鲜花批发）,鲜花组,黑龙江省,双鸭山,否,20190514,在线,24.0,24.0,19229,210,4,3,1.09,1.9,5,5,1999.0,817.0,1372.0,0,0,0,0,0,0,0,0,0,5,0,0,5,3,60.0,0,0,0,0.0,0.0,0.0,0.0,,
20200301,20200331,7088807,韦爵爷鲜花花艺馆,鲜花组,黑龙江省,哈尔滨,否,20190517,下线,18.0,18.3,633,5,0,0,0.79,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,,
20200301,20200331,7264477,花生活鲜花（佳仪鲜花婚庆）,鲜花组,黑龙江省,哈尔滨,否,20190702,在线,14.0,14.2,5657,67,1,0,1.18,1.49,1,1,245.0,99.0,185.0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,100.0,0,0,0,0.0,0.0,0.0,0.0,,
20200301,20200331,8755680,馨语鲜花,鲜花组,黑龙江省,鹤岗,否,20200325,在线,13.0,13.5,2249,33,0,0,1.47,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,,
20200401,20200430,6773713,花生活鲜花（哈尔滨鲜花批发）,鲜花组,黑龙江省,哈尔滨,否,20190409,在线,24.0,24.0,7127,143,0,0,2.01,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,,
20200401,20200430,7028637,花生活鲜花（鲜花批发）,鲜花组,黑龙江省,双鸭山,否,20190514,在线,24.0,24.0,12686,182,0,0,1.43,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,,
20200401,20200430,7088807,韦爵爷生活花艺馆,鲜花组,黑龙江省,哈尔滨,否,20190517,在线,22.0,22.7,1907,39,1,1,2.05,2.56,1,1,208.0,68.0,140.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,,
20200401,20200430,7264477,花生活鲜花（佳仪鲜花婚庆）,鲜花组,黑龙江省,哈尔滨,否,20190702,在线,24.0,24.0,8482,114,2,0,1.34,1.75,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,,
20200401,20200430,8755680,馨语鲜花,鲜花组,黑龙江省,鹤岗,否,20200325,在线,15.0,15.0,6929,115,0,0,1.66,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,100.0,0,0,0,0.0,0.0,0.0,0.0,,
20200401,20200430,8803761,大顺鲜花礼仪,鲜花组,黑龙江省,牡丹江,否,20200402,在线,13.0,13.0,2908,104,5,4,3.58,4.81,4,4,952.0,511.0,597.0,0,0,0,0,0,0,0,0,0,5,0,0,5,4,80.0,2,0,0,0.0,0.0,0.0,0.0,,
20200401,20200430,8803762,芳君花艺,鲜花组,黑龙江省,牡丹江,否,20200402,在线,4.0,4.3,2546,66,2,1,2.59,3.03,2,1,199.0,176.0,62.0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,50.0,0,0,0,0.0,0.0,0.0,0.0,,
20200401,20200430,8822565,栗子花店,鲜花组,黑龙江省,伊春市,否,20200405,在线,14.0,14.9,6547,582,36,34,8.89,6.19,39,36,5633.0,2863.0,2788.0,0,0,0,0,0,0,0,0,0,39,0,0,15,15,100.0,7,0,0,4.0,4.0,4.0,0.0,,
20200401,20200430,8849788,鲜花店,鲜花组,黑龙江省,绥化,否,20200408,在线,14.0,13.9,6846,206,4,2,3.01,1.94,3,2,884.0,441.0,521.0,1,1,0,0,0,0,0,0,0,2,0,0,2,1,50.0,0,0,0,0.0,0.0,0.0,0.0,,
20200401,20200430,8983876,熹媛,鲜花组,黑龙江省,哈尔滨,否,20200427,在线,7.0,7.2,520,37,7,7,7.12,18.92,9,8,1791.0,1205.0,898.0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0.0,0,0,0,2.5,2.5,2.5,0.0,,
20200501,20200531,6773713,花生活鲜花（哈尔滨鲜花批发）,鲜花组,黑龙江省,哈尔滨,否,20190409,在线,18.0,18.0,8979,747,31,23,8.32,4.15,30,24,8414.0,3691.0,5610.0,1,0,0,0,1,0,0,1,0,31,0,0,10,9,90.0,7,0,1,2.1,2.1,2.1,0.0,,
20200501,20200531,7028637,花生活鲜花（鲜花批发）,鲜花组,黑龙江省,双鸭山,否,20190514,在线,17.0,17.7,9594,430,22,14,4.48,5.12,22,14,4267.0,2051.0,2713.0,4,0,0,0,4,0,0,0,0,22,0,0,15,2,13.33,0,0,0,0.0,0.0,0.0,1.0,,
20200501,20200531,7088807,韦爵爷生活花艺馆,鲜花组,黑龙江省,哈尔滨,否,20190517,在线,19.0,19.0,5786,361,24,15,6.24,6.65,25,17,5961.0,2768.0,3821.0,1,0,1,0,0,0,0,0,0,22,0,0,16,4,25.0,2,1,2,0.0,0.0,0.0,0.0,,
20200501,20200531,7264477,花生活鲜花（佳仪鲜花婚庆）,鲜花组,黑龙江省,哈尔滨,否,20190702,在线,17.0,17.8,8285,468,46,35,5.65,9.83,49,36,10317.0,4415.0,7227.0,11,10,0,1,0,0,0,0,0,41,0,0,20,14,70.0,8,1,1,0.0,0.0,0.0,0.0,,
20200501,20200531,8755680,馨语鲜花,鲜花组,黑龙江省,鹤岗,否,20200325,在线,15.0,15.6,8685,382,16,15,4.4,4.19,17,15,4121.0,2235.0,2432.0,0,0,0,0,0,0,0,0,0,18,0,0,8,4,50.0,2,0,0,0.0,0.0,0.0,0.0,,
20200501,20200531,8803761,大顺鲜花礼仪,鲜花组,黑龙江省,牡丹江,否,20200402,在线,15.0,15.3,3834,403,44,36,10.51,10.92,44,38,12584.0,5377.0,8649.0,5,2,3,0,0,0,0,0,0,41,0,0,18,14,77.78,8,0,0,2.6,2.6,2.6,0.0,,
20200501,20200531,8803762,芳君花艺,鲜花组,黑龙江省,牡丹江,否,20200402,在线,12.0,11.9,2974,310,13,8,10.42,4.19,13,8,2922.0,1244.0,1990.0,5,5,0,0,0,0,0,0,0,10,0,0,6,3,50.0,1,0,0,0.0,0.0,0.0,0.0,,
20200501,20200531,8822565,栗子花店,鲜花组,黑龙江省,伊春市,否,20200405,在线,14.0,14.0,9981,1173,85,78,11.75,7.25,86,80,21397.0,11120.0,13332.0,2,1,0,0,1,0,0,0,0,83,0,0,61,55,90.16,34,0,0,5.0,5.0,5.0,0.0,,
20200501,20200531,8849788,鲜花店,鲜花组,黑龙江省,绥化,否,20200408,在线,13.0,13.7,9102,722,37,24,7.93,5.12,38,24,8177.0,3878.0,5235.0,10,9,1,0,0,0,0,0,0,31,0,0,22,15,68.18,9,0,0,0.0,0.0,0.0,0.0,,
20200501,20200531,8963601,密朗格蛋糕鲜花,鲜花组,黑龙江省,大庆,否,20200503,在线,13.0,13.4,7293,391,12,9,5.36,3.07,12,9,2701.0,1138.0,1914.0,1,0,0,0,0,1,0,0,0,11,0,0,9,1,11.11,1,0,1,0.0,0.0,0.0,0.0,,
20200501,20200531,8983876,熹媛,鲜花组,黑龙江省,哈尔滨,否,20200427,在线,12.0,12.1,5106,641,36,34,12.55,5.62,37,36,11694.0,4998.0,8100.0,1,1,0,0,0,0,0,0,0,40,0,0,22,22,100.0,12,0,0,5.0,5.0,5.0,0.0,,
20200501,20200531,8989547,鸳鸯鲜花店,鲜花组,黑龙江省,哈尔滨,否,20200508,在线,15.0,15.4,3430,333,26,23,9.71,7.81,26,25,8020.0,3955.0,4996.0,0,0,0,0,0,0,0,0,0,26,0,0,12,10,83.33,5,0,0,0.0,0.0,0.0,0.0,,
20200501,20200531,9022887,百合恋鲜花庆典,鲜花组,黑龙江省,黑河,否,20200507,在线,16.0,16.2,3571,230,13,11,6.44,5.65,13,11,3246.0,1428.0,2247.0,0,0,0,0,0,0,0,0,0,12,0,0,6,1,16.67,0,1,0,0.0,0.0,0.0,0.0,,
20200501,20200531,9074918,花之语鲜花店,鲜花组,黑龙江省,黑河,否,20200512,在线,14.0,14.0,2557,231,12,11,9.03,5.19,13,11,3514.0,1717.0,2221.0,1,0,1,0,0,0,0,0,0,11,0,0,2,1,50.0,0,0,0,0.0,0.0,0.0,0.0,,
20200501,20200531,9075075,辉辉鲜花,鲜花组,黑龙江省,牡丹江,否,20200513,在线,13.0,13.8,4952,228,4,1,4.6,1.75,3,1,245.0,142.0,142.0,1,1,0,0,0,0,0,0,0,3,0,0,3,2,66.67,0,0,1,0.0,0.0,0.0,0.0,,
20200501,20200531,9098574,賀囍の花店,鲜花组,黑龙江省,哈尔滨,否,20200513,在线,16.0,16.5,11581,682,14,8,5.89,2.05,15,8,2281.0,1399.0,1194.0,5,1,0,1,3,0,0,0,0,15,0,0,7,6,85.71,2,0,1,0.0,0.0,0.0,0.0,,
20200501,20200531,9164038,苏梅花艺,鲜花组,黑龙江省,哈尔滨,否,20200523,下线,13.0,13.4,331,11,0,0,3.32,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,,
