,开始日期,商家ID,商家名称,运营组,省份,城市,是否新增商家,首次上线日期,门店在线状态,（日均）预设营业时长（h）,（日均）在线营业时长（h）,曝光人数,入店人数,下单人数,有效订单数,下单新客人数,复购人数,入店转化率,下单转化率,新客转化率,复购率,原价交易额,实付交易额,商家补贴金额,原价客单价,实付客单价,cluster
181,2,7392788,花生活鲜花（非凡花艺）,鲜花组,江苏省,淮安,否,20190714,在线,24,24.0,76589,1661,49,40,39,10,2.17,2.95,0.7959183673469388,0.20408163265306123,13908.0,7514.0,7944.0,283.83673469387753,153.3469387755102,0
28,2,3018522,花生活鲜花（源达花艺）,鲜花组,湖南省,常德,否,20170814,在线,17,17.8,63921,1134,35,31,30,5,1.77,3.09,0.8571428571428571,0.14285714285714285,8586.0,5139.8,4499.0,245.31428571428572,146.85142857142858,0
283,2,8197675,蔚然花坊,鲜花组,江苏省,南通,否,20191218,在线,14,14.9,63817,1084,5,2,2,3,1.7,0.46,0.4,0.6,1023.0,826.0,197.0,204.6,165.2,0
388,4,8755682,琪琪花店,鲜花组,广东省,佛山,否,20200324,在线,24,24.0,61978,1792,44,34,32,12,2.89,2.46,0.7272727272727273,0.2727272727272727,8159.0,4326.0,4913.0,185.4318181818182,98.31818181818181,0
112,2,6773940,花生活鲜花（鲜花婚庆）,鲜花组,山东省,德州,否,20190422,在线,23,23.6,57476,1216,7,6,6,1,2.12,0.58,0.8571428571428571,0.14285714285714285,1925.0,1135.0,985.0,275.0,162.14285714285714,0
281,2,8094433,花生活鲜花（清湘花坊）,鲜花组,新疆维吾尔自治区,乌鲁木齐,否,20191204,在线,21,21.6,57146,3810,110,62,62,48,6.67,2.89,0.5636363636363636,0.43636363636363634,23947.0,17754.0,8562.0,217.7,161.4,0
72,2,5962302,花生活鲜花（众里寻Ta花舍）,鲜花组,甘肃省,兰州,否,20181024,在线,13,13.1,56926,1029,38,17,16,22,1.81,3.69,0.42105263157894735,0.5789473684210527,7025.0,4011.0,3677.0,184.8684210526316,105.55263157894737,0
211,2,7514883,花生活鲜花（倾城花屋）,鲜花组,江苏省,徐州,否,20190723,在线,24,24.0,56894,1169,11,7,7,4,2.05,0.94,0.6363636363636364,0.36363636363636365,2554.0,1463.0,1364.0,232.1818181818182,133.0,0
275,2,7994673,花生活鲜花（禾木鲜花店）,鲜花组,天津市,天津,否,20191205,在线,23,23.0,55132,726,16,16,16,0,1.32,2.2,1.0,0.0,7035.0,3716.0,3927.0,439.6875,232.25,0
56,2,5196478,郁涧鲜花坊,鲜花组,内蒙古自治区,赤峰,否,20180612,在线,16,16.6,54485,1404,35,27,27,8,2.58,2.49,0.7714285714285715,0.22857142857142856,9617.0,4162.0,5450.0,274.77142857142854,118.91428571428571,0
223,1,7514883,花生活鲜花（倾城花屋）,鲜花组,江苏省,徐州,否,20190723,在线,24,24.0,52616,733,6,3,3,3,1.39,0.82,0.5,0.5,955.0,588.0,484.0,159.16666666666666,98.0,0
267,2,7934077,花生活鲜花（夜来香鲜花）,鲜花组,北京市,北京,否,20191123,在线,23,23.7,52378,1213,73,49,45,28,2.32,6.02,0.6164383561643836,0.3835616438356164,16820.0,9454.0,9234.0,230.41095890410958,129.5068493150685,0
277,3,7994673,花生活鲜花（禾木鲜花店）,鲜花组,天津市,天津,否,20191205,在线,24,24.0,51486,656,16,16,13,3,1.27,2.44,0.8125,0.1875,3931.0,1879.0,2609.0,245.6875,117.4375,0
170,2,7310188,花生活鲜花（伊佰莲鲜花婚庆）,鲜花组,浙江省,绍兴,否,20190620,在线,16,16.6,51366,685,16,13,14,2,1.33,2.34,0.875,0.125,4368.0,2501.7,2530.0,273.0,156.35625,0
374,3,8588169,洛施花艺,鲜花组,广东省,佛山,否,20200306,在线,22,22.9,50384,1529,42,36,34,8,3.03,2.75,0.8095238095238095,0.19047619047619047,9852.0,4845.0,5073.0,234.57142857142858,115.35714285714286,0
143,2,7093976,花生活鲜花（花筵万达店）,鲜花组,湖南省,常德,否,20190621,在线,11,11.4,45029,420,9,7,7,2,0.93,2.14,0.7777777777777778,0.2222222222222222,2010.0,1098.0,1102.0,223.33333333333334,122.0,0
283,3,8094433,花生活鲜花（清湘花坊）,鲜花组,新疆维吾尔自治区,乌鲁木齐,否,20191204,在线,24,24.0,43444,1641,79,71,64,15,3.78,4.81,0.810126582278481,0.189873417721519,21748.0,13294.0,11198.0,275.2911392405063,168.27848101265823,0
298,1,8197675,蔚然花坊,鲜花组,江苏省,南通,否,20191218,在线,20,20.4,43027,515,16,9,9,7,1.2,3.11,0.5625,0.4375,2966.0,1320.0,1641.0,185.375,82.5,0
281,1,7934077,花生活鲜花（夜来香鲜花）,鲜花组,北京市,北京,否,20191123,在线,24,24.0,40353,521,0,0,0,0,1.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
129,2,6967767,花生活鲜花（花掌门）,鲜花组,辽宁省,抚顺,否,20190509,在线,24,24.0,40330,833,26,25,19,7,2.07,3.12,0.7307692307692307,0.2692307692307692,6859.0,3500.0,4235.0,263.8076923076923,134.6153846153846,0
179,1,7310188,花生活鲜花（伊佰莲鲜花婚庆）,鲜花组,浙江省,绍兴,否,20190620,在线,19,19.3,40087,340,9,9,6,3,0.85,2.65,0.6666666666666666,0.3333333333333333,9050.0,1046.17,8270.73,1005.5555555555555,116.24111111111112,0
259,2,7785967,花生活鲜花（芸花坊）,鲜花组,辽宁省,抚顺,否,20190912,在线,23,23.2,39752,609,19,23,10,9,1.53,3.12,0.5263157894736842,0.47368421052631576,4315.0,2059.0,2800.0,227.10526315789474,108.36842105263158,0
365,2,8488487,红珊瑚鲜花婚庆,鲜花组,陕西省,渭南,否,20200211,在线,15,15.4,39349,1002,39,20,20,19,2.55,3.89,0.5128205128205128,0.48717948717948717,6006.0,3224.0,3557.0,154.0,82.66666666666667,0
44,2,4304946,花生活鲜花（城市花坊）,鲜花组,四川省,泸州,否,20180124,在线,20,19.9,39066,797,29,28,27,2,2.04,3.64,0.9310344827586207,0.06896551724137931,8117.0,4239.8,4930.0,279.8965517241379,146.20000000000002,0
45,2,4363389,花生活鲜花（意达鲜花店）,鲜花组,河北省,唐山,否,20180201,在线,23,23.1,37649,1313,22,22,14,8,3.49,1.68,0.6363636363636364,0.36363636363636365,6676.0,3472.99,4056.01,303.45454545454544,157.8631818181818,0
193,2,7427902,花生活鲜花（同心花艺）,鲜花组,贵州省,遵义,否,20190712,在线,20,20.2,37389,351,13,10,10,3,0.94,3.7,0.7692307692307693,0.23076923076923078,4034.0,2631.0,1481.0,310.3076923076923,202.3846153846154,0
272,1,7785967,花生活鲜花（芸花坊）,鲜花组,辽宁省,抚顺,否,20190912,在线,24,24.0,37363,447,21,19,12,9,1.2,4.7,0.5714285714285714,0.42857142857142855,3563.0,1370.0,2734.0,169.66666666666666,65.23809523809524,0
190,1,7392788,花生活鲜花（非凡花艺）,鲜花组,江苏省,淮安,否,20190714,在线,24,24.0,37045,551,19,15,14,5,1.49,3.45,0.7368421052631579,0.2631578947368421,5095.0,2463.0,3207.0,268.1578947368421,129.6315789473684,0
17,2,2095123,花生活鲜花（遇见花艺馆）,鲜花组,湖南省,郴州,否,20170303,在线,23,23.9,36362,2299,135,124,114,21,6.32,5.87,0.8444444444444444,0.15555555555555556,42707.0,23189.0,24180.0,316.34814814814814,171.77037037037036,0
269,3,7934077,花生活鲜花（夜来香鲜花）,鲜花组,北京市,北京,否,20191123,在线,24,24.0,35420,756,31,30,29,2,2.13,4.1,0.9354838709677419,0.06451612903225806,8969.0,5288.0,4768.0,289.3225806451613,170.58064516129033,0
61,2,5550366,花生活鲜花（爱尚鲜花鲜花）,鲜花组,河北省,邢台,否,20180808,在线,24,24.0,34943,357,2,1,1,1,1.02,0.56,0.5,0.5,620.0,305.0,354.0,310.0,152.5,0
60,2,5379291,花生活鲜花（心怡花店）,鲜花组,上海市,上海,否,20180705,在线,23,23.4,34718,354,12,9,8,4,1.02,3.39,0.6666666666666666,0.3333333333333333,2821.0,1342.0,1773.0,235.08333333333334,111.83333333333333,0
367,4,8588169,小晴花艺,鲜花组,广东省,佛山,否,20200306,在线,24,24.0,33767,887,22,18,17,5,2.63,2.48,0.7727272727272727,0.22727272727272727,4126.0,2058.0,2196.0,187.54545454545453,93.54545454545455,3
119,1,6773940,花生活鲜花（鲜花婚庆）,鲜花组,山东省,德州,否,20190422,在线,22,22.3,33636,570,11,11,8,3,1.69,1.93,0.7272727272727273,0.2727272727272727,5808.0,1717.09,4480.91,528.0,156.0990909090909,3
136,1,6967767,花生活鲜花（花掌门）,鲜花组,辽宁省,抚顺,否,20190509,在线,24,24.0,33208,392,20,21,9,11,1.18,5.1,0.45,0.55,4836.0,1905.5,3702.0,241.8,95.275,3
200,2,7475293,花生活鲜花（520忆花坊）,鲜花组,贵州省,遵义,否,20190719,在线,11,11.8,32328,186,1,0,0,1,0.58,0.54,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3
339,2,8435955,花生活鲜花（花之都鲜花批发行）,鲜花组,江苏省,徐州,否,20200109,在线,17,17.7,32191,332,0,0,0,0,1.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
18,1,2095123,花生活鲜花（遇见花艺馆）,鲜花组,湖南省,郴州,否,20170303,在线,24,24.0,32183,1557,93,79,67,26,4.84,5.97,0.7204301075268817,0.27956989247311825,25957.0,11778.1,17053.9,279.10752688172045,126.6462365591398,3
213,3,7514883,花生活鲜花（倾城花屋）,鲜花组,江苏省,徐州,否,20190723,在线,24,24.0,31896,478,9,7,7,2,1.5,1.88,0.7777777777777778,0.2222222222222222,1619.0,905.5,982.0,179.88888888888889,100.61111111111111,3
45,3,4363389,花生活鲜花（意达鲜花店）,鲜花组,河北省,唐山,否,20180201,在线,23,23.6,31416,1410,76,74,62,14,4.49,5.39,0.8157894736842105,0.18421052631578946,20485.0,10412.0,12914.0,269.5394736842105,137.0,3
328,2,8357582,花生活鲜花（遇见BEAUTY）,鲜花组,山东省,菏泽,否,20191219,在线,12,12.0,31262,1706,99,104,87,12,5.46,5.8,0.8787878787878788,0.12121212121212122,32535.0,16706.0,19623.0,328.6363636363636,168.74747474747474,3
151,1,7093976,花生活鲜花（花筵万达店）,鲜花组,湖南省,常德,否,20190621,在线,24,24.0,31133,279,3,1,1,2,0.9,1.08,0.3333333333333333,0.6666666666666666,944.0,65.03,917.97,314.6666666666667,21.676666666666666,3
223,3,7515286,花生活鲜花（窑辉鲜花礼仪）,鲜花组,西藏自治区,拉萨,否,20190730,在线,14,14.7,30668,1568,71,66,63,8,5.11,4.53,0.8873239436619719,0.11267605633802817,39870.0,19964.0,22441.0,561.5492957746479,281.1830985915493,3
203,2,7475298,花生活鲜花（香阁丽娜）,鲜花组,贵州省,遵义,否,20190723,在线,13,13.5,29572,1895,61,44,44,17,6.41,3.22,0.7213114754098361,0.2786885245901639,15851.0,7968.0,9516.0,259.8524590163934,130.62295081967213,3
66,1,5379291,花生活鲜花（心怡花店）,鲜花组,上海市,上海,否,20180705,在线,24,24.0,28805,272,3,3,2,1,0.94,1.1,0.6666666666666666,0.3333333333333333,660.0,345.0,432.0,220.0,115.0,3
340,2,8435957,花生活鲜花（花之恋鲜花店）,鲜花组,河北省,唐山,否,20200108,在线,18,18.9,28252,1260,16,15,15,1,4.46,1.27,0.9375,0.0625,5519.0,3435.0,2669.0,344.9375,214.6875,3
222,2,7515288,花生活鲜花（绿如蓝花店）,鲜花组,四川省,达州,否,20190803,在线,24,24.0,27894,203,4,1,1,3,0.73,1.97,0.25,0.75,320.0,146.0,213.0,80.0,36.5,3
97,2,6769761,花生活鲜花（小野猫花艺）,鲜花组,贵州省,遵义,否,20190402,在线,10,10.7,27718,118,0,0,0,0,0.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
368,2,8488490,茉莉,鲜花组,山东省,菏泽,否,20200210,在线,21,21.7,27275,2372,12,12,11,1,8.7,0.51,0.9166666666666666,0.08333333333333333,2904.0,1888.0,1250.0,242.0,157.33333333333334,3
277,2,8068587,花生活鲜花（花轩子鲜花店）,鲜花组,贵州省,毕节,否,20191205,在线,12,12.9,27031,459,3,1,1,2,1.7,0.65,0.3333333333333333,0.6666666666666666,470.0,185.0,324.0,156.66666666666666,61.666666666666664,3
221,2,7515286,花生活鲜花（窑辉鲜花礼仪）,鲜花组,西藏自治区,拉萨,否,20190730,在线,11,11.6,26980,2053,77,71,65,12,7.61,3.75,0.8441558441558441,0.15584415584415584,32165.0,25522.0,9412.0,417.72727272727275,331.45454545454544,3
282,1,7934078,花生活鲜花（情缘鲜花店榆林店）,鲜花组,陕西省,榆林,否,20191209,在线,24,24.0,26973,303,4,3,3,1,1.12,1.32,0.75,0.25,935.0,445.0,607.0,233.75,111.25,3
96,1,6543684,花生活鲜花（椰林花店）,鲜花组,上海市,上海,否,20190130,在线,24,24.0,26755,547,35,33,31,4,2.04,6.4,0.8857142857142857,0.11428571428571428,12043.0,7328.0,5916.0,344.0857142857143,209.37142857142857,3
274,1,7907143,花生活鲜花（花仙子鲜花店）,鲜花组,湖北省,鄂州,否,20191107,在线,24,24.0,26677,339,0,0,0,0,1.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
110,1,6773717,花生活鲜花（紫薇鲜花坊）,鲜花组,四川省,南充,否,20190424,在线,24,24.0,26121,585,13,13,10,3,2.24,2.22,0.7692307692307693,0.23076923076923078,2763.0,1413.0,1779.0,212.53846153846155,108.6923076923077,3
17,3,2095123,花生活鲜花（遇见花艺馆）,鲜花组,湖南省,郴州,否,20170303,在线,24,24.0,26075,1841,189,178,164,25,7.06,10.27,0.8677248677248677,0.13227513227513227,50704.0,25703.0,31850.0,268.27513227513225,135.994708994709,3
