,time,商家ID,r,f,m,r_score,f_score,m_score,rfm_group
0,1,295680,24,3,203,3,2,2,322
1,1,642989,24,0,0,3,1,1,311
2,1,653643,10,2,347,2,2,2,222
3,1,714142,11,10,1373,2,3,3,233
4,1,720330,0,0,0,1,1,1,111
5,1,772683,0,0,0,1,1,1,111
6,1,783170,20,3,337,2,2,2,222
7,1,799254,24,0,0,3,1,1,311
8,1,833749,24,0,0,3,1,1,311
9,1,1330090,13,5,547,2,2,2,222
10,1,1523142,10,5,515,2,2,2,222
11,1,1696175,16,1,175,2,2,2,222
12,1,1937925,22,1,105,2,2,2,222
13,1,1971869,21,0,0,2,1,1,211
14,1,2006070,13,0,0,2,1,1,211
15,1,2019807,24,0,0,3,1,1,311
16,1,2045211,24,0,0,3,1,1,311
17,1,2068451,8,0,0,1,1,1,111
18,1,2095123,24,93,11778,3,3,3,333
19,1,2174771,18,4,536,2,2,2,222
20,1,2220100,24,1,0,3,2,1,321
21,1,2329256,22,0,0,2,1,1,211
22,1,2402349,24,0,0,3,1,1,311
23,1,2482113,24,0,0,3,1,1,311
24,1,2527715,24,0,0,3,1,1,311
25,1,2622811,22,8,516,2,2,2,222
26,1,2666240,24,3,243,3,2,2,322
27,1,2731908,0,0,0,1,1,1,111
28,1,2880558,24,1,145,3,2,2,322
29,1,2922099,24,6,397,3,2,2,322
30,1,3018522,22,3,194,2,2,2,222
31,1,3027069,17,2,281,2,2,2,222
32,1,3072588,21,7,640,2,2,2,222
33,1,3095162,22,0,0,2,1,1,211
34,1,3114926,14,2,352,2,2,2,222
35,1,3128450,9,35,4563,1,3,3,133
36,1,3165468,18,3,170,2,2,2,222
37,1,3174325,17,3,347,2,2,2,222
38,1,3464481,24,1,125,3,2,2,322
39,1,3468033,11,39,5872,2,3,3,233
40,1,3562612,11,0,0,2,1,1,211
41,1,3713872,19,5,630,2,2,2,222
42,1,3882102,13,0,0,2,1,1,211
43,1,3985407,20,18,2365,2,3,3,233
44,1,3994932,16,8,1099,2,2,3,223
45,1,4139743,0,0,0,1,1,1,111
46,1,4192177,24,0,0,3,1,1,311
47,1,4279933,0,0,0,1,1,1,111
48,1,4304946,24,11,1216,3,3,3,333
49,1,4363389,23,8,785,2,2,2,222
50,1,4389748,18,5,392,2,2,2,222
51,1,4434657,18,4,0,2,2,1,221
52,1,4439411,19,1,0,2,2,1,221
53,1,4464626,15,4,173,2,2,2,222
54,1,4473272,17,1,269,2,2,2,222
55,1,4742557,24,1,205,3,2,2,322
56,1,4873097,0,0,0,1,1,1,111
57,1,4885878,12,4,182,2,2,2,222
58,1,5054488,13,1,0,2,2,1,221
59,1,5056286,24,0,0,3,1,1,311
60,1,5121244,18,2,107,2,2,2,222
61,1,5138638,0,0,0,1,1,1,111
62,1,5196478,19,10,729,2,3,2,232
63,1,5332337,24,2,380,3,2,2,322
64,1,5345425,24,5,656,3,2,2,322
65,1,5346237,18,1,0,2,2,1,221
66,1,5379291,24,3,345,3,2,2,322
67,1,5550366,24,0,0,3,1,1,311
68,1,5565851,24,1,58,3,2,2,322
69,1,5582315,24,1,0,3,2,1,321
70,1,5630285,0,0,0,1,1,1,111
71,1,5641328,24,13,1394,3,3,3,333
72,1,5740741,22,12,1622,2,3,3,233
73,1,5762294,15,7,1152,2,2,3,223
74,1,5788642,24,1,155,3,2,2,322
75,1,5844824,0,1,0,1,2,1,121
76,1,5845622,24,0,0,3,1,1,311
77,1,5860472,10,0,0,2,1,1,211
78,1,5866954,22,2,0,2,2,1,221
79,1,5962302,18,10,1161,2,3,3,233
80,1,6012181,24,0,0,3,1,1,311
81,1,6061744,24,0,0,3,1,1,311
82,1,6074581,19,0,0,2,1,1,211
83,1,6104153,21,2,0,2,2,1,221
84,1,6132769,22,10,1258,2,3,3,233
85,1,6197578,19,1,0,2,2,1,221
86,1,6236483,17,1,0,2,2,1,221
87,1,6305029,18,13,1799,2,3,3,233
88,1,6355077,15,2,122,2,2,2,222
89,1,6390095,24,0,0,3,1,1,311
90,1,6395163,12,49,9787,2,3,3,233
91,1,6405229,18,2,112,2,2,2,222
92,1,6503029,24,1,0,3,2,1,321
93,1,6507601,0,0,0,1,1,1,111
94,1,6532043,12,2,0,2,2,1,221
95,1,6533841,17,1,0,2,2,1,221
96,1,6543684,24,35,7328,3,3,3,333
97,1,6579105,24,0,0,3,1,1,311
98,1,6582771,24,26,2633,3,3,3,333
99,1,6588555,24,1,0,3,2,1,321
100,1,6609908,18,0,0,2,1,1,211
101,1,6626527,23,1,0,3,2,1,321
102,1,6704550,24,0,0,3,1,1,311
103,1,6729448,14,36,5140,2,3,3,233
104,1,6769761,24,1,175,3,2,2,322
105,1,6773711,8,7,1215,1,2,3,123
106,1,6773712,19,3,138,2,2,2,222
107,1,6773713,10,2,205,2,2,2,222
108,1,6773714,10,4,495,1,2,2,122
109,1,6773715,17,0,0,2,1,1,211
110,1,6773717,24,13,1413,3,3,3,333
111,1,6773719,14,3,418,2,2,2,222
112,1,6773720,18,1,130,2,2,2,222
113,1,6773722,22,1,0,2,2,1,221
114,1,6773725,23,1,0,3,2,1,321
115,1,6773727,18,10,1171,2,3,3,233
116,1,6773784,14,7,842,2,2,2,222
117,1,6773938,18,7,1066,2,2,3,223
118,1,6773939,18,38,6456,2,3,3,233
119,1,6773940,22,11,1717,2,3,3,233
120,1,6773941,24,0,0,3,1,1,311
121,1,6774016,19,51,6732,2,3,3,233
122,1,6774085,8,2,155,1,2,2,122
123,1,6826710,16,1,205,2,2,2,222
124,1,6826712,24,14,982,3,3,3,333
125,1,6826772,22,40,4776,2,3,3,233
126,1,6865867,24,0,0,3,1,1,311
127,1,6881023,16,4,329,2,2,2,222
128,1,6882162,12,1,0,2,2,1,221
129,1,6882163,12,3,145,2,2,2,222
130,1,6882164,24,3,348,3,2,2,322
131,1,6882165,24,3,270,3,2,2,322
132,1,6928399,24,8,1000,3,2,3,323
133,1,6944778,24,2,0,3,2,1,321
134,1,6952198,18,0,0,2,1,1,211
135,1,6956267,19,2,225,2,2,2,222
136,1,6967767,24,20,1905,3,3,3,333
137,1,6968121,0,0,0,1,1,1,111
138,1,6968235,16,4,375,2,2,2,222
139,1,7004308,24,1,0,3,2,1,321
140,1,7008016,0,0,0,1,1,1,111
141,1,7022271,14,13,1284,2,3,3,233
142,1,7022272,0,0,0,1,1,1,111
143,1,7022273,18,10,1470,2,3,3,233
144,1,7022274,24,0,0,3,1,1,311
145,1,7022275,20,14,1567,2,3,3,233
146,1,7022276,19,6,630,2,2,2,222
147,1,7022374,23,18,958,3,3,3,333
148,1,7022375,24,5,735,3,2,2,322
149,1,7028637,24,1,0,3,2,1,321
150,1,7063793,17,3,0,2,2,1,221
151,1,7093976,24,3,65,3,2,2,322
152,1,7094045,15,13,1932,2,3,3,233
153,1,7160078,10,2,115,2,2,2,222
154,1,7166109,21,7,530,2,2,2,222
155,1,7166110,13,6,600,2,2,2,222
156,1,7166112,24,0,0,3,1,1,311
157,1,7166113,24,1,0,3,2,1,321
158,1,7166115,0,0,0,1,1,1,111
159,1,7166116,24,1,0,3,2,1,321
160,1,7166262,0,0,0,1,1,1,111
161,1,7166264,24,4,141,3,2,2,322
162,1,7194721,24,23,2141,3,3,3,333
163,1,7196730,12,0,0,2,1,1,211
164,1,7207842,17,7,856,2,2,2,222
165,1,7207843,21,6,305,2,2,2,222
166,1,7207845,15,10,1364,2,3,3,233
167,1,7207846,6,16,2990,1,3,3,133
168,1,7207847,20,3,273,2,2,2,222
169,1,7207848,19,8,592,2,2,2,222
170,1,7207850,24,8,1350,3,2,3,323
171,1,7207851,19,64,6684,2,3,3,233
172,1,7264470,24,0,0,3,1,1,311
173,1,7264472,7,6,308,1,2,2,122
174,1,7264474,24,1,118,3,2,2,322
175,1,7264476,9,14,1446,1,3,3,133
176,1,7264477,18,3,366,2,2,2,222
177,1,7280704,18,2,247,2,2,2,222
178,1,7310176,23,0,0,3,1,1,311
179,1,7310188,19,9,1046,2,3,3,233
180,1,7311299,10,1,68,2,2,2,222
181,1,7317971,24,2,145,3,2,2,322
182,1,7317972,11,28,3257,2,3,3,233
183,1,7318032,22,3,289,2,2,2,222
184,1,7331152,13,1,160,2,2,2,222
185,1,7349050,11,0,0,2,1,1,211
186,1,7349051,19,5,607,2,2,2,222
187,1,7349052,16,1,0,2,2,1,221
188,1,7349060,17,0,0,2,1,1,211
189,1,7349110,22,6,740,2,2,2,222
190,1,7392788,24,19,2463,3,3,3,333
191,1,7392799,9,0,0,1,1,1,111
192,1,7392893,20,3,115,2,2,2,222
193,1,7392896,24,0,0,3,1,1,311
194,1,7392897,24,0,0,3,1,1,311
195,1,7392899,24,0,0,3,1,1,311
196,1,7392900,20,1,0,2,2,1,221
197,1,7392901,24,3,943,3,2,3,323
198,1,7392902,19,1,0,2,2,1,221
199,1,7392906,11,20,2871,2,3,3,233
200,1,7392907,17,3,112,2,2,2,222
201,1,7398752,8,13,1554,1,3,3,133
202,1,7427902,24,0,0,3,1,1,311
203,1,7427904,18,3,144,2,2,2,222
204,1,7427905,0,0,0,1,1,1,111
205,1,7427906,0,0,0,1,1,1,111
206,1,7428704,13,2,152,2,2,2,222
207,1,7429078,16,4,339,2,2,2,222
208,1,7475288,18,1,0,2,2,1,221
209,1,7475289,0,0,0,1,1,1,111
210,1,7475291,10,1,0,2,2,1,221
211,1,7475292,15,32,4739,2,3,3,233
212,1,7475293,23,4,335,3,2,2,322
213,1,7475294,24,0,0,3,1,1,311
214,1,7475297,24,1,0,3,2,1,321
215,1,7475298,12,13,1569,2,3,3,233
216,1,7475299,8,1,17,1,2,2,122
217,1,7475300,11,10,1232,2,3,3,233
218,1,7475402,22,5,355,2,2,2,222
219,1,7514878,0,0,0,1,1,1,111
220,1,7514879,24,4,590,3,2,2,322
221,1,7514880,10,5,488,1,2,2,122
222,1,7514881,18,2,152,2,2,2,222
223,1,7514883,24,6,588,3,2,2,322
224,1,7514884,24,3,543,3,2,2,322
225,1,7514885,0,0,0,1,1,1,111
226,1,7514886,9,3,247,1,2,2,122
227,1,7514887,18,5,125,2,2,2,222
228,1,7514888,0,0,0,1,1,1,111
229,1,7514889,24,1,112,3,2,2,322
230,1,7514890,24,5,227,3,2,2,322
231,1,7514891,13,2,0,2,2,1,221
232,1,7514892,17,4,334,2,2,2,222
233,1,7514896,24,0,0,3,1,1,311
234,1,7515286,11,36,7904,2,3,3,233
235,1,7515288,24,1,99,3,2,2,322
236,1,7545487,22,12,1011,2,3,3,233
237,1,7545488,5,0,0,1,1,1,111
238,1,7545489,20,4,454,2,2,2,222
239,1,7545490,11,5,355,2,2,2,222
240,1,7545492,16,5,307,2,2,2,222
241,1,7545494,17,1,145,2,2,2,222
242,1,7546953,17,4,379,2,2,2,222
243,1,7622475,17,3,397,2,2,2,222
244,1,7634499,18,3,0,2,2,1,221
245,1,7641996,23,4,0,3,2,1,321
246,1,7642002,24,1,0,3,2,1,321
247,1,7642004,15,0,0,2,1,1,211
248,1,7642006,18,4,122,2,2,2,222
249,1,7642070,24,0,0,3,1,1,311
250,1,7642072,24,2,0,3,2,1,321
251,1,7642073,24,1,0,3,2,1,321
252,1,7642074,24,22,1582,3,3,3,333
253,1,7642075,24,0,0,3,1,1,311
254,1,7642076,21,6,879,2,2,3,223
255,1,7672370,15,6,965,2,2,3,223
256,1,7672411,18,9,1117,2,3,3,233
257,1,7672416,8,1,115,1,2,2,122
258,1,7672419,18,2,165,2,2,2,222
259,1,7672420,24,2,0,3,2,1,321
260,1,7672499,18,1,0,2,2,1,221
261,1,7682068,20,2,250,2,2,2,222
262,1,7690567,23,1,185,3,2,2,322
263,1,7743128,11,0,0,2,1,1,211
264,1,7743129,24,1,0,3,2,1,321
265,1,7743130,22,2,142,2,2,2,222
266,1,7743133,19,22,2608,2,3,3,233
267,1,7785891,17,3,165,2,2,2,222
268,1,7785893,24,1,0,3,2,1,321
269,1,7785894,18,1,165,2,2,2,222
270,1,7785895,20,3,125,2,2,2,222
271,1,7785896,24,0,0,3,1,1,311
272,1,7785967,24,21,1370,3,3,3,333
273,1,7907142,24,3,255,3,2,2,322
274,1,7907143,24,0,0,3,1,1,311
275,1,7907144,23,2,0,3,2,1,321
276,1,7934066,24,1,0,3,2,1,321
