,商品名称,数量
10,红玫瑰精致花瓣一片-----自取款	,4346
0,『情人知己』11枝红玫瑰搭配满天星礼盒七夕情人节礼物鲜花店	,2602
1,『情投意合』11枝红玫瑰搭配尤加利花束七夕情人节礼物鲜花店	,1998
2,『情意绵绵』19枝红玫瑰搭配满天星礼盒七夕情人节礼物鲜花店	,1683
3,『情有独钟』11枝红玫瑰鲜花礼盒七夕情人节送女友表白礼物	,1407
5,『爱意绵绵』9枝混搭玫瑰韩式花束送女友送老婆鲜花	,1182
4,『感恩教师』5枝康乃馨搭配满天星花束教师节送老师鲜花	,1159
8,『亭亭玉立』11枝粉玫瑰配尤加利韩式花束情人节七夕礼物鲜花	,926
6,『倾城倾国』6枝红玫瑰配尤加利韩式花束七夕情人节礼物鲜花	,918
7,自取款-----精致花瓣一片	,906
9,『红艳欲滴』33枝红玫瑰搭配满天星花束七夕情人节礼物鲜花店	,900
11,天生丽质』向日葵粉康乃馨洋桔梗小花束毕业季生日鲜花礼	,856
12,『亭亭玉立』6枝粉玫瑰配尤加利韩式花束情人节七夕礼物鲜花	,773
13,『爱如潮水』11枝红玫瑰花束情人节爆款送女友鲜花店	,701
14,『一日为师』单枝向日葵搭配康乃馨花束教师节送老师鲜花	,613
15,『亭亭玉立』11枝粉玫瑰搭配尤加利韩式花束送女友送老婆鲜花	,544
19,『天生丽质』向日葵粉康乃馨洋桔梗小花束毕业季送老师送师生鲜花	,542
16,『白头相守』11枝粉玫瑰搭配满天星花束七夕情人节礼物鲜花	,530
18,『纸短情长』11枝粉玫瑰搭配尤加礼盒七夕情人节礼物鲜花店	,524
21,『心有灵犀』19枝红玫瑰搭配满天星花束七夕情人节礼物鲜花店	,517
17,『心心相印』11枝红玫瑰搭配满天星礼盒七夕情人节礼物鲜花店	,509
22,『甘棠之爱』33枝红玫瑰搭配尤加利韩式花束七夕情人节礼物鲜花	,508
20,『倾城倾国』11枝红玫瑰配尤加利韩式花束七夕情人节礼物鲜花	,500
23,『老师您辛苦了』单枝向日葵搭配尤加利花束教师节送老师鲜花	,480
24,『鸳鸯比翼』11枝粉玫瑰搭配粉玫瑰礼盒七夕情人节礼物鲜花	,425
27,『情比金坚』19枝红玫瑰精致韩式花束七夕情人节礼物鲜花店	,424
26,『岁月如歌』3枝向日葵搭配桔梗花束 送老师 情人节礼物	,420
25,『桃李芬芳』11枝香槟玫瑰搭配尤加利花束教师节礼物鲜花店	,406
31,『温香艳玉』11枝红玫瑰花搭配尤加利圣诞礼盒生日礼物鲜花店	,366
29,『眉目传情』19枝粉玫瑰搭配尤加利精致礼盒七夕情人节礼物鲜花	,364
28,『师生交心』3枝向日葵搭配桔梗精致花束教师节送老师礼物鲜花	,360
30,『倾城倾国』11枝红玫瑰配尤加利韩式花束520情人节礼物鲜花	,340
1503,可爱小熊 收藏店铺和花一起拍下 款式随机 单拍多拍无效 1个	,324
32,『挚爱』11枝红玫瑰花+2只小熊圣诞礼盒送女友闺蜜生日鲜花店	,317
34,『两厢情愿』11枝红玫瑰搭配尤加利花束七夕情人节礼物鲜花	,316
36,『美满良缘』11枝红玫瑰搭配桔梗韩式花束七夕情人节礼物鲜花	,308
33,『亭亭玉立』11枝粉玫瑰配尤加利韩式花束520情人节礼物鲜花	,306
35,『所谓伊人』11枝蓝色妖姬搭配满天星礼盒七夕情人节礼物鲜花	,304
1508,『装饰彩灯』收藏店铺和花一起拍下款式随机 单拍多拍无效1串	,284
38,『艳丽动人』19枝红玫瑰搭配桔梗韩式花束七夕情人节礼物鲜花店	,282
37,『国色天香』19枝红玫瑰精致抱抱通七夕情人节礼物鲜花店	,275
39,『鸾凤和鸣』19枝粉玫瑰搭配满天星花束七夕情人节礼物鲜花店	,269
41,『情真意切』11枝粉玫瑰搭配尤加利韩式花束七夕情人节礼物鲜花	,268
40,『艳丽夺目』52枝红玫瑰精致韩式花束七夕情人节礼物鲜花店	,262
1467,『精美贺卡』收藏店铺和花一起拍下款式随机 单拍多拍无效 1张	,254
42,『宽容做舟』11支粉康乃馨搭配尤加利花束送长辈送老师礼物鲜花	,250
44,『天长地久』19枝香槟玫瑰搭配尤加利花束七夕情人节礼物鲜花	,242
43,『倾城倾国』11枝红玫瑰搭配尤加利韩式花束送女友送老婆鲜花	,240
45,『秀丽淡雅』19枝香槟玫瑰搭配桔梗花束七夕情人节礼物鲜花店	,235
46,『惊鸿一瞥』11枝粉玫瑰搭配桔梗花束七夕情人节礼物鲜花店	,229
47,『Classic C4款』19红玫瑰鲜花+配草+2只小熊礼盒	,219
