商户ID,门店名称,品牌名称,服务质量,教师节总订单,七夕总订单,教师节取消订单率,七夕取消订单率,教师节非异订单率,七夕非异订单率,最大小时接单量,12月24日20分钟最大接单量（测算参考值）,12月31日20分钟最大接单量（测算参考值）,12月24日订单量预估,12月25日-1月1日预估（该段时间内均按照此阈值限定）,12月24日（N单/每20分钟）,12月25日-1月1日（N单/每20分钟）,体检分
9287646,大象园艺（七夕情人节，告白，鲜花）,花生活,蓝色预警,15,28,0,0.107142857,0.076923077,0.142857143,5,2,2,19.6,12,,,90
9740903,情意浓花卉（七夕预定，表白，鲜花）,花生活,黄色预警,1,6,0,0,0,0.166666667,2,2,2,4.2,2,,,79
8442887,花之缘鲜花屋·七夕鲜花,花生活,橙色预警,7,51,0,0.078431373,0,0.117647059,9,2,3,35.7,22,,,74
9756327,惜缘花业,花生活,0,1,3,0,0,0,0,1,2,2,2.1,1,,,72
6395163,花生活鲜花（花海）,花生活,0,12,174,0,0.045977011,0,0.005747126,20,5,7,121.8,73,,,92
9298120,鲜花（解放北路店）,花生活,红色预警,12,32,0,0.0625,0,0.25,6,2,2,22.4,13,,,79
8724585,顺意鲜花店（七夕情人节，告白，生日）,花生活,0,10,55,0,0,0,0,10,3,4,38.5,23,,,66
9629139,晓明姐姐手工花坊,花生活,黄色预警,15,43,0,0.139534884,0.083333333,0.162790698,6,2,2,30.1,18,,,81
9437456,花意浓·七夕鲜花,花生活,红色预警,7,32,0.666666667,0.46875,0.777777778,0.4375,6,2,2,22.4,13,,,72
9621812,芙罗拉花艺·七夕鲜花,花生活,蓝色预警,7,32,0,0.09375,0,0.03125,8,2,3,22.4,13,,,73
7004308,花生活鲜花（曼陀罗花开）,花生活,0,3,2,0,0,0.333333333,0,1,2,2,1.4,1,,,72
2329256,花生活鲜花（七彩坊鲜花店）,花生活,红色预警,1,73,0,0.767123288,0,0.753424658,11,2,3,51.1,31,,,79
5582315,花生活鲜花（花香漫进）,花生活,红色预警,2,5,0.5,0.2,0.5,0.4,2,2,2,3.5,2,,,61
9548188,百合缘花艺·七夕鲜花,花生活,红色预警,1,29,0,0.655172414,0,0.482758621,7,2,2,20.3,12,,,69
7207843,花生活鲜花（花殿鲜花店）,花生活,红色预警,3,13,0.4,0.461538462,0.2,0.153846154,4,2,2,9.1,5,,,74
9776746,花好月缘,花生活,红色预警,5,14,0,0.142857143,0,0.285714286,2,2,2,9.8,6,,,83
8116641,群磊花艺,花生活,红色预警,3,33,0,0.787878788,0,0.696969697,10,2,3,23.1,14,,,64
9578994,好日子花艺（七夕情人节，礼物，鲜花）,花生活,红色预警,8,13,0,0.461538462,0,0.153846154,4,2,2,9.1,5,,,86
7207851,花生活鲜花（龙兴花艺）,花生活,0,15,168,0,0.017857143,0,0.017857143,17,4,7,117.6,71,,,94
7634499,花生活鲜花（鲜花绿植）,花生活,红色预警,6,83,0,0.168674699,0,0.156626506,14,3,4,58.1,35,,,79
9022891,小芳鲜花,花生活,0,5,13,0,0,0,0,4,2,2,9.1,5,,,82
7349052,花生活鲜花（赢聚花行）,花生活,红色预警,0,7,0,0.571428571,0,0.714285714,3,2,2,4.9,3,,,65
