,Unnamed: 0,门店Id,门店名称,时间,城市,充值金额,补贴金额,合计金额,订单金额,门店Id1
0,0,66237179,锦尚鲜花(雅韵鲜花店),10,长治,200,50,250,4262.0,34
1,1,9026049,花语鲜花,10,资阳,800,200,1000,11779.0,78
2,2,652302390,邂逅花坊鲜花(一花一匠),10,资阳,600,150,750,2132.99,23
3,3,27261537,玫瑰鲜花香(四季馨鲜花裕华东路店),10,保定,200,50,250,535.0,7
4,4,770992480,邂逅花坊鲜花（花海花艺）,10,杭州,1200,300,1500,7601.0,55
5,5,127544279,邂逅花坊鲜花店·婷雅花坊,10,马鞍山,600,150,750,11702.0,118
6,6,887542976,邂逅花坊鲜花（友馨花坊）,10,上海,400,100,500,3206.0,35
7,7,110752458,邂逅花坊(逍遥花店),10,重庆,400,100,500,2593.0,42
8,8,110655152,佳佳花艺,10,重庆,200,50,250,1907.0,19
9,9,67764314,心语花苑,10,镇江,200,50,250,403.0,5
