,日期,城市,门店名称,曝光人数,曝光人数环比,访问人数,访问人数环比,曝光访问转化率,曝光访问转化率环比,意向转化人数,意向转化人数环比,意向转化率,意向转化率环比,Unnamed: 0,城市等级
0,Sep-20,万宁,邂逅花坊鲜花(雅景花坊),989,-42%,266,-32%,26.90%,17%,16,-45%,6.02%,-19%,327,0
1,Sep-20,上海,邂逅花坊鲜花(友馨花坊),800,677%,189,456%,23.63%,-28%,28,460%,14.81%,1%,0,S
2,Sep-20,上海,邂逅花坊鲜花(欣雨花店),2066,-23%,170,-38%,8.23%,-20%,14,-42%,8.24%,-5%,0,S
3,Sep-20,上海,邂逅花坊鲜花(漪花园店),778,-51%,69,-58%,8.87%,-15%,1,-75%,1.45%,-40%,0,S
4,Sep-20,上海,邂逅花坊鲜花(豆豆花卉),2473,-30%,201,-48%,8.13%,-26%,7,-63%,3.48%,-29%,0,S
5,Sep-20,东莞,花好月圆花艺,1488,-37%,151,-36%,10.15%,1%,8,-33%,5.30%,5%,17,B1
6,Sep-20,佳木斯,邂逅花坊鲜花(喜来登花卉礼品),452,110%,54,391%,11.95%,133%,7,250%,12.96%,-29%,220,0
7,Sep-20,保定,玫瑰鲜花香(四季馨鲜花裕华东路店),1727,45%,145,持平,8.40%,-31%,7,40%,4.83%,40%,74,C2
8,Sep-20,六安,邂逅花坊鲜花(东方婚庆花艺),318,-95%,44,-74%,13.84%,391%,4,-20%,9.09%,212%,112,D2
9,Sep-20,北京,邂逅花坊鲜花(情意无限鲜花店),569,-7%,49,-20%,8.61%,-14%,0,--,0.00%,--,1,S
10,Sep-20,北京,妙语花香鲜花店,363,-4%,48,-29%,13.22%,-27%,4,33%,8.33%,89%,1,S
11,Sep-20,北京,邂逅花坊鲜花(雪莲花艺),1204,-86%,164,-63%,13.62%,155%,10,-79%,6.10%,-43%,1,S
12,Sep-20,北京,邂逅花坊鲜花(龙门婚庆),178,-55%,4,-73%,2.25%,-41%,0,--,0.00%,--,1,S
13,Sep-20,北京,邂逅花坊鲜花(雨彤花店),668,-5%,11,-56%,1.65%,-54%,0,--,0.00%,--,1,S
14,Sep-20,北京,邂逅花坊鲜花(艾诺鲜花),753,-69%,47,-74%,6.24%,-18%,0,-100%,0.00%,-100%,1,S
15,Sep-20,北京,邂逅花坊鲜花(情之舟鲜花婚庆),725,-23%,21,-67%,2.90%,-57%,0,--,0.00%,--,1,S
16,Sep-20,南京,邂逅花坊鲜花(田园花坊店),866,-18%,111,-31%,12.82%,-16%,7,-59%,6.31%,-40%,8,A
17,Sep-20,南充,邂逅花坊鲜花(原色店),711,7%,45,45%,6.33%,36%,2,-50%,4.44%,-66%,120,D2
18,Sep-20,厦门,邂逅花坊鲜花(御花源),1357,-58%,242,-43%,17.83%,36%,22,-27%,9.09%,29%,16,B1
19,Sep-20,厦门,邂逅花坊鲜花(蝶恋花艺),274,322%,34,325%,12.41%,1%,6,--,17.65%,--,16,B1
20,Sep-20,吉安,邂逅花坊鲜花(朝花夕拾),947,-78%,62,-59%,6.55%,88%,10,11%,16.13%,171%,173,0
21,Sep-20,吉林,邂逅花坊鲜花(花之缘鲜花),727,-8%,91,20%,12.52%,31%,2,-33%,2.20%,-44%,44,C1
22,Sep-20,呼和浩特,窃窃花语,383,-93%,63,-66%,16.45%,369%,5,-50%,7.94%,48%,53,C1
23,Sep-20,咸阳,邂逅花坊鲜花(贵人花坊店),1537,持平,108,-14%,7.03%,-14%,5,持平,4.63%,16%,105,D1
24,Sep-20,唐山,邂逅花坊鲜花(枫荷鲜花庆典),224,106%,38,31%,16.96%,-36%,0,-100%,0.00%,-100%,55,C1
25,Sep-20,唐山,印象IOO鲜花,3151,-14%,334,-39%,10.60%,-29%,28,-22%,8.38%,29%,55,C1
26,Sep-20,商丘,邂逅花坊鲜花(邻家花艺店),768,-25%,91,-21%,11.85%,6%,2,-67%,2.20%,-58%,115,D2
27,Sep-20,天津,邂逅花坊(永香花店),1602,-18%,327,-17%,20.41%,1%,151,-44%,46.18%,-33%,7,A
28,Sep-20,安阳,艺博花艺,428,-28%,52,41%,12.15%,96%,4,100%,7.69%,42%,90,D1
29,Sep-20,岳阳,邂逅花坊鲜花(九月花舍),1237,-90%,116,-55%,9.38%,336%,7,-46%,6.03%,20%,85,D1
30,Sep-20,平凉,花语鲜花店,721,持平,100,-3%,13.87%,-3%,7,-12%,7.00%,-10%,207,0
31,Sep-20,惠州,邂逅花坊鲜花(花无缺),1290,1%,127,-9%,9.84%,-10%,12,20%,9.45%,32%,47,C1
32,Sep-20,抚州,邂逅花坊鲜花(时尚策划店),1097,-26%,100,-44%,9.12%,-24%,5,-74%,5.00%,-53%,236,0
33,Sep-20,昆明,邂逅花坊(花藝阁店),728,25%,36,-18%,4.95%,-35%,5,--,13.89%,--,39,B2
34,Sep-20,杭州,邂逅花坊鲜花(那时花开),89,-51%,9,200%,10.11%,505%,0,--,0.00%,--,12,A
35,Sep-20,柳州,蜜蜂花堆,476,-1%,19,持平,3.99%,1%,0,--,0.00%,--,67,C2
36,Sep-20,桂林,邂逅花坊鲜花(花草集),235,-94%,44,-73%,18.72%,343%,4,-20%,9.09%,198%,79,C2
37,Sep-20,榆林,邂逅花坊鲜花(花语鲜花),1245,-31%,282,-21%,22.65%,15%,13,30%,4.61%,63%,260,0
38,Sep-20,武威,邂逅花坊鲜花(花沁阁花坊),996,-27%,78,-47%,7.83%,-27%,4,-43%,5.13%,7%,263,0
39,Sep-20,武汉,邂逅花坊鲜花(花样年华店),335,23%,41,52%,12.24%,24%,4,33%,9.76%,-12%,10,A
40,Sep-20,武汉,邂逅花坊鲜花(芳汀花店),468,32%,39,18%,8.33%,-10%,3,50%,7.69%,27%,10,A
41,Sep-20,池州,邂逅花坊鲜花(米蘭花店),988,1%,89,-36%,9.01%,-37%,13,8%,14.61%,70%,255,0
42,Sep-20,泰州,邂逅花坊鲜花(紫晶花坊),430,-6%,78,8%,18.14%,15%,4,持平,5.13%,-8%,101,D1
43,Sep-20,泸州,邂逅花坊鲜花(花语店),220,-76%,41,-71%,18.64%,21%,0,-100%,0.00%,-100%,153,D3
44,Sep-20,济南,邂逅花坊鲜花(如意花店),671,103%,68,79%,10.13%,-12%,8,700%,11.76%,347%,22,B1
45,Sep-20,淮安,邂逅花坊鲜花(百合婚礼鲜花),390,-23%,44,-41%,11.28%,-23%,3,-40%,6.82%,1%,50,C1
46,Sep-20,温州,邂逅花坊鲜花(普罗旺斯婚庆),1178,-51%,105,-72%,8.91%,-43%,9,-74%,8.57%,-8%,21,B1
47,Sep-20,烟台,邂逅花坊鲜花(墨兰鲜花店),2020,-24%,161,-20%,7.97%,4%,14,56%,8.70%,95%,40,C1
48,Sep-20,玉林,三叶草花艺坊,1035,-18%,102,-30%,9.86%,-15%,5,67%,4.90%,139%,202,0
49,Sep-20,白山,邂逅花坊鲜花(青青花行),1088,-27%,150,-36%,13.79%,-13%,17,42%,11.33%,122%,308,0
50,Sep-20,秦皇岛,阳光鲜花店,568,5%,50,11%,8.80%,6%,2,100%,4.00%,80%,62,C2
