开始日期,结束日期,商家ID,商家名称,运营组,省份,城市,是否新增商家,首次上线日期,门店在线状态,（日均）预设营业时长（h）,（日均）在线营业时长（h）,曝光人数,入店人数,下单人数,下单新客人数,入店转化率,下单转化率,推单数,有效订单数,原价交易额,实付交易额,商家补贴金额,商家原因取消订单数,商家拒单数,商家超时未接单数,商家取消不告知用户订单数,缺货导致退款订单数,商家少送错送导致用户退款订单数,商家质量问题导致用户退款订单数,配送原因取消订单数,拣货超时订单数,使用间或完成按钮订单数,平均骑手到店等待时间（min）,平均骑手送货时长（min）,IM会话数,IM回复数,IM回复率,IM1分钟回复数,差评订单数,投诉订单数,平均商家评分,平均商品评分,平均配送评分,平均配送时长（min）,资质类型（仅药品）,资质有效期（仅药品）
20200601,20200630,642989,花生活鲜花（春季花艺）,鲜花组,安徽省,合肥,否,20151223,在线,15.0,14.5,4621,99,6,4,2.14,6.06,6,5,1068.00,487.00,659.00,0,0,0,0,0,0,0,0,0,6,0,0,5,4,80,1,0,0,1.7,1.7,2.0,0.0,,
20200601,20200630,653643,花生活鲜花（雅景花艺）,鲜花组,广东省,东莞,否,20190422,在线,15.0,14.5,5769,103,1,0,1.79,0.97,1,1,178.00,78.00,139.00,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.2,1.2,1.2,0.0,,
20200601,20200630,714142,花生活鲜花（情意浓花店）,鲜花组,浙江省,温州,否,20160129,在线,14.0,13.9,3141,99,10,7,3.15,10.1,11,11,2547.00,1196.00,1765.00,0,0,0,0,0,0,0,0,0,11,0,0,5,4,80,0,0,0,3.5,3.5,1.5,0.0,,
20200601,20200630,772683,花生活鲜花（杏福花店）,鲜花组,福建省,厦门,否,20160329,在线,15.0,14.5,2632,70,2,2,2.66,2.86,2,2,1193.00,743.00,528.00,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0.0,0.0,0.0,0.0,,
20200601,20200630,799254,花生活鲜花（花好月缘鲜花店）,鲜花组,福建省,莆田,否,20160322,在线,15.0,14.5,3139,60,1,1,1.91,1.67,1,1,378.00,206.00,201.00,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0.0,0.0,0.0,0.0,,
20200601,20200630,833749,花生活鲜花（卉轩鲜花礼品店）,鲜花组,宁夏回族自治区,银川,否,20190801,在线,15.0,14.5,2192,35,1,0,1.6,2.86,0,0,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,,
20200601,20200630,1330090,花生活鲜花（唯美花艺）,鲜花组,云南省,大理白族自治州,否,20160816,在线,15.0,14.5,5793,136,1,1,2.35,0.74,1,1,245.00,106.00,178.00,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,,
20200601,20200630,1523142,花生活鲜花（明珠鲜花坊）,鲜花组,青海省,西宁,否,20160921,在线,14.0,14.1,4230,133,5,4,3.14,3.76,5,5,1114.00,462.00,837.00,0,0,0,0,0,0,0,0,0,5,0,0,4,4,100,0,0,0,2.6,2.6,3.0,0.0,,
20200601,20200630,1696175,花生活鲜花（520鲜花园艺）,鲜花组,上海市,上海,否,20161103,在线,15.0,14.5,4839,74,5,3,1.53,6.76,7,7,1570.00,653.90,1189.00,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,1.1,1.1,1.3,0.0,,
20200601,20200630,1937925,花生活鲜花（花心苑花店）,鲜花组,湖北省,荆州,否,20170103,在线,15.0,14.5,5560,62,3,2,1.12,4.84,3,2,618.00,312.00,384.00,0,0,0,0,0,0,0,0,0,2,0,0,2,1,50,0,0,0,0.0,0.0,0.0,0.0,,
20200601,20200630,1971869,花生活鲜花（嘿花哨花艺）,鲜花组,贵州省,遵义,否,20170116,在线,15.0,14.5,2012,51,2,2,2.53,3.92,2,2,533.00,199.00,401.00,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,,
20200601,20200630,2006070,花生活鲜花（伊馨花坊）,鲜花组,上海市,上海,否,20170213,在线,15.0,14.5,4440,107,5,5,2.41,4.67,5,5,1620.00,807.90,1002.00,0,0,0,0,0,0,0,0,1,5,0,2,3,2,66.67,1,0,0,1.4,1.4,1.5,2.0,,
20200601,20200630,2019807,花生活鲜花（爱荷花坊）,鲜花组,福建省,厦门,否,20170214,在线,3.0,3.6,3002,65,1,0,2.17,1.54,1,0,0.00,0.00,0.00,1,1,0,0,0,0,0,0,0,0,0,0,2,1,50,1,0,0,0.0,0.0,0.0,0.0,,
20200601,20200630,2045211,花生活鲜花（阳光花坊）,鲜花组,江西省,南昌,否,20170222,在线,20.0,19.9,7443,147,4,4,1.98,2.72,4,4,776.00,343.00,589.00,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2.2,2.2,3.2,2.0,,
20200601,20200630,2068451,花生活鲜花（花语人生）,鲜花组,福建省,厦门,否,20170224,在线,8.0,7.8,6488,78,2,1,1.2,2.56,2,1,245.00,85.00,199.00,1,1,0,0,0,0,0,0,0,1,0,0,1,1,100,0,0,0,1.3,1.3,1.3,0.0,,
20200601,20200630,2095123,花生活鲜花（遇见花艺馆）,鲜花组,湖南省,郴州,否,20170303,在线,24.0,24.0,16781,1488,184,169,8.87,12.37,192,184,49063.00,23746.00,32368.00,1,0,0,0,1,0,0,0,0,193,0,0,92,77,83.7,33,1,1,4.8,4.8,4.9,0.0,,
20200601,20200630,2174771,花生活鲜花（九零花坊）,鲜花组,上海市,上海,否,20170324,在线,15.0,14.5,4115,131,7,5,3.18,5.34,9,8,2283.00,1015.90,1579.00,0,0,0,0,0,0,0,0,1,9,0,0,8,5,62.5,2,0,0,1.0,1.0,1.0,0.0,,
20200601,20200630,2220100,花生活鲜花（花花世界鲜花）,鲜花组,湖北省,十堰,否,20170327,在线,15.0,14.5,5662,80,2,1,1.41,2.5,1,1,170.00,89.00,115.00,0,0,0,0,0,0,0,0,0,1,0,0,2,2,100,2,0,0,0.7,0.7,1.2,0.0,,
20200601,20200630,2329256,花生活鲜花（七彩坊鲜花店）,鲜花组,福建省,泉州,否,20170526,在线,15.0,14.5,3051,60,0,0,1.97,0,0,0,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,2.5,2.7,0.0,,
20200601,20200630,2402349,花生活鲜花（静静花艺银盛路店）,鲜花组,宁夏回族自治区,银川,否,20170430,在线,15.0,14.5,3250,117,0,0,3.6,0,0,0,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,,
20200601,20200630,2482113,花生活鲜花（玫瑰坊）,鲜花组,江苏省,镇江,否,20170515,在线,0.0,0.0,1992,19,0,0,0.95,0,0,0,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,,
20200601,20200630,2527715,花生活鲜花（情缘鲜花店遵义店）,鲜花组,贵州省,遵义,否,20170519,在线,14.0,14.3,7205,176,13,11,2.44,7.39,13,13,2608.00,1114.00,2001.00,0,0,0,0,0,0,0,0,0,13,0,0,5,3,60,1,0,0,4.4,4.4,4.5,0.0,,
20200601,20200630,2622811,花生活鲜花（品蕊花屋）,鲜花组,四川省,宜宾,否,20170606,在线,15.0,14.5,1520,55,0,0,3.62,0,0,0,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,1,1,100,1,0,0,2.4,2.4,2.6,0.0,,
20200601,20200630,2666240,花生活鲜花（祥和鲜花）,鲜花组,山东省,青岛,否,20170612,在线,14.0,14.3,4119,96,2,1,2.33,2.08,2,2,708.00,327.00,459.00,0,0,0,0,0,0,0,0,1,2,0,1,1,1,100,0,0,0,1.4,1.4,1.5,1.0,,
20200601,20200630,2880558,花生活鲜花（创意花坊）,鲜花组,安徽省,合肥,否,20170712,在线,15.0,14.5,7159,153,11,10,2.14,7.19,13,12,3661.00,2323.00,1720.00,0,0,0,0,0,0,0,0,1,13,0,3,5,5,100,2,0,0,2.1,2.1,2.1,3.0,,
20200601,20200630,2922099,花生活鲜花（小草堂花艺生活馆）,鲜花组,山西省,太原,否,20170721,在线,15.0,14.5,6995,123,7,4,1.76,5.69,10,10,2185.00,929.00,1607.00,0,0,0,0,0,0,0,0,0,10,0,0,2,1,50,0,0,0,2.8,2.8,3.2,0.0,,
20200601,20200630,3018522,花生活鲜花（源达花艺）,鲜花组,湖南省,常德,否,20170814,在线,15.0,14.5,4059,125,6,4,3.08,4.8,6,6,1785.00,911.00,1108.00,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,3.0,3.0,3.2,0.0,,
20200601,20200630,3027069,花生活鲜花（艺都鲜花）,鲜花组,浙江省,宁波,否,20170801,在线,13.0,13.0,3253,74,2,2,2.27,2.7,2,2,632.00,330.00,380.00,0,0,0,0,0,0,0,0,0,2,0,0,1,1,100,0,0,0,0.0,0.0,0.0,0.0,,
20200601,20200630,3072588,花生活鲜花（如意鲜花）,鲜花组,贵州省,遵义,否,20170809,在线,15.0,14.5,4372,72,2,1,1.65,2.78,2,1,321.00,167.00,193.00,0,0,0,0,0,0,0,0,0,2,0,0,1,1,100,1,0,0,1.6,1.6,2.1,0.0,,
