,Unnamed: 0,开始日期,结束日期,商家ID,商家名称,运营组,省份,城市,是否新增商家,首次上线日期,门店在线状态,（日均）预设营业时长（h）,（日均）在线营业时长（h）,曝光人数,入店人数,下单人数,下单新客人数,入店转化率,下单转化率,推单数,有效订单数,原价交易额,实付交易额,商家补贴金额,商家原因取消订单数,商家拒单数,商家超时未接单数,商家取消不告知用户订单数,缺货导致退款订单数,商家少送错送导致用户退款订单数,商家质量问题导致用户退款订单数,配送原因取消订单数,拣货超时订单数,使用间或完成按钮订单数,平均骑手到店等待时间（min）,平均骑手送货时长（min）,IM会话数,IM回复数,IM回复率,IM1分钟回复数,差评订单数,投诉订单数,平均商家评分,平均商品评分,平均配送评分,平均配送时长（min）,资质类型（仅药品）,资质有效期（仅药品）,cluster,比率
11,11,20200101,20200131,1696175,花生活鲜花（520鲜花园艺）,鲜花组,上海市,上海,否,20161103,在线,16.0,16.4,13635,144,1,1,1.06,0.69,2,1,470.0,175.0,334.0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0.0,0,0,0,0.0,0.0,0.0,0.0,,,1,831.4024390243903
12,12,20200101,20200131,1937925,花生活鲜花（花心苑花店）,鲜花组,湖北省,荆州,否,20170103,在线,22.0,22.2,19427,164,1,1,0.84,0.61,1,1,128.0,105.0,62.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,,,1,875.0900900900901
19,20,20200101,20200131,2220100,花生活鲜花（花花世界鲜花）,鲜花组,湖北省,十堰,否,20170327,在线,24.0,24.0,19872,177,1,0,0.89,0.56,1,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,100.0,1,0,0,0.0,0.0,0.0,0.0,,,1,828.0
23,24,20200101,20200131,2527715,花生活鲜花（情缘鲜花店遵义店）,鲜花组,贵州省,遵义,否,20170519,在线,24.0,24.0,18625,79,0,0,0.42,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,100.0,0,0,0,0.0,0.0,0.0,0.0,,,1,776.0416666666666
24,25,20200101,20200131,2622811,花生活鲜花（品蕊花屋）,鲜花组,四川省,宜宾,否,20170606,在线,22.0,22.7,12939,191,8,2,1.48,4.19,6,4,1288.0,516.0,928.0,0,0,0,0,0,0,0,0,0,5,0,0,1,1,100.0,1,0,0,0.0,0.0,0.0,0.0,,,0,570.0
25,26,20200101,20200131,2666240,花生活鲜花（祥和鲜花）,鲜花组,山东省,青岛,否,20170612,在线,24.0,24.0,15275,192,3,2,1.26,1.56,3,3,2940.0,243.09,2774.91,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,,,1,636.4583333333334
29,30,20200101,20200131,3018522,花生活鲜花（源达花艺）,鲜花组,湖南省,常德,否,20170814,在线,22.0,22.8,21034,209,3,2,0.99,1.44,3,2,449.0,194.0,333.0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,100.0,0,0,0,0.0,0.0,0.0,0.0,,,1,922.5438596491227
31,32,20200101,20200131,3072588,花生活鲜花（如意鲜花）,鲜花组,贵州省,遵义,否,20170809,在线,21.0,21.1,15814,169,7,4,1.07,4.14,8,4,1153.0,640.0,669.0,1,0,1,0,0,0,0,0,0,6,0,0,6,5,83.33,4,0,0,0.0,0.0,0.0,0.0,,,1,749.4786729857819
42,43,20200101,20200131,3985407,花生活鲜花（柔兰花艺）,鲜花组,福建省,莆田,否,20171207,在线,21.0,20.8,19671,586,18,17,2.98,3.07,18,18,5016.0,2365.0,3250.0,0,0,0,0,0,0,0,0,0,19,0,0,13,10,76.92,2,0,0,3.5,3.5,3.5,0.0,,,1,945.7211538461538
43,44,20200101,20200131,3994932,花生活鲜花（雅心花艺）,鲜花组,湖南省,长沙,否,20171206,在线,16.0,16.1,13840,157,8,7,1.13,5.1,9,9,4873.02,1099.01,4124.91,0,0,0,0,0,0,0,0,0,9,0,0,2,2,100.0,0,0,0,1.6,1.6,1.6,0.0,,,1,859.6273291925465
