开始日期,商家ID,商家名称,省份,城市,首次上线日期,当地花店数量,城市等级,花店在城市位置位置,覆盖中心程度百分比,配送方式,曝光人数,入店人数,下单人数,下单新客人数,下单转化率,推单数,有效订单数,原价交易额,实付交易额,商家补贴金额,商家原因取消订单数,商家拒单数,cluster,day,,,,,,,,,,,,,,,,,,,,,,
20200101,7934075,花生活鲜花（红玫瑰鲜花婚庆）,陕西省,榆林,2019/12/10,18,1,中心,1.00 ,自配,24951,244,8,3,3.28,8,3,713,446,384,3,3,1,206,,,,,,,,,,,,,,,,,,,,,,
20200101,7994671,花生活鲜花（爱花坊鲜花店）,浙江省,温州,2019/12/8,16,1,边镇,1.00 ,自配,16232,195,7,5,3.59,6,5,1014,536,673,0,0,1,208,,,,,,,,,,,,,,,,,,,,,,
20200101,7994673,花生活鲜花（禾木鲜花店）,天津市,天津,2019/12/5,23,1,城郊,1.00 ,美团跑腿 商家自配,15243,220,4,3,1.82,5,4,221,121,139,1,0,1,211,,,,,,,,,,,,,,,,,,,,,,
20200101,8068587,花生活鲜花（花轩子鲜花店）,贵州省,毕节,2019/12/5,18,0,中心,1.00 ,自配送,22105,441,8,6,1.81,9,6,2541,1178,1597,1,1,1,211,,,,,,,,,,,,,,,,,,,,,,
20200101,8070349,花生活鲜花（花瓣雨鲜花总汇）,湖北省,仙桃,2019/11/26,17,0,中心,1.00 ,自配送,14595,117,0,0,0,0,0,0,0,0,0,0,1,220,,,,,,,,,,,,,,,,,,,,,,
20200101,8094433,花生活鲜花（清湘花坊）,新疆维吾尔自治区,乌鲁木齐,2019/12/4,20,1,城郊,0.25 ,自配送,23357,591,23,14,3.89,22,15,3676,2218,2038,6,6,1,212,,,,,,,,,,,,,,,,,,,,,,
20200101,8250903,花生活鲜花（花之韵鲜花店）,河南省,新乡,2019/12/5,19,0,中心,1.00 ,自配送,23253,891,17,14,1.91,16,14,3751,2062,2196,1,0,1,211,,,,,,,,,,,,,,,,,,,,,,
20200101,8278267,花生活鲜花（时光对白花店）,河南省,周口,2019/12/7,17,0,中心,1.00 ,自配送,16743,585,11,6,1.88,11,6,1747,934,1047,1,0,1,209,,,,,,,,,,,,,,,,,,,,,,
20200101,8278326,花生活鲜花（知心花卉）,安徽省,芜湖,2019/12/20,18,0,中心,1.00 ,美团跑腿 商家自配,14597,152,2,1,1.32,1,1,170,65,144,0,0,1,196,,,,,,,,,,,,,,,,,,,,,,
20200101,8284382,花生活鲜花（胡子花艺）,云南省,昆明,2019/12/9,19,1,城郊,0.20 ,美团跑腿 商家自配,20209,667,16,10,2.4,22,20,2410,1133,1589,1,0,1,207,,,,,,,,,,,,,,,,,,,,,,
20200101,8357582,花生活鲜花（遇见BEAUTY）,山东省,菏泽,2019/12/19,18,1,城郊,1.00 ,自配送,21110,536,30,26,5.6,33,31,17126.02,3321.39,14935.63,1,0,1,197,,,,,,,,,,,,,,,,,,,,,,
20200101,8435955,花生活鲜花（花之都鲜花批发行）,江苏省,徐州,2020/1/9,18,1,城郊,1.00 ,自配送,24362,305,1,0,0.33,1,0,0,0,0,0,0,1,176,,,,,,,,,,,,,,,,,,,,,,
20200101,8435957,花生活鲜花（花之恋鲜花店）,河北省,唐山,2020/1/8,18,1,边镇,1.00 ,自配送,15670,523,18,16,3.44,27,25,43668,2275.43,42094.57,1,1,1,177,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200101,8258611,花生活鲜花（旺达鲜花店）,广东省,中山,2019/12/24,15,0,中心,1.00 ,美团跑腿 商家自配,2002,39,0,0,0,0,0,0,0,0,0,0,2,192,,,,,,,,,,,,,,,,,,,,,,
20200101,8357579,花生活鲜花（花心思鲜花店北海店）,广西壮族自治区,北海,2019/12/20,20,0,中心,1,自配送,2061,57,9,7,15.79,10,8,10461,944.28,9703.72,1,0,2,196,,,,,,,,,,,,,,,,,,,,,,
20200101,8435952,花生活鲜花（重庆四季花坊）,重庆市,重庆,2020/1/10,17,1,城郊,0.2,美团跑腿 商家自配,2213,50,11,10,22,14,13,15790,1090.46,14972.54,0,0,2,175,,,,,,,,,,,,,,,,,,,,,,
20200101,8278376,花生活鲜花（冬平花屋）,浙江省,宁波,2019/12/19,20,1,城郊,0.2,自配送,2268,65,0,0,0,0,0,0,0,0,0,0,2,197,,,,,,,,,,,,,,,,,,,,,,
20200101,7934066,花生活鲜花（艾米拉花店）,四川省,泸州,2019/11/26,15,0,中心,1,自配送,2417,21,1,0,4.76,1,0,0,0,0,0,0,2,220,,,,,,,,,,,,,,,,,,,,,,
