订单编号,下单时间,店铺名称,店铺ID,店铺所在城市,订单总金额（元）,退款金额（元）,退款商品,商家服务问题,,,,,,,,
"48858784046540267	","2020-03-08 08:33:47	","花生活鲜花（阿西木花艺工作室）	","4885878	","厦门	","408.00	","408.00	","『秀外慧中』11枝粉色康乃馨+11枝粉色玫瑰抱抱桶38女神节*数量1	","用户催单；	",,,,,,,,
"59623020961429498	","2020-03-08 14:53:51	","花生活鲜花（众里寻Ta花舍）	","5962302	","兰州	","216.00	","0.00	",,"拣货超时；	",,,,,,,,
"60617441880868044	","2020-03-07 17:55:30	","花生活鲜花（花艺空间）	","6061744	","乌鲁木齐	","216.00	","216.00	","『青春永驻』11枝粉色康乃馨花束 三八妇女节女神礼物花束*数量1	","商家拒单；	",,,,,,,,
"50544881649675795	","2020-03-17 16:49:28	","花生活鲜花（华粤鲜花馆）	","5054488	","厦门	","270.00	","270.00	","自取款-----精致花瓣一片*数量45	","商家拒单；	",,,,,,,,
"31284502171519506	","2020-03-26 08:26:28	","花生活鲜花（花之恋鲜花店）	","3128450	","绍兴	","278.00	","0.00	",,"拣货超时；	",,,,,,,,
"60617441079346474	","2020-03-08 02:51:01	","花生活鲜花（花艺空间）	","6061744	","乌鲁木齐	","378.00	","378.00	","『眉目如画』33枝红玫瑰黑纱爆款花束 38妇女节三八女神节*数量1	","商家超时未接单；	",,,,,,,,
"51964780775350659	","2020-03-26 10:41:14	","郁涧鲜花坊	","5196478	","赤峰	","298.00	","0.00	",,"用户催单；	",,,,,,,,
"60617442073735011	","2020-03-08 10:15:01	","花生活鲜花（花艺空间）	","6061744	","乌鲁木齐	","345.00	","0.00	",,"用户催单；	",,,,,,,,
"39949322332143974	","2020-03-30 04:35:06	","花生活鲜花（雅心花艺）	","3994932	","长沙	","788.00	","788.00	","『Black yarn E2款』99枝红玫瑰花儿黑纱花束*数量1	","商家超时未接单；	",,,,,,,,
"31284504020341504	","2020-03-28 13:43:01	","花生活鲜花（花之恋鲜花店）	","3128450	","绍兴	","245.00	","0.00	",,"拣货超时；	",,,,,,,,
"53454251416530108	","2020-03-13 10:36:18	","花生活鲜花（花稼之约鲜花）	","5345425	","沈阳	","245.00	","0.00	",,"拣货超时；	",,,,,,,,
"60617442405081402	","2020-03-08 11:33:32	","花生活鲜花（花艺空间）	","6061744	","乌鲁木齐	","316.00	","0.00	",,"用户催单；	",,,,,,,,
"43049463730691636	","2020-03-21 10:33:55	","花生活鲜花（城市花坊）	","4304946	","泸州	","245.00	","0.00	",,"用户催单；	",,,,,,,,
"55823153601357685	","2020-03-07 12:47:30	","花生活鲜花（花香漫进）	","5582315	","成都	","320.00	","0.00	",,"拣货超时；	",,,,,,,,
"63951632073735011	","2020-03-08 09:00:27	","花生活鲜花（花海）	","6395163	","杭州	","370.00	","370.00	","『觅爱追欢』19枝粉玫瑰搭配尤加利红豆花束情人节送女友鲜花店*数量1	","缺货导致退款；	",,,,,,,,
"31654681649675795	","2020-03-17 06:25:09	","花生活鲜花（甄阿奇花艺）	","3165468	","营口	","198.00	","198.00	","『博学多识』19朵康乃馨+5朵百合花束 教师节礼物 送老师*数量1	","商家超时未接单；	",,,,,,,,
"43633893834452645	","2020-03-06 08:51:52	","花生活鲜花（意达鲜花店）	","4363389	","唐山	","208.00	","208.00	","『皓月当空』11枝红玫瑰搭配满天星礼盒38妇女节爆款送女友*数量1	","商家拒单；	",,,,,,,,
"63951633354980958	","2020-03-08 13:30:34	","花生活鲜花（花海）	","6395163	","杭州	","208.00	","0.00	",,"拣货超时；	",,,,,,,,
"55823154046540267	","2020-03-08 09:16:04	","花生活鲜花（花香漫进）	","5582315	","成都	","378.00	","0.00	",,"拣货超时；	",,,,,,,,
"43633893278305652	","2020-03-08 12:46:46	","花生活鲜花（意达鲜花店）	","4363389	","唐山	","370.00	","0.00	",,"用户催单；	",,,,,,,,
"63951630535230793	","2020-03-08 13:41:21	","花生活鲜花（花海）	","6395163	","杭州	","256.00	","0.00	",,"拣货超时；	",,,,,,,,
"55823151079346474	","2020-03-08 09:31:45	","花生活鲜花（花香漫进）	","5582315	","成都	","236.00	","0.00	",,"拣货超时；	",,,,,,,,
"34680330751171285	","2020-03-06 14:44:07	","花生活鲜花（家美园艺）	","3468033	","上海	","208.00	","0.00	",,"用户催单；	",,,,,,,,
"43633893730691636	","2020-03-21 18:28:49	","花生活鲜花（意达鲜花店）	","4363389	","唐山	","245.00	","0.00	",,"用户催单；	",,,,,,,,
"63951631448383516	","2020-03-08 15:56:01	","花生活鲜花（花海）	","6395163	","杭州	","256.00	","0.00	",,"拣货超时；	",,,,,,,,
"55823152073735011	","2020-03-08 09:36:05	","花生活鲜花（花香漫进）	","5582315	","成都	","320.00	","0.00	",,"拣货超时；	",,,,,,,,
"43897481079346474	","2020-03-08 10:24:30	","花生活鲜花（玫瑰花店2店）	","4389748	","东莞	","316.00	","0.00	",,"拣货超时；	",,,,,,,,
