,订单编号,下单时间,店铺名称,店铺ID,店铺所在城市,订单总金额（元）,退款金额（元）,退款商品,商家服务问题
2,60617441880868044,2020-03-07 17:55:30	,花生活鲜花（花艺空间）	,6061744,乌鲁木齐	,216.0,216.0,『青春永驻』11枝粉色康乃馨花束 三八妇女节女神礼物花束*数量1	,商家拒单；	
3,50544881649675795,2020-03-17 16:49:28	,花生活鲜花（华粤鲜花馆）	,5054488,厦门	,270.0,270.0,自取款-----精致花瓣一片*数量45	,商家拒单；	
16,43633893834452645,2020-03-06 08:51:52	,花生活鲜花（意达鲜花店）	,4363389,唐山	,208.0,208.0,『皓月当空』11枝红玫瑰搭配满天星礼盒38妇女节爆款送女友*数量1	,商家拒单；	
43,55823152723043024,2020-03-15 02:19:41	,花生活鲜花（花香漫进）	,5582315,成都	,278.0,278.0,『貌美如花』33枝粉色康乃馨搭配桔梗尤加利花束 三八妇女节*数量1	,商家拒单；	
53,58604723601357685,2020-03-07 07:13:26	,花生活鲜花（六月花坊）	,5860472,金华	,649.0,649.0,『共度爱河』33枝粉玫瑰搭配尤加利抱抱桶情人节送女友鲜花店*数量1	,商家拒单；	
56,38821022017194328,2020-03-14 14:57:29	,如意花艺	,3882102,佛山	,316.0,316.0,『春暖花开』11枝香槟玫瑰+3朵向日葵+配草花束 38女神节*数量1	,商家拒单；	
58,58604720385703699,2020-03-07 13:35:02	,花生活鲜花（六月花坊）	,5860472,金华	,276.0,276.0,『知书达理』11枝粉玫瑰搭配尤加利礼盒 38女神节礼物*数量1	,商家拒单；	
70,31284502585659653,2020-03-08 17:19:33	,花生活鲜花（花之恋鲜花店）	,3128450,绍兴	,216.0,216.0,『青春永驻』11枝粉色康乃馨花束 三八妇女节女神礼物花束*数量1	,商家拒单；	
99,16961753601357685,2020-03-07 23:30:34	,花生活鲜花（520鲜花园艺）	,1696175,上海	,276.0,276.0,『青春永驻』11枝粉色康乃馨花束 三八妇女节女神礼物花束*数量1	,商家拒单；	
153,68821640961429498,2020-03-08 22:14:05	,花生活鲜花（天蓉鲜花店）	,6882164,嘉兴	,236.0,236.0,『三八妇女节爆款推荐』11枝粉色康乃馨礼盒 女神节礼物*数量1	,商家拒单；	
