,供应商ID,供应商名,城市名,门店ID,门店名称,总成交额(元),预计收入(元),有效订单,笔单价(元),顾客实付金额(元),顾客实付笔单价(元),总支出(元),商家补贴(元),商家补贴力度,流失订单,流失订单预计损失(元),用户原因流失订单,配送原因流失订单数,商家原因流失订单数,其他原因流失订单数,商品金额,包装费,配送费,开始日,结束日
0,22267202676,花非花科技（原邂逅花坊）,银川,2069357122,静花缘（清和北街店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,20201112,20201211
1,22267202676,花非花科技（原邂逅花坊）,银川,2069427180,静花缘花（清和北街店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,20201112,20201211
2,22267202676,花非花科技（原邂逅花坊）,湛江,501394190,心馨花居（新兴中街店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,20201112,20201211
3,22267202676,花非花科技（原邂逅花坊）,菏泽,501384488,百合花艺（郓州街道店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,20201112,20201211
4,22267202676,花非花科技（原邂逅花坊）,邯郸,501399140,三街鲜花礼品（矿建路店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,20201112,20201211
5,22267202676,花非花科技（原邂逅花坊）,开封,501396232,邂逅花坊（顺河区雯雯花店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,20201112,20201211
105,22267202676,花非花科技（原邂逅花坊）,蚌埠,304982535,邂逅花坊（伊人花卉光彩大市场店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,20201112,20201211
108,22267202676,花非花科技（原邂逅花坊）,襄阳,2043127359,倾城花艺（汉江北路店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,20201112,20201211
111,22267202676,花非花科技（原邂逅花坊）,亳州,300672440,邂逅花坊（花里花店魏武大道店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,20201112,20201211
113,22267202676,花非花科技（原邂逅花坊）,南充,167744219,邂逅花坊（马驰街店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,20201112,20201211
114,22267202676,花非花科技（原邂逅花坊）,哈尔滨,304942590,邂逅花坊（红太阳鲜花滨州镇店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,20201112,20201211
120,22267202676,花非花科技（原邂逅花坊）,济南,167744320,邂逅花坊（惠雅鲜花店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,20201112,20201211
