,供应商ID,供应商名,城市名,门店ID,门店名称,总成交额(元),预计收入(元),有效订单,笔单价(元),顾客实付金额(元),顾客实付笔单价(元),总支出(元),商家补贴(元),商家补贴力度,流失订单,流失订单预计损失(元),用户原因流失订单,配送原因流失订单数,商家原因流失订单数,其他原因流失订单数,商品金额,包装费,配送费,开始日,结束日
15,22267202676,花非花科技（原邂逅花坊）,马鞍山,170245933,邂逅花坊（婷雅花坊湖西路店）,3193.6,1627.64,61,52.35,1795.5,29.43,1565.96,1385.1,0.43,0,0.0,0,0,0,0,3193.6,0,0.0,20201112,20201211
31,22267202676,花非花科技（原邂逅花坊）,上海,2043473058,邂逅鲜花坊（育才路店）,12466.2,6675.71,59,211.29,7349.0,124.56,5790.49,5052.4,0.41,0,0.0,0,0,0,0,12466.2,0,0.0,20201112,20201211
44,22267202676,花非花科技（原邂逅花坊）,温州,167744293,邂逅花坊（浪漫花兿白石街店）,9530.7,5163.27,56,170.19,5773.2,103.09,4255.43,3688.3,0.39,0,0.0,0,0,0,0,9530.7,0,0.0,20201112,20201211
13,22267202676,花非花科技（原邂逅花坊）,六安,304982554,邂逅花坊（馨馨花艺古城路店）,8101.2,4416.02,45,180.03,4810.7,106.9,3685.18,3194.5,0.39,0,0.0,0,0,0,0,8101.2,0,0.0,20201112,20201211
49,22267202676,花非花科技（原邂逅花坊）,肇庆,2043167125,爱花季（百花园店）,2314.0,1673.05,35,66.11,1809.45,51.7,640.95,455.05,0.2,2,184.2,1,0,1,0,2314.0,0,0.0,20201112,20201211
221,22267202676,花非花科技（原邂逅花坊）,三明,166924702,邂逅花坊(牡丹新村店),5479.0,2649.68,34,161.15,2971.1,87.39,2750.32,2455.9,0.45,1,122.0,1,0,0,0,5479.0,0,0.0,20201112,20201211
6,22267202676,花非花科技（原邂逅花坊）,上海,167987397,邂逅花坊（石化卫清西路店）,6523.8,3345.78,30,217.46,3683.0,122.77,3178.02,2809.8,0.43,0,0.0,0,0,0,0,6523.8,0,0.0,20201112,20201211
267,22267202676,花非花科技（原邂逅花坊）,天津,169732210,邂逅花坊（爱永久鲜花华明家园店）,5086.3,2497.18,30,169.54,2830.75,94.36,2501.12,2225.05,0.44,3,276.0,2,0,1,0,5066.3,0,20.0,20201112,20201211
492,22267202676,花非花科技（原邂逅花坊）,上海,2043147280,友馨花坊（嘉松中路店）,4096.6,2240.26,29,141.26,2450.4,84.5,1856.34,1610.0,0.39,0,0.0,0,0,0,0,4096.6,0,0.0,20201112,20201211
912,22267202676,花非花科技（原邂逅花坊）,丽水,166924779,邂逅花坊（涌泉街店）,4896.0,2869.2,29,168.83,3160.5,108.98,2026.8,1708.0,0.35,8,684.5,7,0,1,0,4896.0,0,0.0,20201112,20201211
907,22267202676,花非花科技（原邂逅花坊）,双鸭山,167744215,邂逅花坊（幸福鲜花坊店）,2498.5,1376.55,28,89.23,1544.0,55.14,1082.95,930.0,0.37,0,0.0,0,0,0,0,2468.5,0,30.0,20201112,20201211
93,22267202676,花非花科技（原邂逅花坊）,合肥,300712711,邂逅花坊（爱的花坊文明南路店）,1094.9,835.11,27,40.55,897.9,33.26,259.79,167.0,0.15,0,0.0,0,0,0,0,1094.9,0,0.0,20201112,20201211
916,22267202676,花非花科技（原邂逅花坊）,厦门,2043473068,花缘轩（后溪镇店）,4000.6,2195.61,27,148.17,2504.1,92.74,1707.89,1466.3,0.37,0,0.0,0,0,0,0,4000.6,0,0.0,20201112,20201211
85,22267202676,花非花科技（原邂逅花坊）,厦门,300732222,邂逅花坊（御花源美溪一街店）,4447.1,2424.89,26,171.04,2649.1,101.89,2022.21,1756.0,0.39,2,251.0,2,0,0,0,4447.1,0,0.0,20201112,20201211
295,22267202676,花非花科技（原邂逅花坊）,上海,335764124,邂逅花坊（莲之韵鲜花批发零售宝杨路店）,3634.6,1821.05,23,158.03,1999.4,86.93,1813.55,1611.2,0.44,0,0.0,0,0,0,0,3634.6,0,0.0,20201112,20201211
88,22267202676,花非花科技（原邂逅花坊）,绥化,170245921,邂逅花坊（红豆鲜花婚庆明水县店）,4293.4,2395.17,22,195.15,2615.8,118.9,1898.23,1632.1,0.38,0,0.0,0,0,0,0,4293.4,0,0.0,20201112,20201211
822,22267202676,花非花科技（原邂逅花坊）,六安,166924985,邂逅花坊（纬三路正阳小区店）,3759.3,1959.42,22,170.88,2103.65,95.62,1799.88,1582.15,0.42,1,85.0,1,0,0,0,3759.3,0,0.0,20201112,20201211
368,22267202676,花非花科技（原邂逅花坊）,九江,2042489216,花点心思（义宁镇店）,3649.0,2077.2,21,173.76,2270.0,108.1,1571.8,1341.0,0.37,0,0.0,0,0,0,0,3649.0,0,0.0,20201112,20201211
379,22267202676,花非花科技（原邂逅花坊）,北京,170245907,邂逅花坊（鲜花婚庆潞苑南大街店）,1823.3,1253.47,21,86.82,1375.3,65.49,569.83,439.0,0.24,0,0.0,0,0,0,0,1823.3,0,0.0,20201112,20201211
92,22267202676,花非花科技（原邂逅花坊）,廊坊,170245946,邂逅花坊（百合花坊建设路店）,3833.1,1990.84,20,191.66,2190.05,109.5,1842.26,1621.05,0.42,0,0.0,0,0,0,0,3833.1,0,0.0,20201112,20201211
39,22267202676,花非花科技（原邂逅花坊）,天津,300682888,邂逅花坊（24小时香谷鲜花生活馆商贸街店,3443.1,1683.94,19,181.22,1848.05,97.27,1759.16,1572.05,0.46,0,0.0,0,0,0,0,3443.1,0,0.0,20201112,20201211
527,22267202676,花非花科技（原邂逅花坊）,温州,166924657,邂逅花坊（惠丰路店）,4303.5,2109.69,19,226.5,2316.0,121.89,2193.81,1967.0,0.46,0,0.0,0,0,0,0,4303.5,0,0.0,20201112,20201211
97,22267202676,花非花科技（原邂逅花坊）,合肥,2036842669,邂逅花坊（花鲜阁肥东县店）,1120.8,686.16,19,58.99,750.4,39.49,434.64,358.4,0.32,1,29.0,1,0,0,0,1120.8,0,0.0,20201112,20201211
235,22267202676,花非花科技（原邂逅花坊）,宁波,336839489,邂逅花坊（婷好花艺兴庄路店）,3370.0,1852.9,19,177.37,2039.5,107.34,1517.1,1320.0,0.39,1,78.0,1,0,0,0,3370.0,0,0.0,20201112,20201211
161,22267202676,花非花科技（原邂逅花坊）,烟台,300682436,邂逅花坊（爱花居晴儿五龙北路店）,1454.8,1042.42,19,76.57,1151.75,60.62,412.38,296.55,0.2,0,0.0,0,0,0,0,1449.8,0,5.0,20201112,20201211
100,22267202676,花非花科技（原邂逅花坊）,苏州,2043157292,一水间（闽江东路店）,1723.8,985.5,19,90.73,1070.8,56.36,738.3,635.0,0.37,0,0.0,0,0,0,0,1718.8,0,5.0,20201112,20201211
266,22267202676,花非花科技（原邂逅花坊）,滁州,304992586,邂逅花坊（沐恩花坊南屏路店）,2558.7,1272.42,18,142.15,1402.3,77.91,1286.28,1144.9,0.45,0,0.0,0,0,0,0,2558.7,0,0.0,20201112,20201211
43,22267202676,花非花科技（原邂逅花坊）,杭州,2036091504,邂逅花坊（蝶香鲜花店良渚街道店）,3768.0,1990.7,18,209.33,2196.0,122.0,1777.3,1560.0,0.41,1,234.0,0,1,0,0,3768.0,0,0.0,20201112,20201211
7,22267202676,花非花科技（原邂逅花坊）,苏州,336752191,邂逅花坊（花语心愿马涧路店）,3199.2,1797.32,18,177.73,1971.6,109.53,1401.88,1206.1,0.38,0,0.0,0,0,0,0,3199.2,0,0.0,20201112,20201211
936,22267202676,花非花科技（原邂逅花坊）,哈尔滨,2043137377,花之海（宏图街店）,3304.0,1747.8,18,183.56,1908.5,106.03,1556.2,1362.0,0.41,0,0.0,0,0,0,0,3294.0,0,10.0,20201112,20201211
690,22267202676,花非花科技（原邂逅花坊）,延安,2043482908,武汉鲜花婚庆（一道街店）,3052.0,1669.5,17,179.53,1843.0,108.41,1382.5,1197.0,0.39,0,0.0,0,0,0,0,3052.0,0,0.0,20201112,20201211
1050,22267202676,花非花科技（原邂逅花坊）,济宁,304912660,邂逅花坊（百合花艺中御桥南路店）,2036.9,1283.31,17,119.82,1401.4,82.44,753.59,611.0,0.3,1,72.0,1,0,0,0,2036.9,0,0.0,20201112,20201211
418,22267202676,花非花科技（原邂逅花坊）,重庆,170246089,邂逅花坊（幸福花艺太乙大道店）,1581.0,1005.3,16,98.81,1106.0,69.13,575.7,464.0,0.29,0,0.0,0,0,0,0,1581.0,0,0.0,20201112,20201211
795,22267202676,花非花科技（原邂逅花坊）,定西,2036842663,邂逅花坊（花语世界友谊南路店）,3180.1,1655.19,16,198.76,1845.3,115.33,1498.91,1315.0,0.41,0,0.0,0,0,0,0,3180.1,0,0.0,20201112,20201211
73,22267202676,花非花科技（原邂逅花坊）,金华,300712712,邂逅花坊（阳光花坊四通东路店）,2496.1,1348.54,16,156.01,1482.85,92.68,1147.56,1004.05,0.4,0,0.0,0,0,0,0,2496.1,0,0.0,20201112,20201211
192,22267202676,花非花科技（原邂逅花坊）,宁波,336809796,邂逅花坊（爱尚花坊骆兴西路店）,3431.0,1684.9,16,214.44,1841.0,115.06,1746.1,1567.0,0.46,1,119.0,1,0,0,0,3431.0,0,0.0,20201112,20201211
1057,22267202676,花非花科技（原邂逅花坊）,德阳,169732207,邂逅花坊（SIHAICOFFEE武昌路店,2778.3,1404.13,16,173.64,1533.15,95.82,1374.17,1218.15,0.44,0,0.0,0,0,0,0,2778.3,0,0.0,20201112,20201211
269,22267202676,花非花科技（原邂逅花坊）,南宁,166924830,邂逅花坊（丰颖花艺明秀东路店）,858.8,554.09,16,53.68,596.9,37.31,304.71,250.9,0.29,0,0.0,0,0,0,0,858.8,0,0.0,20201112,20201211
