,time,商家ID,商家名称,r,f,m,r_score,f_score,m_score,rfm_group
0,20200701,9024275,花韵花艺馆鲜花礼品鲜花店,18,0,0,3,1,1,311
1,20200701,9024278,友新意鲜花坊鲜花礼品鲜花店,18,50,5459.4,3,3,3,333
2,20200701,9043306,花之都创意鲜花馆,18,1,56,3,1,1,311
3,20200701,9043308,时初花艺鲜花礼品鲜花店,4.2,0,0,1,1,1,111
4,20200701,9043310,元寳花店鲜花礼品鲜花店,9,5,410,1,1,2,112
5,20200701,9043313,浪漫主题花艺鲜花礼品鲜花店,24,8,579,3,2,2,322
6,20200701,9043314,茗蔓花艺鲜花礼品鲜花店,18,8,756,3,2,2,322
7,20200701,9043317,花坞鲜花礼品鲜花店,18,21,2043,3,3,3,333
8,20200701,9043320,花企网婚庆鲜花礼品鲜花店,19,1,374,3,1,1,311
9,20200701,9043425,永恒鲜花礼品鲜花店,18,11,759,3,2,2,322
10,20200701,9043994,八度花艺鲜花礼品鲜花店,16,21,2941,3,3,3,333
11,20200701,9043995,情缘婚庆鲜花礼品鲜花店,15.5,20,1887,2,3,3,233
12,20200701,9043996,花间时光鲜花礼品鲜花店,18,8,606,3,2,2,322
13,20200701,9127995,柔怡鲜花鲜花礼品鲜花店,11,23,1878,1,3,3,133
14,20200701,9132125,等你花舍鲜花礼品鲜花店,14.3,1,0,2,1,1,211
15,20200701,9221181,花鲜阁鲜花礼品鲜花店,12,11,740,1,2,2,122
16,20200701,9221238,南园鲜花坊鲜花礼品鲜花店,13.9,17,1711,1,3,3,133
17,20200701,9221239,花仙子,5.1,2,0,1,1,1,111
18,20200701,9221240,印象花坊鲜花礼品鲜花店,16.6,11,885,3,2,2,322
19,20200701,9223872,天天花坊鲜花礼品鲜花店,12.9,66,6036.2,1,3,3,133
20,20200701,9228865,花知语婚典鲜花礼品鲜花店,13,12,960,1,3,3,133
21,20200701,9230196,镜花缘花店鲜花礼品鲜花店,17,0,0,3,1,1,311
22,20200701,9257821,姐妹鲜花店鲜花礼品,12,5,673,1,1,2,112
23,20200701,9257829,1°花艺礼品鲜花礼品鲜花店,12,9,946,1,2,2,122
24,20200701,9263605,都市花乡鲜花礼品鲜花店,13.5,9,918,1,2,2,122
25,20200701,9263832,花语鲜花坊鲜花礼品鲜花店,16,9,685,3,2,2,322
26,20200701,9263833,馨露鲜花礼品鲜花店,12,4,266,1,1,1,111
27,20200701,9266336,珍馨花店鲜花礼品鲜花店,14,4,339,2,1,1,211
28,20200701,9266337,群芳鲜花礼品鲜花店,15,62,6927,2,3,3,233
29,20200701,9266338,流星花園鲜花礼品鲜花店,13,10,820,1,2,2,122
30,20200701,9268522,7号花舍鲜花礼品鲜花店,23.9,1,64,3,1,1,311
31,20200701,9277061,大拇指婚庆鲜花礼品鲜花,13,31,2390,1,3,3,133
32,20200701,9280257,百花庄花卉鲜花礼品鲜花,13,11,951,1,2,2,122
33,20200701,9284178,金缘鲜花礼品鲜花,15,0,0,2,1,1,211
34,20200701,9288256,长华花店鲜花礼品鲜花店,12.5,0,0,1,1,1,111
35,20200701,9288258,花开相爱鲜花礼品鲜花店,16.5,42,3754,3,3,3,333
36,20200701,9288323,凤鲜婚庆花艺鲜花礼品鲜花店,14,3,192.6,2,1,1,211
37,20200701,9288324,鑫鑫花艺鲜花礼品鲜花店,14.6,8,642,2,2,2,222
38,20200701,9288325,喜洋洋鲜花礼品鲜花店,14.5,2,108,2,1,1,211
39,20200701,9288367,英皇花店鲜花礼品鲜花,12,0,0,1,1,1,111
40,20200701,9291522,婷旭花坊鲜花礼品鲜花,15.6,15,1179.8,2,3,3,233
41,20200701,9295282,蓝梦鲜花礼品鲜花店,15,1,74,2,1,1,211
42,20200701,9295284,麦萌花艺生活馆鲜花礼品鲜花店,16.8,9,834,3,2,2,322
43,20200701,9295286,婉苑鲜花婚庆礼品鲜花店,18,38,3450,3,3,3,333
44,20200701,9295325,美家鲜花礼品鲜花店,13,34,3270.8,1,3,3,133
45,20200701,9295388,田美花艺鲜花店,11,2,148,1,1,1,111
46,20200701,9297947,丰颖花艺鲜花礼品鲜花店,13.5,7,986.6,1,2,3,123
47,20200701,9314599,木子花开鲜花礼品鲜花店,15,18,1312,2,3,3,233
48,20200701,9314603,鲜花婚庆鲜花礼品鲜花店,12,2,134,1,1,1,111
49,20200701,9314605,馨悦花店鲜花礼品鲜花店,15,0,0,2,1,1,211
50,20200701,9314606,茂业花店鲜花礼品鲜花店,14,21,1726,2,3,3,233
51,20200701,9314607,如意花艺鲜花礼品鲜花店,13.5,2,138,1,1,1,111
52,20200701,9314608,欣然鲜花礼品鲜花店,24,2,104,3,1,1,311
53,20200701,9314609,Mr.Liu's花店,13,6,577,1,2,2,122
54,20200701,9319351,花间集鲜花礼品鲜花店,16,11,854,3,2,2,322
55,20200701,9319651,爱尚花坊鲜花礼品鲜花店,14.5,12,1454,2,3,3,233
56,20200701,9320858,芳香缘鲜花批发,14.5,1,284,2,1,1,211
57,20200701,9322628,博文花艺行鲜花礼品鲜花店,13,4,296,1,1,1,111
58,20200701,9322697,锦上添花鲜花礼品鲜花店,12,28,2610.6,1,3,3,133
59,20200701,9323842,花无缺鲜花礼品鲜花店,12,23,2382,1,3,3,133
60,20200701,9338707,月月花屋鲜花礼品鲜花店,11,1,154,1,1,1,111
61,20200701,9338708,恒海鲜花礼品鲜花店,13,9,539,1,2,2,122
62,20200701,9338709,开封市玺花诚园艺有限公司鲜花礼品鲜花店,18,0,0,3,1,1,311
63,20200701,9338771,玫瑰之约（艾尚花语鲜花店）,12.5,30,2440.6,1,3,3,133
64,20200701,9338794,喜乐四季花卉鲜花礼品鲜花店,15.8,2,122,3,1,1,311
65,20200701,9339174,清香园鲜花礼品鲜花店,14,6,401,2,2,2,222
66,20200701,9339176,绿之园花卉鲜花礼品鲜花店,13,25,2086,1,3,3,133
67,20200701,9339177,阳光鲜花礼品鲜花店,9.5,6,424,1,2,2,122
68,20200701,9342535,晶晶花艺鲜花礼品鲜花店,13,3,212,1,1,1,111
69,20200701,9344175,爱神鲜花批发礼品鲜花店,11,6,299.6,1,2,1,121
70,20200701,9345839,花戒鲜花礼品鲜花店,12,7,492,1,2,2,122
71,20200701,9349868,花世界迷尔鲜花店鲜花礼品,23.9,13,967,3,3,3,333
72,20200701,9350030,北植花屿鲜花礼品鲜花店,14.5,0,0,2,1,1,211
73,20200701,9352076,花仙子（鲜花店）,18.1,17,1872,3,3,3,333
74,20200701,9352424,尚品花坊（艾尚花语鲜花店）,13.2,13,952.8,1,3,3,133
75,20200701,9355273,花香时刻鲜花店鲜花礼品,16.5,12,1153,3,3,3,333
76,20200701,9360432,大自然花艺（艾尚花语鲜花店）,12,0,0,1,1,1,111
77,20200701,9364821,郁花缘鲜花礼品鲜花店,12.1,36,2586,1,3,3,133
78,20200701,9364823,花颜花艺生活馆鲜花礼品鲜花店,12,1,64,1,1,1,111
79,20200701,9366091,海霞花艺鲜花礼品鲜花店,16,29,2573,3,3,3,333
80,20200701,9366382,集美花艺鲜花礼品鲜花店,15,0,0,2,1,1,211
