,time,商家ID,商家名称,r,f,m,r_score,f_score,m_score,rfm_group
0,20200901,227035,邂逅花坊鲜花（香梅花坊）,15.1,8,1116.0,2,2,2,222
1,20200901,255297,邂逅花坊鲜花（蔷薇花艺）,15.0,10,931.0,2,2,2,222
2,20200901,345331,邂逅花坊鲜花（温馨花坊）,17.6,31,3540.8,3,3,3,333
3,20200901,403721,邂逅花坊鲜花（创懿花艺婚庆）,14.6,12,1292.49,2,2,2,222
4,20200901,634577,邂逅花坊鲜花（花韵千谷),13.3,12,1265.0,1,2,2,122
5,20200901,652919,邂逅花坊鲜花（美丽花坊）,15.5,0,0.0,3,1,1,311
6,20200901,666460,邂逅花坊鲜花（小仙女花艺）,15.4,11,1239.8,3,2,2,322
7,20200901,722212,邂逅花坊鲜花（蝶恋花花坊）,14.3,3,158.0,1,1,1,111
8,20200901,724418,邂逅花坊鲜花（紫罗兰鲜花坊）,14.0,11,1304.69,1,2,2,122
9,20200901,767243,邂逅花坊鲜花（花卉轩）,15.1,11,849.7,2,2,2,222
10,20200901,809558,邂逅花坊鲜花（新生命花坊）,4.9,1,139.0,1,1,1,111
11,20200901,829130,婷婷花店,13.9,13,1386.9,1,2,2,122
12,20200901,832314,邂逅花坊鲜花（万花丛婚庆鲜花）,12.8,1,136.0,1,1,1,111
13,20200901,911233,邂逅花坊鲜花（花园花坊）,13.3,7,1089.0,1,1,2,112
14,20200901,914805,邂逅花坊鲜花（花汐小铺）,14.9,29,4239.29,2,3,3,233
15,20200901,978388,邂逅花坊鲜花（铂尔曼花都）,14.0,2,0.0,1,1,1,111
16,20200901,1024781,安宁花海花艺园艺店(邂逅花坊),14.1,23,2933.8,1,3,3,133
17,20200901,1025932,邂逅花坊鲜花（景都鲜花婚庆）,14.8,2,103.0,2,1,1,211
18,20200901,1056309,邂逅花坊鲜花（花都红谷滩店）,15.1,6,1064.4,2,1,2,212
19,20200901,1065807,邂逅花坊鲜花（如意花店）,15.2,15,1318.6,2,2,2,222
20,20200901,1115599,邂逅花坊鲜花（玫瑰之约）,12.0,30,3400.16,1,3,3,133
21,20200901,1306021,邂逅花坊鲜花（花暖人间）,10.7,3,73.0,1,1,1,111
22,20200901,1317559,花草集鲜花(生日花，表白花，鲜花店),17.6,46,6169.8,3,3,3,333
23,20200901,1357365,邂逅花坊鲜花（莫妮卡花艺）,14.4,8,882.99,1,2,2,122
24,20200901,1410092,邂逅花坊鲜花（四季花屋）,15.5,6,604.0,3,1,1,311
25,20200901,1445291,邂逅花坊鲜花（彩云间花艺）,9.7,14,1246.0,1,2,2,122
26,20200901,1537303,邂逅花坊鲜花（依心花艺精品）,12.8,23,4130.28,1,3,3,133
27,20200901,1682006,邂逅花坊鲜花（江滨婚庆花店）,14.2,10,1098.7,1,2,2,122
28,20200901,1786360,邂逅花坊鲜花（小草鲜花店）,11.4,0,0.0,1,1,1,111
29,20200901,1806980,邂逅花坊鲜花（欢乐颂）,0.9,0,0.0,1,1,1,111
30,20200901,1959140,邂逅花坊鲜花（喵姐花艺),12.6,4,441.7,1,1,1,111
31,20200901,1993353,邂逅花坊鲜花（简单爱花艺）,15.4,22,2773.79,3,3,3,333
32,20200901,1996730,邂逅花坊鲜花（花落谁家）,15.5,4,325.0,3,1,1,311
33,20200901,2002283,邂逅花坊鲜花（鱼花宫鲜花）,15.3,1,0.0,2,1,1,211
34,20200901,2148336,邂逅花坊鲜花（唯尚鲜花）,15.3,11,1382.0,2,2,2,222
35,20200901,2149848,邂逅花坊鲜花（花样年华河西店）,15.5,57,6243.57,3,3,3,333
36,20200901,2290168,邂逅花坊鲜花（仙紫鲜花店）,15.5,1,100.0,3,1,1,311
37,20200901,2372726,邂逅花坊鲜花（红丽花店）,14.6,21,3816.1,2,3,3,233
38,20200901,2387910,邂逅花坊鲜花（初暖花艺）,14.4,1,96.0,1,1,1,111
39,20200901,2396768,千百渡花艺(生日花，表白花，鲜花),14.4,88,12364.07,1,3,3,133
40,20200901,2414605,邂逅花坊鲜花（雯公主花卉）,13.7,19,2830.8,1,3,3,133
41,20200901,2499036,邂逅花坊鲜花（永顺鲜花店）,14.7,36,4353.69,2,3,3,233
42,20200901,2526841,邂逅花坊鲜花（百合花批发部）,12.7,4,223.0,1,1,1,111
43,20200901,2531868,邂逅花坊鲜花（晨辉鲜花店）,14.6,14,1702.09,2,2,2,222
44,20200901,2568882,邂逅花坊鲜花（小雨花艺）,12.5,10,903.0,1,2,2,122
45,20200901,2613397,邂逅花坊鲜花（莞香花坊）,17.5,10,1098.9,3,2,2,322
46,20200901,2633533,邂逅花坊鲜花（兴兴花艺）,15.3,4,403.0,2,1,1,211
47,20200901,2681117,邂逅花坊鲜花（盛达升华鲜花）,13.5,3,550.8,1,1,1,111
48,20200901,2692280,邂逅花坊鲜花（饰情花艺）,13.1,30,3330.49,1,3,3,133
49,20200901,2721901,遇见花开(生日花，表白花，鲜花),15.5,6,984.9,3,1,2,312
50,20200901,2758504,邂逅花坊鲜花（浪漫满屋）,16.8,31,3975.7,3,3,3,333
51,20200901,2758931,邂逅花坊鲜花（紫晶花坊）,15.3,13,1511.1,2,2,2,222
52,20200901,2782682,邂逅花坊鲜花（花好约缘鲜花店）,14.3,14,1913.0,1,2,2,122
53,20200901,2903944,邂逅花坊鲜花（遇见花坊）,15.1,29,3633.99,2,3,3,233
54,20200901,2951300,金芙蓉果品(生日花，表白花，鲜花),14.6,2,225.0,2,1,1,211
55,20200901,2954975,邂逅花坊鲜花（鲜花花店）,0.0,0,0.0,1,1,1,111
56,20200901,2992347,邂逅花坊鲜花（花之花行）,15.5,0,0.0,3,1,1,311
57,20200901,3032292,邂逅花坊鲜花（欣雨花店）,16.9,152,20286.07,3,3,3,333
58,20200901,3069058,邂逅花坊鲜花（金卉花房),15.4,2,131.0,3,1,1,311
59,20200901,3074868,邂逅花坊鲜花（花香恋花艺坊）,15.4,1,0.0,3,1,1,311
60,20200901,3100497,邂逅花坊鲜花（霞慕尼花镇鲜花店）,17.9,3,350.0,3,1,1,311
61,20200901,3114586,邂逅花坊鲜花（木槿花艺坊）,12.1,12,1459.5,1,2,2,122
62,20200901,3115396,邂逅花坊鲜花（梦馨花艺）,15.4,12,1576.49,3,2,2,322
63,20200901,3134500,邂逅花坊鲜花（源野花店）,14.2,31,3601.29,1,3,3,133
64,20200901,3140988,心意花坊(生日花，表白花，鲜花),20.2,81,11700.4,3,3,3,333
65,20200901,3153483,邂逅花坊鲜花（爱吧花屋）,14.4,6,374.8,1,1,1,111
66,20200901,3174819,邂逅花坊鲜花（永鲜鲜花店）,14.4,11,1553.09,1,2,2,122
67,20200901,3230734,邂逅花坊鲜花（普罗旺斯婚庆）,15.4,27,4783.0,3,3,3,333
68,20200901,3251274,邂逅花坊鲜花（花艺小栈）,15.4,2,224.0,3,1,1,311
69,20200901,3372458,邂逅花坊鲜花（莲之韵）,13.5,12,1947.0,1,2,2,122
70,20200901,3420406,邂逅花坊鲜花（花啦啦）,10.3,2,115.0,1,1,1,111
71,20200901,3423829,邂逅花坊鲜花（花之语）,15.3,9,876.3,2,2,2,222
72,20200901,3453699,芊百卉(生日花，表白花，鲜花),12.4,16,2938.1,1,2,3,123
73,20200901,3522148,馨梦缘鲜花店,14.5,7,1287.0,2,1,2,212
74,20200901,3534673,邂逅花坊鲜花（花海之家）,6.3,0,0.0,1,1,1,111
75,20200901,3566834,邂逅花坊鲜花（红玫瑰花艺）,19.3,33,4348.99,3,3,3,333
76,20200901,3590298,邂逅花坊鲜花（花样年华）,15.5,0,0.0,3,1,1,311
77,20200901,3593644,邂逅花坊鲜花（米朵花艺）,9.7,1,0.0,1,1,1,111
78,20200901,3695585,邂逅花坊鲜花（百合花坊),15.1,33,4971.79,2,3,3,233
79,20200901,3738967,邂逅花坊鲜花（花香园鲜花）,15.3,1,126.0,2,1,1,211
80,20200901,3782706,邂逅花坊鲜花（馨兰花坊）,15.5,1,68.8,3,1,1,311
81,20200901,3825934,邂逅花坊鲜花（花藝阁）,12.2,12,1378.3,1,2,2,122
82,20200901,3859980,邂逅花坊鲜花（仁和美发）,18.1,7,689.7,3,1,1,311
83,20200901,3878986,邂逅花坊鲜花（娜时花开）,14.9,14,2573.2,2,2,3,223
84,20200901,3899843,邂逅花坊鲜花（花时间花店）,15.4,1,88.0,3,1,1,311
85,20200901,3915289,邂逅花坊鲜花（传奇花坊）,14.4,2,598.8,1,1,1,111
86,20200901,4108818,邂逅花坊鲜花（达令花坊）,14.0,24,2570.0,1,3,3,133
