开始日期,结束日期,商家ID,商家名称,运营组,省份,城市,是否新增商家,首次上线日期,门店在线状态,（日均）预设营业时长（h）,（日均）在线营业时长（h）,曝光人数,入店人数,下单人数,下单新客人数,入店转化率,下单转化率,推单数,有效订单数,原价交易额,实付交易额,商家补贴金额,商家原因取消订单数,商家拒单数,商家超时未接单数,商家取消不告知用户订单数,缺货导致退款订单数,商家少送错送导致用户退款订单数,商家质量问题导致用户退款订单数,配送原因取消订单数,拣货超时订单数,使用间或完成按钮订单数,平均骑手到店等待时间（min）,平均骑手送货时长（min）,IM会话数,IM回复数,IM回复率,IM1分钟回复数,差评订单数,投诉订单数,平均商家评分,平均商品评分,平均配送评分,平均配送时长（min）,资质类型（仅药品）,资质有效期（仅药品）
20200824,20200824,9024275,"花韵花艺馆鲜花店(七夕节预定,生日鲜花，表白鲜花)",鲜花组,河南省,郑州,否,20200508,在线,18.0,18.0,184,12,0,0,6.52,0%,0,0,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,,
20200825,20200825,9024275,"花韵花艺馆鲜花店(七夕节预定,生日鲜花，表白鲜花)",鲜花组,河南省,郑州,否,20200508,在线,18.0,17.1,1307,55,4,4,4.21,7.27%,4,4,1146.00,660.00,506.00,0,0,0,0,0,0,0,0,0,4,0,0,3,2,66.67,1,0,0,0.0,0.0,0.0,0.0,,
20200826,20200826,9024275,"花韵花艺馆鲜花店(七夕节预定,生日鲜花，表白鲜花)",鲜花组,河南省,郑州,否,20200508,在线,14.0,14.0,25,3,0,0,12,0%,0,0,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,,
20200824,20200824,9024278,"友新意鲜花坊(七夕节预定,生日鲜花，表白鲜花)",鲜花组,陕西省,西安,否,20200508,在线,18.0,18.0,1531,269,19,18,17.57,7.06%,20,18,5786.00,3119.00,2752.00,0,0,0,0,0,0,0,0,0,19,0,0,18,17,94.44,12,0,0,5.0,5.0,5.0,0.0,,
20200825,20200825,9024278,"友新意鲜花坊(七夕节预定,生日鲜花，表白鲜花)",鲜花组,陕西省,西安,否,20200508,在线,10.0,5.7,1552,284,33,20,18.3,11.62%,31,23,7012.00,4321.00,2798.00,3,0,3,0,0,0,0,0,0,28,0,0,29,25,86.21,5,0,0,4.8,4.8,4.6,0.0,,
20200826,20200826,9024278,"友新意鲜花坊(七夕节预定,生日鲜花，表白鲜花)",鲜花组,陕西省,西安,否,20200508,在线,14.0,13.7,748,36,1,1,4.81,2.78%,1,1,298.00,235.00,68.00,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,4.8,4.8,4.6,0.0,,
20200824,20200824,9043306,"花之都创意鲜花馆(七夕节预定,生日鲜花，表白鲜花)",鲜花组,山东省,潍坊,否,20200508,在线,16.0,15.0,300,31,3,3,10.33,9.68%,3,3,1027.00,432.00,605.00,0,0,0,0,0,0,0,0,0,3,0,0,2,2,100,1,0,0,0.0,0.0,0.0,0.0,,
20200825,20200825,9043306,"花之都创意鲜花馆(七夕节预定,生日鲜花，表白鲜花)",鲜花组,山东省,潍坊,否,20200508,在线,14.0,9.2,1504,119,11,10,7.91,9.24%,11,10,4340.00,2173.99,2206.01,0,0,0,0,0,0,0,0,0,12,0,0,5,5,100,4,0,0,0.0,0.0,0.0,0.0,,
20200826,20200826,9043306,"花之都创意鲜花馆(七夕节预定,生日鲜花，表白鲜花)",鲜花组,山东省,潍坊,否,20200508,在线,3.0,2.9,109,3,0,0,2.75,0%,0,0,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,,
20200824,20200824,9043308,"时初花艺鲜花店(七夕节预定,生日鲜花，表白鲜花)",鲜花组,陕西省,咸阳,否,20200508,在线,18.0,18.0,376,27,2,1,7.18,7.41%,1,1,259.00,160.00,104.00,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,,
