订单编号,下单时间,店铺名称,店铺ID,店铺所在城市,订单总金额（元）,退款金额（元）,退款商品,商家服务问题
"92953251165886577	","2020-08-25 17:46:31	","美家鲜花店(七夕节预定,生日鲜花，表白鲜花)	","9295325	","岳阳	","259.00	","0.00	",,"用户催单；	"
"90433172718691708	","2020-08-25 12:00:09	","花坞鲜花店(七夕节预定,生日鲜花，表白鲜花)	","9043317	","福州	","259.00	","0.00	",,"用户催单；	"
"93520763982058332	","2020-08-25 11:40:32	","花仙子鲜花店(七夕节预定,生日鲜花，表白鲜花)	","9352076	","西安	","329.00	","0.00	",,"用户催单；	"
"92238720408368023	","2020-08-25 08:26:34	","天天花坊鲜花店(七夕节预定,生日鲜花，表白鲜花)	","9223872	","郴州	","259.00	","0.00	",,"用户催单；	"
"92953250678856768	","2020-08-25 18:24:03	","美家鲜花店(七夕节预定,生日鲜花，表白鲜花)	","9295325	","岳阳	","1319.00	","0.00	",,"用户催单；	"
"93520763123430734	","2020-08-25 12:20:34	","花仙子鲜花店(七夕节预定,生日鲜花，表白鲜花)	","9352076	","西安	","259.00	","0.00	",,"用户催单；	"
"90433170890902196	","2020-08-25 13:15:04	","花坞鲜花店(七夕节预定,生日鲜花，表白鲜花)	","9043317	","福州	","269.00	","0.00	",,"用户催单；	"
"92288651223213925	","2020-08-25 13:47:06	","花知语婚典鲜花店(七夕节预定,生日鲜花，表白鲜花)	","9228865	","龙岩	","259.00	","0.00	",,"用户催单；	"
"92979470358768070	","2020-08-25 09:02:45	","丰颖花艺鲜花店(七夕节预定,生日鲜花，表白鲜花)	","9297947	","辽源	","329.00	","0.00	",,"用户催单；	"
"93520762342655417	","2020-08-25 12:30:11	","花仙子鲜花店(七夕节预定,生日鲜花，表白鲜花)	","9352076	","西安	","259.00	","0.00	",,"用户催单；	"
"90433173774986605	","2020-08-25 13:22:18	","花坞鲜花店(七夕节预定,生日鲜花，表白鲜花)	","9043317	","福州	","259.00	","0.00	",,"用户催单；	"
"92288654016847411	","2020-08-25 13:52:21	","花知语婚典鲜花店(七夕节预定,生日鲜花，表白鲜花)	","9228865	","龙岩	","259.00	","0.00	",,"用户催单；	"
"93520763605089781	","2020-08-25 12:57:41	","花仙子鲜花店(七夕节预定,生日鲜花，表白鲜花)	","9352076	","西安	","269.00	","0.00	",,"用户催单；	"
"93146061269807160	","2020-08-24 14:30:57	","茂业花店鲜花店(七夕节预定,生日鲜花，表白鲜花)	","9314606	","湘西土家族苗族自治州	","259.00	","0.00	",,"用户催单；	"
"92288653968253920	","2020-08-25 14:10:33	","花知语婚典鲜花店(七夕节预定,生日鲜花，表白鲜花)	","9228865	","龙岩	","259.00	","0.00	",,"用户催单；	"
"90433172454686031	","2020-08-25 13:32:52	","花坞鲜花店(七夕节预定,生日鲜花，表白鲜花)	","9043317	","福州	","309.00	","0.00	",,"用户催单；	"
"93520763774986605	","2020-08-25 13:08:06	","花仙子鲜花店(七夕节预定,生日鲜花，表白鲜花)	","9352076	","西安	","519.00	","519.00	","【不离不弃】36枝红玫瑰+1只小熊鲜花礼盒*数量1	","用户催单；	"
"93146062386186755	","2020-08-25 09:35:24	","茂业花店鲜花店(七夕节预定,生日鲜花，表白鲜花)	","9314606	","湘西土家族苗族自治州	","259.00	","0.00	",,"用户催单；	"
"92288653774986605	","2020-08-25 14:20:53	","花知语婚典鲜花店(七夕节预定,生日鲜花，表白鲜花)	","9228865	","龙岩	","259.00	","0.00	",,"用户催单；	"
"93524242386186755	","2020-08-25 16:00:31	","尚品花坊（艾尚花语鲜花店）	","9352424	","上饶	","329.00	","0.00	",,"用户催单；	"
"93146061795091754	","2020-08-25 09:59:06	","茂业花店鲜花店(七夕节预定,生日鲜花，表白鲜花)	","9314606	","湘西土家族苗族自治州	","259.00	","0.00	",,"用户催单；	"
"90433172118209784	","2020-08-25 13:39:04	","花坞鲜花店(七夕节预定,生日鲜花，表白鲜花)	","9043317	","福州	","259.00	","0.00	",,"用户催单；	"
"92288651069511785	","2020-08-25 14:21:35	","花知语婚典鲜花店(七夕节预定,生日鲜花，表白鲜花)	","9228865	","龙岩	","259.00	","0.00	",,"用户催单；	"
