开始日期,结束日期,商家ID,商家名称,运营组,省份,城市,是否新增商家,首次上线日期,门店在线状态,（日均）预设营业时长（h）,（日均）在线营业时长（h）,曝光人数,入店人数,下单人数,下单新客人数,入店转化率,下单转化率,推单数,有效订单数,原价交易额,实付交易额,商家补贴金额,商家原因取消订单数,商家拒单数,商家超时未接单数,商家取消不告知用户订单数,缺货导致退款订单数,商家少送错送导致用户退款订单数,商家质量问题导致用户退款订单数,配送原因取消订单数,拣货超时订单数,使用间或完成按钮订单数,平均骑手到店等待时间（min）,平均骑手送货时长（min）,IM会话数,IM回复数,IM回复率,IM1分钟回复数,差评订单数,投诉订单数,平均商家评分,平均商品评分,平均配送评分,平均配送时长（min）,资质类型（仅药品）,资质有效期（仅药品）
20190801,20190831,295680,花生活鲜花（鲜花格格花艺生活馆）,鲜花组,四川省,绵阳,否,20150716,在线,20.0,20.2,5212,117,11,6,2.24,9.4%,11,11,2502.00,1234.00,1407.30,0,0,0,0,0,0,0,0,2,13,0,1,3,3,100,1,0,0,0.0,0.0,0.0,2.0,,
20190801,20190831,642989,花生活鲜花（春季花艺）,鲜花组,安徽省,合肥,否,20151223,在线,18.0,18.8,7676,152,11,6,1.98,7.24%,10,9,2139.00,980.00,1253.50,0,0,0,0,0,0,0,0,0,10,0,0,4,3,75,2,0,0,3.6,3.6,3.7,0.0,,
20190801,20190831,653643,花生活鲜花（雅景花艺）,鲜花组,广东省,东莞,否,20190422,在线,18.0,18.0,7639,245,20,18,3.21,8.16%,20,18,6624.00,2952.00,4030.20,1,0,0,0,1,0,0,0,0,20,0,0,15,8,53.33,3,0,0,0.0,0.0,0.0,0.0,,
20190801,20190831,714142,花生活鲜花（情意浓花店）,鲜花组,浙江省,温州,否,20160129,在线,17.0,17.4,8813,520,54,46,5.9,10.38%,49,46,16811.00,7840.00,9881.40,0,0,0,0,0,0,0,0,13,55,0,0,30,26,86.67,13,1,0,2.7,2.7,3.2,0.0,,
20190801,20190831,772683,花生活鲜花（杏福花店）,鲜花组,福建省,厦门,否,20160329,在线,17.0,17.7,2242,87,3,3,3.88,3.45%,3,3,1016.00,386.00,689.70,0,0,0,0,0,0,0,0,0,3,0,0,2,2,100,0,0,0,0.0,0.0,0.0,0.0,,
20190801,20190831,783170,花生活鲜花（香香花店）,鲜花组,福建省,厦门,否,20160328,在线,17.0,17.4,2602,60,2,2,2.31,3.33%,2,2,3137.00,730.00,2426.90,0,0,0,0,0,0,0,0,0,2,0,0,4,4,100,2,0,0,0.0,0.0,0.0,0.0,,
20190801,20190831,799254,花生活鲜花（花好月缘鲜花店）,鲜花组,福建省,莆田,否,20160322,在线,18.0,18.2,7603,177,8,7,2.33,4.52%,7,7,2580.00,1256.00,1463.30,0,0,0,0,0,0,0,0,0,8,0,0,9,6,66.67,1,1,0,0.0,0.0,0.0,0.0,,
20190801,20190831,833749,花生活鲜花（卉轩鲜花礼品店）,鲜花组,宁夏回族自治区,银川,否,20190801,在线,17.0,17.3,3749,54,0,0,1.44,0%,0,0,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,,
20190801,20190831,1330090,唯美花艺,鲜花组,云南省,大理白族自治州,否,20160816,在线,16.0,15.6,2057,149,7,6,7.24,4.7%,7,7,1048.00,949.10,123.40,0,0,0,0,0,0,0,0,0,7,0,0,3,1,33.33,0,0,0,0.0,0.0,0.0,0.0,,
20190801,20190831,1523142,花生活鲜花（明珠鲜花坊）,鲜花组,青海省,西宁,否,20160921,在线,12.0,12.3,12255,400,30,23,3.26,7.5%,27,24,8573.00,4229.00,4821.60,3,2,0,0,1,0,0,0,0,28,0,0,17,12,70.59,2,0,0,4.6,4.6,4.8,0.0,,
