,日期,订单编号,下单时间,接单时长,店铺名称,店铺ID,店铺所在城市,订单支付类型,订单状态,订单配送状态,是否预订单,订单总金额,订单折扣后金额,平台承担活动金额,商家承担活动金额,商品分类,商品名称,UPC码,商品SKU码,商品销售数量,商品原价销售额,商品实付销售额,商品总补贴金额,商品商家补贴金额,商品平台补贴金额,是否部分退款商品,部分退款商品数量,部分退款商品金额,订单小额付款,配送费,是否活动订单,优惠活动,是否催单,回复状态,商家回复内容,配送时长,打包袋费,订单完成时间,订单取消原因（仅取消订单）,接单时间
28,	20200824-20200826,6429893152492135,2020-08-25 19:16:22	,1秒,花生活鲜花（春季花艺）	,642989,合肥	,在线支付,订单取消,用户提交订单,否,49.0,44.0,5.0,39.0,家居鲜花づ———	,『日常家居鲜花』3枝红玫瑰（一公里内配送）,,1336862	,1,49.0,44.0,5.0,0.0,5.0,否,0,0.0,0.0,0.0,是,满39.0元赠精美贺卡（可写祝福语）*1/用户使用了会员红包减5元	,否,未回复,,0.00分,0.0,,其他	,1
37,	20200824-20200826,6536434016847411,2020-08-25 14:43:50	,151秒,花生活鲜花（雅景花艺）	,653643,东莞	,在线支付,订单取消,用户提交订单,否,1404.0,688.0,0.0,755.0,约惠七夕99枝	,『色彩耀目』99枝香槟玫瑰搭配相思梅韩式花束七夕情人节礼物,,qx20200825063	,1,1399.0,686.0,713.0,713.0,0.0,否,0,0.0,0.0,5.0,是,满39.9元赠精美贺卡（可写祝福语）*1/购买『色彩耀目』99枝香槟玫瑰搭配相思梅韩式花束七夕情人节礼物原价1399.0元现价689.0元/门店新客立减3.0元/减配送费3.0元/送3元商家代金券	,否,未回复,,0.00分,0.0,,其他	,151
47,	20200824-20200826,6536431069511785,2020-08-25 22:50:39	,88秒,花生活鲜花（雅景花艺）	,653643,东莞	,在线支付,订单取消,用户提交订单,否,49.9,38.9,8.0,42.0,向日葵花づ———	,『特价优惠』一枝向日葵搭配雏菊韩式花束特价款,,,1,49.9,38.9,11.0,3.0,8.0,否,0,0.0,0.0,0.0,是,满39.9元赠精美贺卡（可写祝福语）*1/用户使用了首单支付红包减8元/门店新客立减3.0元	,否,未回复,,0.00分,0.0,,其他	,88
56,	20200824-20200826,7141423966510833,2020-08-24 19:50:50	,1秒,花生活鲜花（情意浓花店）	,714142,温州	,在线支付,订单取消,用户提交订单,否,533.0,362.0,0.0,210.0,店长推荐づ——	,『含情默默』33枝蓝玫瑰搭配满天星花束520情人节礼物鲜花,,ZMM051	,1,518.0,349.0,169.0,169.0,0.0,否,0,0.0,0.0,15.0,是,满39.9元赠精美贺卡（可写祝福语）*1/购买『含情默默』33枝蓝玫瑰搭配满天星花束七夕礼物鲜花原价518.0元现价349.0元/减配送费2.0元	,否,未回复,,0.00分,0.0,,其他	,1
93,	20200824-20200826,7141423585519881,2020-08-26 08:43:42	,1秒,花生活鲜花（情意浓花店）	,714142,温州	,在线支付,订单取消,用户提交订单,否,298.0,233.0,0.0,104.0,送长辈们づ———	,『咽苦吐甘』  19枝康乃馨8朵玫瑰 母亲节送妈妈送亲人,,ASD1234	,1,298.0,233.0,65.0,65.0,0.0,否,0,0.0,0.0,0.0,是,满200.0元减60.0元/满39.9元赠精美贺卡（可写祝福语）*1/用户使用了商家代金券减5元	,否,未回复,,0.00分,0.0,,其他	,1
98,	20200824-20200826,7726833470084206,2020-08-25 01:35:11	,34秒,花生活鲜花（杏福花店）	,772683,厦门	,在线支付,订单取消,用户提交订单,否,174.0,113.0,0.0,100.0,活动专区づ———	,『一吻便救一个人』11枝红玫瑰尤加利花束520情人节礼物鲜花,,QRJYR02	,1,168.0,110.0,58.0,58.0,0.0,否,0,0.0,0.0,6.0,是,满100.0元减50.0元/满39.9元赠精美贺卡（可写祝福语）*1/门店新客立减3.0元/减配送费3.0元/送3元商家代金券/用户使用了商家代金券减5元	,否,未回复,,0.00分,0.0,,其他	,34
99,	20200824-20200826,7726832386186755,2020-08-25 06:53:11	,0秒,花生活鲜花（杏福花店）	,772683,厦门	,在线支付,订单取消,用户提交订单,否,245.0,131.0,0.0,153.0,约惠七夕11枝	,『诗和远方』11枝粉玫瑰搭配相思梅花束送闺蜜送女友鲜花店生日,,shyfzk006	,1,245.0,131.0,114.0,114.0,0.0,否,0,0.0,0.0,0.0,是,满39.9元赠精美贺卡（可写祝福语）*1/购买『诗和远方』11枝粉玫瑰搭配相思梅花束七夕情人节鲜花原价245.0元现价139.0元/门店新客立减3.0元/送3元商家代金券/用户使用了商家代金券减5元	,否,未回复,,0.00分,0.0,,其他	,0
103,	20200824-20200826,7726832141837702,2020-08-25 09:58:21	,80秒,花生活鲜花（杏福花店）	,772683,厦门	,在线支付,订单取消,用户提交订单,否,172.0,111.0,0.0,100.0,活动专区づ———	,『一吻便救一个人』11枝红玫瑰尤加利花束520情人节礼物鲜花,,QRJYR02	,1,168.0,110.0,58.0,58.0,0.0,否,0,0.0,0.0,4.0,是,满100.0元减50.0元/满39.9元赠精美贺卡（可写祝福语）*1/门店新客立减3.0元/减配送费3.0元/送3元商家代金券/用户使用了商家代金券减5元	,否,未回复,,0.00分,0.0,,其他	,80
121,	20200824-20200826,7992542141837702,2020-08-25 13:19:08	,54秒,花生活鲜花（花好月缘鲜花店）	,799254,莆田	,在线支付,订单取消,配送中,否,338.0,244.0,0.0,133.0,热销专区づ———	,『漫天星辰』白色满天星韩式花束520情人节礼物鲜花,,ZMM056	,1,338.0,244.0,94.0,94.0,0.0,否,0,0.0,0.0,0.0,是,满39.9元赠精美贺卡（可写祝福语）*1/购买『漫天星辰』白色满天星约40cm可做干花韩式花束七夕节鲜花原价338.0元现价249.0元/用户使用了商家代金券减5元	,否,未回复,,0.00分,0.0,,其他	,54
137,	20200824-20200826,15231422342655417,2020-08-25 11:53:23	,82秒,花生活鲜花（明珠鲜花坊）	,1523142,西宁	,在线支付,订单取消,用户提交订单,否,275.0,196.0,0.0,118.0,折扣专区づ———	,『挚爱』11枝红玫瑰花+2只小熊圣诞礼盒送女友闺蜜生日鲜花店,,ZALH09	,1,245.0,168.0,77.0,77.0,0.0,否,0,0.0,0.0,30.0,是,满39.9元赠精美贺卡（可写祝福语）*1/购买『挚爱』11枝红玫瑰花+2只小熊圣诞礼盒送女友闺蜜七夕礼物原价245.0元现价168.0元/减配送费2.0元	,否,未回复,,0.00分,0.0,,其他	,82
