开始日期,结束日期,商家ID,商家名称,运营组,省份,城市,是否新增商家,首次上线日期,门店在线状态,（日均）预设营业时长（h）,（日均）在线营业时长（h）,曝光人数,入店人数,下单人数,下单新客人数,入店转化率,下单转化率,推单数,有效订单数,原价交易额,实付交易额,商家补贴金额,商家原因取消订单数,商家拒单数,商家超时未接单数,商家取消不告知用户订单数,缺货导致退款订单数,商家少送错送导致用户退款订单数,商家质量问题导致用户退款订单数,配送原因取消订单数,拣货超时订单数,使用间或完成按钮订单数,平均骑手到店等待时间（min）,平均骑手送货时长（min）,IM会话数,IM回复数,IM回复率,IM1分钟回复数,差评订单数,投诉订单数,平均商家评分,平均商品评分,平均配送评分,平均配送时长（min）,资质类型（仅药品）,资质有效期（仅药品）
20200824,20200824,227035,邂逅花坊鲜花（香梅花坊）,鲜花组,江苏省,无锡,否,20150621,在线,24.0,24.0,498,62,12,11,12.45,19.35%,11,11,4409.00,2102.90,2297.00,0,0,0,0,0,0,0,0,0,11,0,0,5,5,100,4,0,0,5.0,5.0,5.0,0.0,,
20200825,20200825,227035,邂逅花坊鲜花（香梅花坊）,鲜花组,江苏省,无锡,否,20150621,在线,17.0,16.7,1487,269,43,39,18.09,15.99%,41,39,14249.00,6849.60,7386.00,0,0,0,0,0,0,0,1,23,41,0,13,25,9,36,3,0,0,4.7,4.7,5.0,13.0,,
20200826,20200826,227035,邂逅花坊鲜花（香梅花坊）,鲜花组,江苏省,无锡,否,20150621,在线,9.0,9.0,142,13,0,0,9.15,0%,0,0,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.4,4.4,5.0,0.0,,
20200824,20200824,255297,邂逅花坊鲜花（蔷薇花艺）,鲜花组,山东省,青岛,否,20150702,在线,17.0,17.0,919,75,10,9,8.16,13.33%,11,9,4559.00,2295.00,2251.00,1,1,0,0,0,0,0,0,1,9,16,16,3,3,100,2,0,0,5.0,5.0,5.0,16.0,,
20200825,20200825,255297,邂逅花坊鲜花（蔷薇花艺）,鲜花组,山东省,青岛,否,20150702,在线,23.0,22.4,3378,535,37,32,15.84,6.92%,38,33,12791.00,7312.00,5458.00,5,4,1,0,0,0,0,0,17,33,7,19,24,20,83.33,8,0,0,5.0,5.0,5.0,35.0,,
20200826,20200826,255297,邂逅花坊鲜花（蔷薇花艺）,鲜花组,山东省,青岛,否,20150702,在线,14.0,13.5,244,12,0,0,4.92,0%,0,0,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,1,1,100,0,0,0,5.0,5.0,5.0,0.0,,
20200824,20200824,345331,邂逅花坊鲜花（温馨花坊）,鲜花组,江苏省,徐州,否,20160531,在线,19.0,19.0,976,103,5,4,10.55,4.85%,4,4,1477.00,522.00,947.00,0,0,0,0,0,0,0,0,0,4,0,0,2,2,100,2,0,0,5.0,5.0,5.0,0.0,,
20200825,20200825,345331,邂逅花坊鲜花（温馨花坊）,鲜花组,江苏省,徐州,否,20160531,在线,23.0,21.8,3134,459,51,48,14.65,11.11%,52,50,16993.00,8231.00,8723.00,1,1,0,0,0,0,0,0,21,54,2,20,25,18,72,12,0,0,5.0,5.0,5.0,20.0,,
20200826,20200826,345331,邂逅花坊鲜花（温馨花坊）,鲜花组,江苏省,徐州,否,20160531,在线,14.0,13.5,237,12,0,0,5.06,0%,0,0,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,1,1,100,1,0,0,5.0,5.0,5.0,0.0,,
20200824,20200824,403721,邂逅花坊鲜花（创懿花艺婚庆）,鲜花组,浙江省,杭州,否,20150901,在线,17.0,17.0,2075,123,12,9,5.93,9.76%,10,10,3444.00,1683.00,1740.00,0,0,0,0,0,0,0,0,1,10,2,24,6,6,100,4,0,0,5.0,5.0,5.0,24.0,,
20200825,20200825,403721,邂逅花坊鲜花（创懿花艺婚庆）,鲜花组,浙江省,杭州,否,20150901,在线,23.0,23.0,6749,726,160,141,10.76,22.04%,161,144,49178.00,26155.00,22866.00,5,5,0,0,0,0,0,0,73,161,4,29,76,36,47.37,23,5,0,4.8,4.8,5.0,34.0,,
20200826,20200826,403721,邂逅花坊鲜花（创懿花艺婚庆）,鲜花组,浙江省,杭州,否,20150901,在线,14.0,13.5,1863,43,0,0,2.31,0%,0,0,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,1,1,100,0,0,0,3.7,3.7,4.8,0.0,,
20200824,20200824,634577,邂逅花坊鲜花（花韵千谷),鲜花组,河北省,张家口,否,20190423,在线,17.0,17.0,766,41,1,1,5.35,2.44%,1,1,368.00,189.00,179.00,0,0,0,0,0,0,0,0,0,1,0,0,3,3,100,3,0,0,5.0,5.0,5.0,0.0,,
20200825,20200825,634577,邂逅花坊鲜花（花韵千谷),鲜花组,河北省,张家口,否,20190423,在线,16.0,14.6,1309,95,4,3,7.26,4.21%,3,3,1097.00,579.00,518.00,0,0,0,0,0,0,0,0,0,3,0,0,2,2,100,1,0,0,5.0,5.0,5.0,0.0,,
20200826,20200826,634577,邂逅花坊鲜花（花韵千谷),鲜花组,河北省,张家口,否,20190423,在线,13.0,13.0,443,12,1,0,2.71,8.33%,0,0,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,5.0,5.0,0.0,,
20200824,20200824,652919,邂逅花坊鲜花（美丽花坊）,鲜花组,湖北省,武汉,否,20151229,在线,17.0,17.0,87,5,0,0,5.75,0%,0,0,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,,
20200825,20200825,652919,邂逅花坊鲜花（美丽花坊）,鲜花组,湖北省,武汉,否,20151229,在线,23.0,23.0,390,13,1,1,3.33,7.69%,1,1,299.00,146.00,153.00,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,,
20200826,20200826,652919,邂逅花坊鲜花（美丽花坊）,鲜花组,湖北省,武汉,否,20151229,在线,14.0,13.5,25,1,0,0,4,0%,0,0,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,,
20200824,20200824,666460,邂逅花坊鲜花（小仙女花艺）,鲜花组,广东省,中山,否,20160112,在线,17.0,17.0,1999,144,8,7,7.2,5.56%,8,7,2671.00,1385.00,1281.00,0,0,0,0,0,0,0,0,0,9,0,0,7,6,85.71,1,0,0,5.0,5.0,0.0,0.0,,
20200825,20200825,666460,邂逅花坊鲜花（小仙女花艺）,鲜花组,广东省,中山,否,20160112,在线,17.0,16.6,5652,775,121,83,13.71,15.61%,123,87,30681.00,16316.00,14314.00,3,0,2,0,0,1,0,22,0,116,0,0,88,28,31.82,6,3,0,5.0,5.0,0.0,0.0,,
20200826,20200826,666460,邂逅花坊鲜花（小仙女花艺）,鲜花组,广东省,中山,否,20160112,在线,12.0,11.6,554,45,0,0,8.12,0%,0,0,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,4,4,100,0,2,0,3.4,3.4,3.5,0.0,,
20200824,20200824,722212,邂逅花坊鲜花（蝶恋花花坊）,鲜花组,福建省,龙岩,否,20160202,在线,24.0,24.0,546,38,5,5,6.96,13.16%,5,5,1484.00,680.00,824.00,0,0,0,0,0,0,0,0,0,5,0,0,3,3,100,3,0,0,5.0,5.0,5.0,0.0,,
20200825,20200825,722212,邂逅花坊鲜花（蝶恋花花坊）,鲜花组,福建省,龙岩,否,20160202,在线,17.0,13.6,1351,196,30,26,14.51,15.31%,30,27,8430.00,4054.00,4502.00,0,0,0,0,0,0,0,0,0,29,0,0,10,8,80,3,1,0,5.0,5.0,5.0,0.0,,
20200826,20200826,722212,邂逅花坊鲜花（蝶恋花花坊）,鲜花组,福建省,龙岩,否,20160202,在线,14.0,13.5,200,17,1,1,8.5,5.88%,1,1,299.00,131.00,173.00,0,0,0,0,0,0,0,0,0,1,0,0,1,1,100,1,0,0,4.6,4.6,4.7,0.0,,
20200824,20200824,724418,邂逅花坊鲜花（紫罗兰鲜花坊）,鲜花组,浙江省,湖州,否,20160206,在线,17.0,17.0,637,102,9,8,16.01,8.82%,9,8,2941.00,1287.00,1716.40,0,0,0,0,0,0,0,0,0,9,2,6,0,0,0,0,0,0,4.9,4.9,5.0,6.0,,
20200825,20200825,724418,邂逅花坊鲜花（紫罗兰鲜花坊）,鲜花组,浙江省,湖州,否,20160206,在线,19.0,14.8,1371,356,35,27,25.97,9.83%,42,28,8990.00,5923.00,3296.60,1,0,0,0,1,0,0,0,19,35,3,22,0,0,0,0,0,0,4.9,4.9,5.0,22.0,,
20200826,20200826,724418,邂逅花坊鲜花（紫罗兰鲜花坊）,鲜花组,浙江省,湖州,否,20160206,在线,14.0,13.5,128,12,0,0,9.38,0%,0,0,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.9,4.9,5.0,11.0,,
20200824,20200824,767243,邂逅花坊鲜花（花卉轩）,鲜花组,福建省,厦门,否,20160307,在线,17.0,17.0,1006,78,9,8,7.75,11.54%,9,9,4629.00,2313.00,2316.00,0,0,0,0,0,0,0,0,3,9,1,21,6,4,66.67,1,0,0,5.0,5.0,5.0,22.0,,
20200825,20200825,767243,邂逅花坊鲜花（花卉轩）,鲜花组,福建省,厦门,否,20160307,在线,20.0,18.9,4279,620,123,115,14.49,19.84%,118,116,42163.00,20294.00,21765.00,0,0,0,0,0,0,0,1,69,118,3,23,69,19,27.54,7,2,0,5.0,5.0,5.0,26.0,,
20200826,20200826,767243,邂逅花坊鲜花（花卉轩）,鲜花组,福建省,厦门,否,20160307,在线,14.0,13.5,322,27,0,0,8.39,0%,0,0,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,1,1,100,0,1,0,4.4,4.4,4.8,0.0,,
20200824,20200824,809558,邂逅花坊鲜花（新生命花坊）,鲜花组,浙江省,杭州,否,20160329,在线,17.0,17.0,410,28,2,2,6.83,7.14%,2,2,687.00,421.00,266.00,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,,
20200825,20200825,809558,邂逅花坊鲜花（新生命花坊）,鲜花组,浙江省,杭州,否,20160329,在线,23.0,23.0,2130,187,35,34,8.78,18.72%,36,34,11805.00,7257.00,4528.00,0,0,0,0,0,0,0,1,0,36,0,0,23,8,34.78,1,0,0,0.0,0.0,0.0,0.0,,
20200826,20200826,809558,邂逅花坊鲜花（新生命花坊）,鲜花组,浙江省,杭州,否,20160329,在线,14.0,13.5,178,15,0,0,8.43,0%,0,0,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,1,1,100,0,2,0,0.0,0.0,0.0,0.0,,
20200824,20200824,829130,婷婷花店(七夕预定，表白，鲜花),鲜花组,广东省,深圳,否,20160331,在线,17.0,17.0,579,70,5,4,12.09,7.14%,6,5,1703.00,1090.00,613.00,0,0,0,0,0,0,0,0,3,6,0,14,2,2,100,1,0,0,5.0,5.0,5.0,14.0,,
20200825,20200825,829130,婷婷花店(七夕预定，表白，鲜花),鲜花组,广东省,深圳,否,20160331,在线,23.0,23.0,2018,297,27,23,14.72,9.09%,25,23,7869.00,5894.00,1970.00,0,0,0,0,0,0,0,0,14,24,1,14,11,10,90.91,3,0,0,5.0,5.0,5.0,16.0,,
20200826,20200826,829130,婷婷花店(七夕预定，表白，鲜花),鲜花组,广东省,深圳,否,20160331,在线,14.0,13.5,387,27,1,0,6.98,3.7%,0,0,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,1,1,100,0,0,0,5.0,5.0,4.4,0.0,,
20200824,20200824,832314,邂逅花坊鲜花（万花丛婚庆鲜花）,鲜花组,河北省,石家庄,否,20170317,在线,17.0,17.0,492,48,4,3,9.76,8.33%,4,4,1446.00,498.00,931.00,0,0,0,0,0,0,0,0,0,4,0,0,3,3,100,3,0,0,5.0,5.0,5.0,11.0,,
20200825,20200825,832314,邂逅花坊鲜花（万花丛婚庆鲜花）,鲜花组,河北省,石家庄,否,20170317,在线,23.0,23.0,1581,180,21,17,11.39,11.67%,20,18,7619.00,3947.00,3651.00,1,0,0,0,0,0,1,0,1,19,0,22,14,12,85.71,6,1,0,5.0,5.0,5.0,22.0,,
20200826,20200826,832314,邂逅花坊鲜花（万花丛婚庆鲜花）,鲜花组,河北省,石家庄,否,20170317,在线,14.0,13.4,146,7,0,0,4.79,0%,0,0,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.6,4.6,5.0,0.0,,
20200824,20200824,911233,邂逅花坊鲜花（花园花坊）,鲜花组,浙江省,绍兴,否,20160510,在线,17.0,17.0,621,46,3,2,7.41,6.52%,3,2,618.00,276.00,342.00,0,0,0,0,0,0,0,0,0,4,0,0,2,2,100,2,0,0,5.0,5.0,5.0,0.0,,
