品牌名,门店总数,订单数,曝光人数,订单方差,实付交易额,平均订单数,平均金额,均客单价,最小客单价,最大客单价,非议订单数,拒单,不接订单,蜂窝数量
0,105,1010,327988,31.28140912,122251.76,9.619047619,1164.302476,144.6409734,59.28333333,599,61,19,0,7
如愿鲜花,6,133,45752,28.23768168,17872.08,22.16666667,2978.68,131.1829283,8.833333333,237.2,3,0,0,4
鼎卉鲜花,7,92,32169,15.2799277,12934.9,13.14285714,1847.842857,167.0998796,75.5,376,0,0,0,4
爱花轩,2,56,7785,18.38477631,4389.1,28,2194.55,79.77715447,76.76097561,82.79333333,1,0,1,2
玫瑰说,9,52,32129,15.8412261,5236.6,5.777777778,581.8444444,151.6566667,88,202,5,0,1,4
八彩时尚花艺,5,50,31527,11.04536102,5802.96,10,1160.592,132.2996964,75.328,219.52,5,2,1,5
维纳斯鲜花,1,35,4825,0,3181.02,35,3181.02,90.88628571,90.88628571,90.88628571,0,0,0,1
妮依然鲜花品牌店,4,34,20152,12.36931688,4462,8.5,1115.5,150.6851852,124.6666667,218,3,1,0,3
熊先生鲜花,7,34,34564,3.484660262,3638,4.857142857,519.7142857,106.9721429,98,113.2,0,0,0,5
一家花店,6,31,19132,5.879342367,3755,5.166666667,625.8333333,128.3571429,108.5,159,3,2,0,4
心情不错鲜花店,2,30,7927,9.899494937,3400,15,1700,93.26136364,50.25,136.2727273,0,0,0,2
鲜花坊,3,27,7255,9.848857802,2212.6,9,737.5333333,87.67055556,42.61666667,129,1,0,0,2
鹿大人,2,19,11578,13.43502884,2204.78,9.5,1102.39,116.0410526,116.0410526,116.0410526,0,0,0,1
花专家,5,18,19502,2.408318916,2057,3.6,411.4,112.6733333,98,138.2,1,1,0,3
花西拾鲜花,4,17,5249,4.031128874,2368,4.25,592,140,125.3333333,148,1,1,0,2
艾尚花语,2,14,5645,7.071067812,2000.99,7,1000.495,139.2079167,134,144.4158333,0,0,0,2
喜花绿植,1,12,7992,0,851.81,12,851.81,70.98416667,70.98416667,70.98416667,0,0,0,1
邂逅花坊鲜花,8,8,16272,1.603567451,1178.1,1,147.2625,160.5361111,131.275,199,3,1,1,4
花匠先生,5,8,14022,0.894427191,894,1.6,178.8,118.3333333,94.66666667,148,0,0,0,4
爱花居鲜花,2,6,11666,0,637,3,318.5,106.1666667,89.33333333,123,0,0,0,2
诺言鲜花,1,6,2430,0,1044,6,1044,174,174,174,1,0,0,1
花生活,4,6,14829,1,1202,1.5,300.5,200.3333333,83.5,299,0,0,0,2
沪花拾者,2,4,2099,1.414213562,412.48,2,206.24,129.08,77.16,181,0,0,0,2
玫瑰之约鲜花,4,4,8958,2,431.9,1,107.975,107.975,107.975,107.975,1,0,1,3
俏花农,1,3,6114,0,237.1,3,237.1,79.03333333,79.03333333,79.03333333,0,0,0,1
花森林,3,1,8357,0.577350269,216,0.333333333,72,216,216,216,0,0,0,3
朋克城市花坊,1,1,2521,0,88,1,88,88,88,88,0,0,0,1
鲜花到家,1,0,1780,0,0,0,0,0,0,0,0,0,0,1
鲜花网,1,0,2585,0,0,0,0,0,0,0,0,0,0,1
艾菲尔鲜花,2,0,3576,0,0,0,0,0,0,0,0,0,0,1
香格格鲜花馆,2,0,4945,0,0,0,0,0,0,0,1,1,0,2
美丽契约鲜花,1,0,2949,0,0,0,0,0,0,0,0,0,0,1
花为美鲜花,1,0,1162,0,0,0,0,0,0,0,0,0,0,1
