,Unnamed: 0,Unnamed: 0.1,poi_id,门店名,品牌ID,品牌名,省份,城市,城市等级,蜂窝,一级品类,二级品类,是否营业,首次上线时间,配送方式,提单数,推单数,接单数,订单数,原价交易额,实付交易额,原价客单价,实付客单价,非异订单数,商家配送延迟订单数,商家拒单订单数,商家不接单订单数,商家取消不告知订单数,商家少餐错餐订单数,商家经营状态异常订单数,商家违规投诉订单数,美团配送延迟订单数,因美团配送原因取消订单数,线上活动总补贴金额,曝光人数,进店人数,成单用户数,在线商品数,在售商品数
343,343,343,9361775,欢欢的花店（华佳广场店）,11035,鼎卉鲜花,河北省,张家口,D1,,鲜花绿植,鲜花店,1,20200619.0,1,2,2,2,2,652.0,316.0,326.0,158.0,0,0,0,0,0,0,0,0,0,0,346.0,303,30,2,760,752
449,449,449,5337828,如愿鲜花（丽鑫鲜花店）,100012196,如愿鲜花,河北省,张家口,D1,,鲜花绿植,鲜花店,1,20180724.0,1,2,2,2,1,354.0,266.58,354.0,266.58,0,0,0,0,0,0,0,0,0,0,190.42,295,20,1,772,769
740,740,740,8321049,浪漫花都(柴沟堡花店),0,,河北省,张家口,D1,,鲜花绿植,鲜花店,0,20191220.0,2,0,0,0,0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,0.0,13,3,0,312,292
1010,1010,1010,9384070,沁香阁花卉旗舰店,0,,河北省,张家口,D1,,鲜花绿植,综合鲜花绿植店,1,20200625.0,1,0,0,0,0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,0.0,22,0,0,17,17
1300,1300,1300,9670957,花花世界（宣府大街支家桥店）,11035,鼎卉鲜花,河北省,张家口,D1,宣化区,鲜花绿植,鲜花店,1,20200806.0,1,8,7,7,7,1632.0,1246.0,233.14285714285717,178.0,0,0,0,0,0,0,0,0,0,0,675.0,479,32,7,757,751
1423,1423,1423,1224715,1314鲜花坊,27446,妮依然鲜花品牌店,河北省,张家口,D1,,鲜花绿植,鲜花店,1,20160825.0,1,3,3,3,3,964.0,304.0,321.3333333333333,101.33333333333331,1,1,0,0,0,0,0,0,0,0,706.1,306,19,3,266,264
1551,1551,1551,10020873,IMissingYou,0,,河北省,张家口,D1,高新区,鲜花绿植,综合鲜花绿植店,1,20200927.0,1,0,0,0,0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,0.0,337,4,0,17,17
1592,1592,1592,3103363,北方学院鲜花,100012195,爱花轩,河北省,张家口,D1,高新区,鲜花绿植,鲜花店,1,20170823.0,1,1,1,0,0,0.0,0.0,,,1,0,0,1,0,0,0,0,0,0,0.0,260,14,0,415,415
2085,2085,2085,8639687,GINA·丹鲜花坊,0,,河北省,张家口,D1,桥东区,鲜花绿植,综合鲜花绿植店,1,20200311.0,2,0,0,0,0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,0.0,25,1,0,51,50
2474,2474,2474,9558174,樊樊鲜花店（鲜花生日花开业花篮）,0,,河北省,张家口,D1,高新区,鲜花绿植,鲜花店,1,20200718.0,1,9,9,9,8,2249.0,940.0,281.125,117.5,0,0,0,0,0,0,0,0,0,0,1363.0,992,65,8,453,304
2621,2621,2621,7501282,桐桐花艺,0,,河北省,张家口,D1,宣化区,鲜花绿植,鲜花店,1,20190903.0,1,0,0,0,0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,0.0,104,0,0,113,113
2833,2833,2833,9558686,尚希鲜花绿植(张家口店),0,,河北省,张家口,D1,高新区,鲜花绿植,综合鲜花绿植店,1,20200718.0,1,0,0,0,0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,0.0,584,3,0,207,207
3252,3252,3252,8824676,小宋花卉城（二街店）,0,,河北省,张家口,D1,,鲜花绿植,鲜花店,0,20200503.0,2,0,0,0,0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,0.0,10,1,0,16,16
3452,3452,3452,1390717,鲜花坊（茗花坊鲜花店）,27557,鲜花坊,河北省,张家口,D1,宣化区,鲜花绿植,鲜花店,1,20160825.0,1,2,2,2,2,526.0,196.0,263.0,98.0,0,0,0,0,0,0,0,0,0,0,345.0,355,28,2,304,284
3940,3940,3940,9302509,see me惜蜜鲜花,0,,河北省,张家口,D1,,鲜花绿植,综合鲜花绿植店,1,20200618.0,1,0,0,0,0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,0.0,9,2,0,19,19
4053,4053,4053,9270134,鹿与野花卉·生日花,0,,河北省,张家口,D1,桥东区,鲜花绿植,综合鲜花绿植店,1,20200714.0,1,10,7,7,7,2908.0,776.0,415.4285714285714,110.85714285714286,1,1,0,0,0,0,0,0,0,0,2200.0,1102,41,7,530,369
4761,4761,4761,7335337,墨里花坊,0,,河北省,张家口,D1,,鲜花绿植,鲜花店,1,20190626.0,2,0,0,0,0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,0.0,78,4,0,84,76
5014,5014,5014,9599505,千寻花道生活馆（七夕情人节，告白，生日）,100025970,花生活,河北省,张家口,D1,,鲜花绿植,鲜花店,1,20200725.0,1,0,0,0,0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,0.0,230,3,0,694,657
5551,5551,5551,4376062,爱阳花卉中心,0,,河北省,张家口,D1,,鲜花绿植,鲜花店,1,20180205.0,2,0,0,0,0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,0.0,42,3,0,30,18
5910,5910,5910,8061981,梅瑜花艺,0,,河北省,张家口,D1,宣化区,鲜花绿植,鲜花店,1,20191224.0,1,0,0,0,0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,0.0,45,2,0,42,42
6152,6152,6152,6531722,花匠先生（鲜花店绿植）,100030827,花匠先生,河北省,张家口,D1,,鲜花绿植,鲜花店,0,20190129.0,1,0,0,0,0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,0.0,33,0,0,541,519
6406,6406,6406,7134390,生活花译馆,0,,河北省,张家口,D1,,鲜花绿植,鲜花店,1,20190522.0,2,0,0,0,0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,0.0,70,2,0,145,138
8170,8170,8170,9928561,尤加利女孩,0,,河北省,张家口,D1,宣化区,鲜花绿植,鲜花店,1,20200913.0,2,0,0,0,0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,0.0,68,4,0,15,12
8398,8398,8398,9379579,初遇花坊(鲜花),11035,鼎卉鲜花,河北省,张家口,D1,,鲜花绿植,鲜花店,1,20200622.0,1,1,1,1,1,168.0,168.0,168.0,168.0,0,0,0,0,0,0,0,0,0,0,55.0,194,6,1,758,751
8603,8603,8603,4949364,娜娜鲜花店,0,,河北省,张家口,D1,,鲜花绿植,鲜花店,1,20180512.0,2,0,0,0,0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,0.0,127,8,0,105,96
8636,8636,8636,4439347,欣馨花艺赤城河沿街店,0,,河北省,张家口,D1,,鲜花绿植,鲜花店,1,20180309.0,2,1,1,1,1,150.0,150.0,150.0,150.0,0,0,0,0,0,0,0,0,0,0,5.0,111,7,1,112,24
8984,8984,8984,4381739,一美花卉,0,,河北省,张家口,D1,桥东区,鲜花绿植,鲜花店,1,20180206.0,1,0,0,0,0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,0.0,340,5,0,425,405
9512,9512,9512,8629184,花点时间花艺室（向日葵·康乃馨·鲜花）,100030825,熊先生鲜花,河北省,张家口,D1,,鲜花绿植,鲜花店,1,20200330.0,1,1,1,1,1,318.0,159.0,318.0,159.0,0,0,0,0,0,0,0,0,0,0,163.0,391,20,1,408,287
9668,9668,9668,6724672,四季花卉（金聚底商店）,0,,河北省,张家口,D1,,鲜花绿植,鲜花店,1,20190320.0,1,1,1,1,1,138.0,138.0,138.0,138.0,0,0,0,0,0,0,0,0,0,0,5.0,78,2,1,144,75
