,poi_id,门店名,品牌ID,品牌名,省份,城市,城市等级,蜂窝,首次上线时间,一级品类,二级品类,在线商品数,提单数,推单数,订单数,原价交易额,实付交易额,非异订单数,商家配送延迟订单数,商家拒单订单数,商家不接单订单数,商家取消不告知订单数,商家违规投诉订单数,美团配送延迟订单数,因美团配送原因取消订单数,曝光人数,进店人数,成单用户数
0,9361775,欢欢的花店（华佳广场店）,11035,鼎卉鲜花,河北省,张家口,D1,,20200619.0,鲜花绿植,鲜花店,760,41,36,35,8556.0,5076.360000000001,0,0,0,0,0,0,0,0,5640,427,34
0,5337828,如愿鲜花（丽鑫鲜花店）,100012196,如愿鲜花,河北省,张家口,D1,,20180724.0,鲜花绿植,鲜花店,772,16,16,15,3043.0,2072.16,0,0,0,0,0,0,0,0,4024,217,15
0,8321049,浪漫花都(柴沟堡花店),0,,河北省,张家口,D1,,20191220.0,鲜花绿植,鲜花店,312,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,279,35,0
0,9384070,沁香阁花卉旗舰店,0,,河北省,张家口,D1,,20200625.0,鲜花绿植,综合鲜花绿植店,17,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,366,3,0
0,9670957,花花世界（宣府大街支家桥店）,11035,鼎卉鲜花,河北省,张家口,D1,宣化区,20200806.0,鲜花绿植,鲜花店,757,40,37,34,7752.0,4846.18,0,0,0,0,0,0,0,0,10472,502,34
0,1224715,1314鲜花坊,27446,妮依然鲜花品牌店,河北省,张家口,D1,,20160825.0,鲜花绿植,鲜花店,266,34,30,27,10386.0,3476.0,3,2,1,0,0,0,0,0,4528,298,27
0,10020873,IMissingYou,0,,河北省,张家口,D1,高新区,20200927.0,鲜花绿植,综合鲜花绿植店,17,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,5744,71,0
0,3103363,北方学院鲜花,100012195,爱花轩,河北省,张家口,D1,高新区,20170823.0,鲜花绿植,鲜花店,415,49,45,41,6236.0,3147.2,1,0,0,1,0,0,0,0,4836,212,41
0,8639687,GINA·丹鲜花坊,0,,河北省,张家口,D1,桥东区,20200311.0,鲜花绿植,综合鲜花绿植店,51,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,308,8,0
0,9558174,樊樊鲜花店（鲜花生日花开业花篮）,0,,河北省,张家口,D1,高新区,20200718.0,鲜花绿植,鲜花店,453,121,109,100,37811.9,11743.9,3,3,0,0,0,0,0,0,16851,1064,100
0,7501282,桐桐花艺,0,,河北省,张家口,D1,宣化区,20190903.0,鲜花绿植,鲜花店,113,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,1605,40,0
0,9558686,尚希鲜花绿植(张家口店),0,,河北省,张家口,D1,高新区,20200718.0,鲜花绿植,综合鲜花绿植店,207,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,9983,46,0
0,8824676,小宋花卉城（二街店）,0,,河北省,张家口,D1,,20200503.0,鲜花绿植,鲜花店,16,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,183,13,0
0,1390717,鲜花坊（茗花坊鲜花店）,27557,鲜花坊,河北省,张家口,D1,宣化区,20160825.0,鲜花绿植,鲜花店,304,24,20,20,4490.0,1827.9,0,0,0,0,0,0,0,0,3444,282,20
0,9302509,see me惜蜜鲜花,0,,河北省,张家口,D1,,20200618.0,鲜花绿植,综合鲜花绿植店,19,1,1,1,160.0,160.0,0,0,0,0,0,0,0,0,346,37,1
0,9270134,鹿与野花卉·生日花,0,,河北省,张家口,D1,桥东区,20200714.0,鲜花绿植,综合鲜花绿植店,530,103,90,78,35059.0,9502.0,4,3,0,0,0,0,0,0,19322,748,78
0,7335337,墨里花坊,0,,河北省,张家口,D1,,20190626.0,鲜花绿植,鲜花店,84,2,2,2,568.0,568.0,0,0,0,0,0,0,0,0,1449,73,2
0,9599505,千寻花道生活馆（七夕情人节，告白，生日）,100025970,花生活,河北省,张家口,D1,,20200725.0,鲜花绿植,鲜花店,694,2,2,2,376.0,167.0,0,0,0,0,0,0,0,0,3346,92,2
0,4376062,爱阳花卉中心,0,,河北省,张家口,D1,,20180205.0,鲜花绿植,鲜花店,30,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,758,21,0
0,8061981,梅瑜花艺,0,,河北省,张家口,D1,宣化区,20191224.0,鲜花绿植,鲜花店,42,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,753,32,0
0,6531722,花匠先生（鲜花店绿植）,100030827,花匠先生,河北省,张家口,D1,,20190129.0,鲜花绿植,鲜花店,541,1,1,1,356.0,148.0,0,0,0,0,0,0,0,0,2435,70,1
0,7134390,生活花译馆,0,,河北省,张家口,D1,,20190522.0,鲜花绿植,鲜花店,145,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,906,22,0
0,9928561,尤加利女孩,0,,河北省,张家口,D1,宣化区,20200913.0,鲜花绿植,鲜花店,15,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,689,41,0
0,9379579,初遇花坊(鲜花),11035,鼎卉鲜花,河北省,张家口,D1,,20200622.0,鲜花绿植,鲜花店,758,18,14,14,3532.0,1792.3600000000001,0,0,0,0,0,0,0,0,3651,166,14
0,4949364,娜娜鲜花店,0,,河北省,张家口,D1,,20180512.0,鲜花绿植,鲜花店,105,7,6,5,600.0,600.0,0,0,0,0,0,0,0,0,1679,100,5
0,4439347,欣馨花艺赤城河沿街店,0,,河北省,张家口,D1,,20180309.0,鲜花绿植,鲜花店,112,1,1,1,150.0,150.0,0,0,0,0,0,0,0,0,1479,60,1
0,4381739,一美花卉,0,,河北省,张家口,D1,桥东区,20180206.0,鲜花绿植,鲜花店,425,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,5587,29,0
0,8629184,花点时间花艺室（向日葵·康乃馨·鲜花）,100030825,熊先生鲜花,河北省,张家口,D1,,20200330.0,鲜花绿植,鲜花店,408,8,8,8,1388.0,894.0,0,0,0,0,0,0,0,0,4784,156,8
0,6724672,四季花卉（金聚底商店）,0,,河北省,张家口,D1,,20190320.0,鲜花绿植,鲜花店,144,1,1,1,138.0,138.0,0,0,0,0,0,0,0,0,1446,31,1
0,8936499,花·时间（康乃馨·向日葵）,100035487,花专家,河北省,张家口,D1,银座,20200427.0,鲜花绿植,鲜花店,324,1,1,1,340.0,119.0,0,0,0,0,0,0,0,0,3162,46,1
0,5588132,百艳花居鲜花店,100009539,花西拾鲜花,河北省,张家口,D1,,20180811.0,鲜花绿植,鲜花店,174,10,10,9,2648.0,1320.0,1,0,1,0,0,0,0,0,1708,103,9
0,6513954,如愿鲜花（小梦花艺）,100012196,如愿鲜花,河北省,张家口,D1,,20190125.0,鲜花绿植,鲜花店,848,34,33,32,7107.8,4330.7,1,1,0,0,0,0,0,0,4379,339,32
0,7438654,醉美花艺馆（向日葵·康乃馨·鲜花）,100030825,熊先生鲜花,河北省,张家口,D1,高新区,20190801.0,鲜花绿植,鲜花店,408,7,7,7,974.0,737.0,0,0,0,0,0,0,0,0,7851,125,7
0,7380463,花驿花苑(礼品鲜花，生日花、表白花),0,,河北省,张家口,D1,桥东区,20190709.0,鲜花绿植,鲜花店,605,232,209,182,66106.0,24276.0,17,10,7,0,0,0,0,0,18087,1386,182
0,5624135,七月·花坊,0,,河北省,张家口,D1,,20180814.0,鲜花绿植,鲜花店,48,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,929,36,0
