开始日期,结束日期,商家ID,商家名称,运营组,省份,城市,是否新增商家,首次上线日期,门店在线状态,（日均）预设营业时长（h）,（日均）在线营业时长（h）,曝光人数,入店人数,下单人数,下单新客人数,入店转化率,下单转化率,推单数,有效订单数,原价交易额,实付交易额,商家补贴金额,商家原因取消订单数,商家拒单数,商家超时未接单数,商家取消不告知用户订单数,缺货导致退款订单数,商家少送错送导致用户退款订单数,商家质量问题导致用户退款订单数,配送原因取消订单数,拣货超时订单数,使用间或完成按钮订单数,平均骑手到店等待时间（min）,平均骑手送货时长（min）,IM会话数,IM回复数,IM回复率,IM1分钟回复数,差评订单数,投诉订单数,平均商家评分,平均商品评分,平均配送评分,平均配送时长（min）,资质类型（仅药品）,资质有效期（仅药品）
20200617,20200617,9322697,锦上添花鲜花,鲜花组,吉林省,长春,是,20200617,在线,9,8.1,38,1,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
20200618,20200618,9322697,锦上添花鲜花,鲜花组,吉林省,长春,否,20200617,在线,12,12,40,1,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
20200619,20200619,9322697,锦上添花鲜花,鲜花组,吉林省,长春,否,20200617,在线,12,12,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
20200620,20200620,9322697,锦上添花鲜花,鲜花组,吉林省,长春,否,20200617,在线,12,12,195,3,0,0,1.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
20200621,20200621,9322697,锦上添花鲜花,鲜花组,吉林省,长春,否,20200617,在线,12,12,251,4,0,0,1.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
20200622,20200622,9322697,锦上添花鲜花,鲜花组,吉林省,长春,否,20200617,在线,12,12,228,9,0,0,3.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
20200623,20200623,9322697,锦上添花鲜花,鲜花组,吉林省,长春,否,20200617,在线,12,12,168,8,0,0,4.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
20200624,20200624,9322697,锦上添花鲜花,鲜花组,吉林省,长春,否,20200617,在线,12,12,193,4,1,1,2.07,25,1,1,229,64,170,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,
20200625,20200625,9322697,锦上添花鲜花,鲜花组,吉林省,长春,否,20200617,在线,12,12,198,6,1,1,3.03,16.67,1,1,129,61,73,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,
20200626,20200626,9322697,锦上添花鲜花,鲜花组,吉林省,长春,否,20200617,在线,12,12,156,1,0,0,0.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
20200627,20200627,9322697,锦上添花鲜花,鲜花组,吉林省,长春,否,20200617,在线,12,12,51,1,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
20200628,20200628,9322697,锦上添花鲜花,鲜花组,吉林省,长春,否,20200617,在线,12,12,29,1,0,0,3.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
20200629,20200629,9322697,锦上添花鲜花,鲜花组,吉林省,长春,否,20200617,在线,12,12,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
20200630,20200630,9322697,锦上添花鲜花,鲜花组,吉林省,长春,否,20200617,在线,12,12,37,2,0,0,5.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
20200701,20200701,9322697,锦上添花鲜花,鲜花组,吉林省,长春,否,20200617,在线,12,12,31,4,1,1,12.9,25,1,1,239,74,170,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,
20200702,20200702,9322697,锦上添花鲜花,鲜花组,吉林省,长春,否,20200617,在线,12,12,50,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
20200703,20200703,9322697,锦上添花鲜花,鲜花组,吉林省,长春,否,20200617,在线,12,12,43,1,1,0,2.33,100,1,1,129,69,65,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,
20200704,20200704,9322697,锦上添花鲜花,鲜花组,吉林省,长春,否,20200617,在线,12,12,39,1,0,0,2.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
20200705,20200705,9322697,锦上添花鲜花,鲜花组,吉林省,长春,否,20200617,在线,12,12,46,2,0,0,4.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
