,供应商ID,供应商名,城市名,门店ID,门店名称,总成交额(元),预计收入(元),有效订单,笔单价(元),顾客实付金额(元),顾客实付笔单价(元),总支出(元),商家补贴(元),商家补贴力度,流失订单,流失订单预计损失(元),用户原因流失订单,配送原因流失订单数,商家原因流失订单数,其他原因流失订单数,商品金额,包装费,配送费,开始日,结束日
0,42267060178,河北雄安隆顺（原壹号花坊）,锦州,2058671122,花生活（花阁北镇市店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,20201001,20201031
1,42267060178,河北雄安隆顺（原壹号花坊）,台州,501175708,壹号花坊（圆梦花行复兴路店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,20201001,20201031
18,42267060178,河北雄安隆顺（原壹号花坊）,酒泉,2043137391,唯e爱花坊（华盛商场店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,20201001,20201031
20,42267060178,河北雄安隆顺（原壹号花坊）,南京,2034979659,壹号花坊（温情花艺工作室大桥北路店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,20201001,20201031
21,42267060178,河北雄安隆顺（原壹号花坊）,佛山,2036262852,壹号花坊（小姐姐的花店广佛一路店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,20201001,20201031
22,42267060178,河北雄安隆顺（原壹号花坊）,恩施土家族苗族自治州,2042539718,皇的花园（凤翔大道店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,20201001,20201031
23,42267060178,河北雄安隆顺（原壹号花坊）,长春,2043167134,唯美花艺（长山路店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,20201001,20201031
28,42267060178,河北雄安隆顺（原壹号花坊）,廊坊,300018944,壹号花坊（流星花园王佃庄村店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,20201001,20201031
29,42267060178,河北雄安隆顺（原壹号花坊）,遵义,304892578,壹号花坊（香阁丽娜鹿鸣西路店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,98.0,0,0,1,0,0.0,0,0.0,20201001,20201031
30,42267060178,河北雄安隆顺（原壹号花坊）,南宁,304952535,壹号花坊（南宁唯爱花店民主路店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,20201001,20201031
31,42267060178,河北雄安隆顺（原壹号花坊）,昆明,336819801,壹号花坊（鹤望兰婚庆小板桥街道店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,20201001,20201031
33,42267060178,河北雄安隆顺（原壹号花坊）,合肥,2043493005,手拉手鲜花婚庆,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,20201001,20201031
36,42267060178,河北雄安隆顺（原壹号花坊）,荆州,2042529609,红玫花坊（园林路店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,20201001,20201031
37,42267060178,河北雄安隆顺（原壹号花坊）,合肥,2042529585,邂逅花坊寻花集花艺（临泉路店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,20201001,20201031
38,42267060178,河北雄安隆顺（原壹号花坊）,娄底,2036842673,壹号花坊（花样屋新星南路店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,20201001,20201031
39,42267060178,河北雄安隆顺（原壹号花坊）,牡丹江,2036081113,壹号花坊（辉辉鲜花向阳街店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,20201001,20201031
40,42267060178,河北雄安隆顺（原壹号花坊）,南宁,2034959850,壹号花坊（卓伊鲜花青秀区店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,20201001,20201031
41,42267060178,河北雄安隆顺（原壹号花坊）,银川,304912611,壹号花坊（有间鲜花店庆丰街店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,20201001,20201031
43,42267060178,河北雄安隆顺（原壹号花坊）,张家界,335784800,壹号花坊（花间密码永定区店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,20201001,20201031
46,42267060178,河北雄安隆顺（原壹号花坊）,武汉,304912613,壹号花坊（当奶茶遇上鲜花兴业路店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,20201001,20201031
47,42267060178,河北雄安隆顺（原壹号花坊）,长春,2036892633,壹号花坊（满园春色花行九台区店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,20201001,20201031
48,42267060178,河北雄安隆顺（原壹号花坊）,遵义,300169069,壹号花坊（同心花艺丽都酒店一层店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,20201001,20201031
50,42267060178,河北雄安隆顺（原壹号花坊）,庆阳,2042449624,花田舍（秦直路店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,20201001,20201031
51,42267060178,河北雄安隆顺（原壹号花坊）,丹东,2036895310,壹号花坊（伊甸园花店江城大街店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,20201001,20201031
52,42267060178,河北雄安隆顺（原壹号花坊）,曲靖,300038919,壹号花坊（欣怡花坊西华路店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,20201001,20201031
53,42267060178,河北雄安隆顺（原壹号花坊）,烟台,2042459713,BLOSSOM花宿（长江路店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,20201001,20201031
55,42267060178,河北雄安隆顺（原壹号花坊）,银川,300028997,壹号花坊（花草堂鲜花店清和北街店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,20201001,20201031
57,42267060178,河北雄安隆顺（原壹号花坊）,长沙,2043512852,花缘花艺（雨花区店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,20201001,20201031
58,42267060178,河北雄安隆顺（原壹号花坊）,仙桃,336636681,壹号花坊（花缘花艺坊仙桃地区店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,20201001,20201031
60,42267060178,河北雄安隆顺（原壹号花坊）,东莞,2042529593,悦尚鲜花（霄边大街店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,20201001,20201031
61,42267060178,河北雄安隆顺（原壹号花坊）,哈尔滨,2043157317,兰馨花艺（宾州镇店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,20201001,20201031
62,42267060178,河北雄安隆顺（原壹号花坊）,南充,2043368142,四叶草,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,20201001,20201031
65,42267060178,河北雄安隆顺（原壹号花坊）,湖州,2036252939,壹号花坊（20时光昌硕街道店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,20201001,20201031
66,42267060178,河北雄安隆顺（原壹号花坊）,长春,335774935,壹号花坊（鲜花宽城区店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,20201001,20201031
67,42267060178,河北雄安隆顺（原壹号花坊）,洛阳,2043372422,花好月圆（丽春路店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,20201001,20201031
69,42267060178,河北雄安隆顺（原壹号花坊）,乌鲁木齐,335724862,壹号花坊（新新花卉南昌路店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,20201001,20201031
71,42267060178,河北雄安隆顺（原壹号花坊）,平顶山,2036892635,壹号花坊（七彩花铺人民路店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,98.0,1,0,0,0,0.0,0,0.0,20201001,20201031
72,42267060178,河北雄安隆顺（原壹号花坊）,南充,304942554,壹号花坊（原色花艺工作室柳林路店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,20201001,20201031
73,42267060178,河北雄安隆顺（原壹号花坊）,曲靖,335754751,壹号花坊（馨语花店西宁街道店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,20201001,20201031
74,42267060178,河北雄安隆顺（原壹号花坊）,襄阳,2043493004,柒月鲜花（襄州区店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,20201001,20201031
76,42267060178,河北雄安隆顺（原壹号花坊）,永州,2043127362,玫瑰园（城东北路店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,20201001,20201031
77,42267060178,河北雄安隆顺（原壹号花坊）,红河哈尼族彝族自治州,336712341,壹号花坊（小龙女幸福花店吉山南路店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,20201001,20201031
79,42267060178,河北雄安隆顺（原壹号花坊）,商丘,2043137397,王军鲜花店（袁山路店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,20201001,20201031
81,42267060178,河北雄安隆顺（原壹号花坊）,济南,304982509,壹号花坊（达奇花艺经十路店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,20201001,20201031
82,42267060178,河北雄安隆顺（原壹号花坊）,合肥,2043502901,花里花店（莲花路店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,20201001,20201031
84,42267060178,河北雄安隆顺（原壹号花坊）,九江,304882558,壹号花坊（花房姑娘甘棠北路店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,20201001,20201031
87,42267060178,河北雄安隆顺（原壹号花坊）,榆林,304912605,壹号花坊（七彩鲜花店新建北路店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,20201001,20201031
90,42267060178,河北雄安隆顺（原壹号花坊）,长春,2042449620,慕巴夫鲜花（正阳街店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,20201001,20201031
