,Unnamed: 0,供应商ID,供应商名,城市名,门店ID,门店名称,总成交额(元),预计收入(元),有效订单,笔单价(元),顾客实付金额(元),顾客实付笔单价(元),总支出(元),商家补贴(元),商家补贴力度,流失订单,流失订单预计损失(元),用户原因流失订单,配送原因流失订单数,商家原因流失订单数,其他原因流失订单数,商品金额,包装费,配送费,开始日,结束日
0,0,22267202676,花非花科技（原邂逅花坊）,廊坊,2056439254,邂逅花坊（小立鲜花三河市店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,20201001,20201031
1,1,22267202676,花非花科技（原邂逅花坊）,郑州,2048868378,邂逅花坊（情人草少典路店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,20201001,20201031
2,45,22267202676,花非花科技（原邂逅花坊）,哈尔滨,170246079,邂逅花坊（心缘鲜花店南岗区店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,20201001,20201031
3,46,22267202676,花非花科技（原邂逅花坊）,深圳,166924952,邂逅花坊（雅涵花店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,20201001,20201031
4,47,22267202676,花非花科技（原邂逅花坊）,漳州,170246023,邂逅花坊（伊甸园花藝空间竹围内店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,20201001,20201031
5,48,22267202676,花非花科技（原邂逅花坊）,乐山,2043167110,花之魅（名山西路店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,20201001,20201031
6,49,22267202676,花非花科技（原邂逅花坊）,曲靖,2036852685,邂逅花坊（佳园花艺内环东路店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,20201001,20201031
7,55,22267202676,花非花科技（原邂逅花坊）,长沙,166924712,邂逅花坊（遇见花开榔黎街道店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,20201001,20201031
8,57,22267202676,花非花科技（原邂逅花坊）,重庆,169732212,邂逅花坊（紫罗兰园艺鲜花坊学田湾正街店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,20201001,20201031
9,58,22267202676,花非花科技（原邂逅花坊）,宁波,170246072,邂逅花坊（情谊花店孙塘路店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,20201001,20201031
10,60,22267202676,花非花科技（原邂逅花坊）,徐州,305175467,邂逅花坊（花物语和信广场店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,20201001,20201031
