,Unnamed: 0_x,供应商ID_x,供应商名_x,城市名_x,门店ID,门店名称_x,总成交额(元)_x,预计收入(元)_x,有效订单_x,笔单价(元)_x,顾客实付金额(元)_x,顾客实付笔单价(元)_x,总支出(元)_x,商家补贴(元)_x,商家补贴力度_x,流失订单_x,流失订单预计损失(元)_x,用户原因流失订单_x,配送原因流失订单数_x,商家原因流失订单数_x,其他原因流失订单数_x,商品金额_x,包装费_x,配送费_x,开始日_x,结束日_x,Unnamed: 0_y,供应商ID_y,供应商名_y,城市名_y,门店名称_y,总成交额(元)_y,预计收入(元)_y,有效订单_y,笔单价(元)_y,顾客实付金额(元)_y,顾客实付笔单价(元)_y,总支出(元)_y,商家补贴(元)_y,商家补贴力度_y,流失订单_y,流失订单预计损失(元)_y,用户原因流失订单_y,配送原因流失订单数_y,商家原因流失订单数_y,其他原因流失订单数_y,商品金额_y,包装费_y,配送费_y,开始日_y,结束日_y,Unnamed: 0,供应商ID,供应商名,城市名,门店名称,总成交额(元),预计收入(元),有效订单,笔单价(元),顾客实付金额(元),顾客实付笔单价(元),总支出(元),商家补贴(元),商家补贴力度,流失订单,流失订单预计损失(元),用户原因流失订单,配送原因流失订单数,商家原因流失订单数,其他原因流失订单数,商品金额,包装费,配送费,开始日,结束日
0,61,22267202676,花非花科技（原邂逅花坊）,南阳,335794223,邂逅花坊（那时花开新华路店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,20200901,20200930,572,22267202676,花非花科技（原邂逅花坊）,南阳,邂逅花坊（那时花开新华路店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,20200801,20200831,239,22267202676,花非花科技（原邂逅花坊）,南阳,邂逅花坊（那时花开新华路店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,20201001,20201031
1,70,22267202676,花非花科技（原邂逅花坊）,晋城,2042489183,花香居花艺馆（金村镇店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,20200901,20200930,762,22267202676,花非花科技（原邂逅花坊）,晋城,花香居花艺馆（金村镇店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,20200801,20200831,315,22267202676,花非花科技（原邂逅花坊）,晋城,花香居花艺馆（金村镇店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,20201001,20201031
2,86,22267202676,花非花科技（原邂逅花坊）,许昌,335784185,邂逅花坊（花雨恋鲜花延安路店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,20200901,20200930,392,22267202676,花非花科技（原邂逅花坊）,许昌,邂逅花坊（花雨恋鲜花延安路店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,20200801,20200831,672,22267202676,花非花科技（原邂逅花坊）,许昌,邂逅花坊（花雨恋鲜花延安路店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,20201001,20201031
3,90,22267202676,花非花科技（原邂逅花坊）,安庆,304882590,邂逅花坊（红星花卉红星路店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,20200901,20200930,627,22267202676,花非花科技（原邂逅花坊）,安庆,邂逅花坊（红星花卉红星路店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,20200801,20200831,934,22267202676,花非花科技（原邂逅花坊）,安庆,邂逅花坊（红星花卉红星路店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,20201001,20201031
4,94,22267202676,花非花科技（原邂逅花坊）,营口,2036081704,邂逅花坊（朵朵花艺大石桥市店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,20200901,20200930,598,22267202676,花非花科技（原邂逅花坊）,营口,邂逅花坊（朵朵花艺大石桥市店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,20200801,20200831,125,22267202676,花非花科技（原邂逅花坊）,营口,邂逅花坊（朵朵花艺大石桥市店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,20201001,20201031
5,106,22267202676,花非花科技（原邂逅花坊）,吕梁,335796192,邂逅花坊（百合鲜花建西街店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,20200901,20200930,215,22267202676,花非花科技（原邂逅花坊）,吕梁,邂逅花坊（百合鲜花建西街店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,20200801,20200831,863,22267202676,花非花科技（原邂逅花坊）,吕梁,邂逅花坊（百合鲜花建西街店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,20201001,20201031
6,113,22267202676,花非花科技（原邂逅花坊）,邵阳,335784186,邂逅花坊（花店双清区店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,20200901,20200930,1129,22267202676,花非花科技（原邂逅花坊）,邵阳,邂逅花坊（花店双清区店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2,318.0,0,0,2,0,0.0,0,0.0,20200801,20200831,311,22267202676,花非花科技（原邂逅花坊）,邵阳,邂逅花坊（花店双清区店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,20201001,20201031
7,117,22267202676,花非花科技（原邂逅花坊）,太原,166924941,邂逅花坊（东路家园店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,20200901,20200930,137,22267202676,花非花科技（原邂逅花坊）,太原,邂逅花坊（东路家园店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,214.0,0,0,1,0,0.0,0,0.0,20200801,20200831,313,22267202676,花非花科技（原邂逅花坊）,太原,邂逅花坊（东路家园店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,20201001,20201031
8,121,22267202676,花非花科技（原邂逅花坊）,遵义,335746166,邂逅花坊（那沐野花艺昆明路店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,20200901,20200930,256,22267202676,花非花科技（原邂逅花坊）,遵义,邂逅花坊（那沐野花艺昆明路店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,20200801,20200831,70,22267202676,花非花科技（原邂逅花坊）,遵义,邂逅花坊（那沐野花艺昆明路店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,20201001,20201031
9,131,22267202676,花非花科技（原邂逅花坊）,菏泽,2042489213,花样屋（麒麟大道店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,20200901,20200930,570,22267202676,花非花科技（原邂逅花坊）,菏泽,花样屋（麒麟大道店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,4,606.0,1,2,0,1,0.0,0,0.0,20200801,20200831,252,22267202676,花非花科技（原邂逅花坊）,菏泽,花样屋（麒麟大道店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,20201001,20201031
10,144,22267202676,花非花科技（原邂逅花坊）,吉林,2036855276,邂逅花坊（情缘鲜花婚庆永吉大街店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,20200901,20200930,775,22267202676,花非花科技（原邂逅花坊）,吉林,邂逅花坊（情缘鲜花婚庆永吉大街店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,20200801,20200831,190,22267202676,花非花科技（原邂逅花坊）,吉林,邂逅花坊（情缘鲜花婚庆永吉大街店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,20201001,20201031
11,160,22267202676,花非花科技（原邂逅花坊）,黔南布依族苗族自治州,2043167115,花满楼（金盆街道店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,20200901,20200930,355,22267202676,花非花科技（原邂逅花坊）,黔南布依族苗族自治州,花满楼（金盆街道店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,151.0,0,1,0,0,0.0,0,0.0,20200801,20200831,173,22267202676,花非花科技（原邂逅花坊）,黔南布依族苗族自治州,花满楼（金盆街道店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,20201001,20201031
12,162,22267202676,花非花科技（原邂逅花坊）,达州,166924869,邂逅花坊(罗浮广场店),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,20200901,20200930,354,22267202676,花非花科技（原邂逅花坊）,达州,邂逅花坊(罗浮广场店),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,20200801,20200831,171,22267202676,花非花科技（原邂逅花坊）,达州,邂逅花坊(罗浮广场店),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,20201001,20201031
13,172,22267202676,花非花科技（原邂逅花坊）,安阳,2034999431,邂逅花坊（鲜花婚庆解放大道店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,20200901,20200930,459,22267202676,花非花科技（原邂逅花坊）,安阳,邂逅花坊（鲜花婚庆解放大道店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,179.0,0,1,0,0,0.0,0,0.0,20200801,20200831,257,22267202676,花非花科技（原邂逅花坊）,安阳,邂逅花坊（鲜花婚庆解放大道店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,20201001,20201031
14,176,22267202676,花非花科技（原邂逅花坊）,仙桃,167744247,邂逅花坊（御花园花坊店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,20200901,20200930,463,22267202676,花非花科技（原邂逅花坊）,仙桃,邂逅花坊（御花园花坊店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,20200801,20200831,266,22267202676,花非花科技（原邂逅花坊）,仙桃,邂逅花坊（御花园花坊店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,20201001,20201031
15,182,22267202676,花非花科技（原邂逅花坊）,呼和浩特,170245964,邂逅花坊（朵兰花坊兴安北路店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,20200901,20200930,456,22267202676,花非花科技（原邂逅花坊）,呼和浩特,邂逅花坊（朵兰花坊兴安北路店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,20200801,20200831,149,22267202676,花非花科技（原邂逅花坊）,呼和浩特,邂逅花坊（朵兰花坊兴安北路店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,20201001,20201031
16,183,22267202676,花非花科技（原邂逅花坊）,宜昌,166924637,邂逅花坊（西陵一路店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,20200901,20200930,431,22267202676,花非花科技（原邂逅花坊）,宜昌,邂逅花坊（西陵一路店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,20200801,20200831,890,22267202676,花非花科技（原邂逅花坊）,宜昌,邂逅花坊（西陵一路店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,20201001,20201031
